"Journal" "Ais" "Ford" "Quantile" "Quantile 2017"
"ANNUAL REVIEW OF ANIMAL BIOSCIENCES" 2.306 "VETERINARY_SCIENCE" 0.007 0.007
"ILAR JOURNAL" 1.231 "VETERINARY_SCIENCE" 0.014 0.014
"VETERINARY RESEARCH" 0.901 "VETERINARY_SCIENCE" 0.021 0.021
"TRANSBOUNDARY AND EMERGING DISEASES" 0.821 "VETERINARY_SCIENCE" 0.028 0.029
"ZOONOSES AND PUBLIC HEALTH" 0.791 "VETERINARY_SCIENCE" 0.035 0.036
"MEDICAL MYCOLOGY" 0.778 "VETERINARY_SCIENCE" 0.043 0.043
"VETERINARY MICROBIOLOGY" 0.726 "VETERINARY_SCIENCE" 0.05 0.057
"MEDICAL AND VETERINARY ENTOMOLOGY" 0.706 "VETERINARY_SCIENCE" 0.057 0.143
"PREVENTIVE VETERINARY MEDICINE" 0.692 "VETERINARY_SCIENCE" 0.064 0.079
"VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE" 0.689 "VETERINARY_SCIENCE" 0.071 0.05
"VETERINARY PATHOLOGY" 0.688 "VETERINARY_SCIENCE" 0.078 0.071
"JOURNAL OF VETERINARY INTERNAL MEDICINE" 0.67 "VETERINARY_SCIENCE" 0.085 0.064
"ANIMAL HEALTH RESEARCH REVIEWS" 0.657 "VETERINARY_SCIENCE" 0.092 0.986
"ANIMAL" 0.637 "VETERINARY_SCIENCE" 0.099 0.121
"VETERINARY JOURNAL" 0.621 "VETERINARY_SCIENCE" 0.106 0.086
"VETERINARY AND COMPARATIVE ONCOLOGY" 0.601 "VETERINARY_SCIENCE" 0.113 0.164
"VETERINARY PARASITOLOGY" 0.591 "VETERINARY_SCIENCE" 0.121 0.107
"JOURNAL OF MEDICAL ENTOMOLOGY" 0.588 "VETERINARY_SCIENCE" 0.128 0.1
"BMC VETERINARY RESEARCH" 0.588 "VETERINARY_SCIENCE" 0.135 0.093
"VETERINARY RECORD" 0.572 "VETERINARY_SCIENCE" 0.142 0.157
"LABORATORY ANIMALS" 0.562 "VETERINARY_SCIENCE" 0.149 0.236
"VETERINARY ANAESTHESIA AND ANALGESIA" 0.553 "VETERINARY_SCIENCE" 0.156 0.193
"EQUINE VETERINARY JOURNAL" 0.549 "VETERINARY_SCIENCE" 0.163 0.129
"COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES" 0.549 "VETERINARY_SCIENCE" 0.17 0.114
"JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION" 0.547 "VETERINARY_SCIENCE" 0.177 0.136
"VETERINARY QUARTERLY" 0.529 "VETERINARY_SCIENCE" 0.184 0.529
"APPLIED ANIMAL BEHAVIOUR SCIENCE" 0.515 "VETERINARY_SCIENCE" 0.191 0.179
"FISH & SHELLFISH IMMUNOLOGY" 0.499 "VETERINARY_SCIENCE" 0.199 0.2
"THERIOGENOLOGY" 0.495 "VETERINARY_SCIENCE" 0.206 0.214
"AVIAN PATHOLOGY" 0.493 "VETERINARY_SCIENCE" 0.213 0.15
"DISEASES OF AQUATIC ORGANISMS" 0.493 "VETERINARY_SCIENCE" 0.22 0.221
"VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE" 0.488 "VETERINARY_SCIENCE" 0.227 0.243
"ACTA VETERINARIA SCANDINAVICA" 0.479 "VETERINARY_SCIENCE" 0.234 0.207
