"Journal" "Ais" "Ford" "Quantile"
"ANNUAL REVIEW OF ANIMAL BIOSCIENCES" 2.077 "VET SCIS" 0.007
"ILAR JOURNAL" 1.191 "VET SCIS" 0.014
"VETERINARY RESEARCH" 0.909 "VET SCIS" 0.021
"TRANSBOUNDARY AND EMERGING DISEASES" 0.822 "VET SCIS" 0.029
"ZOONOSES AND PUBLIC HEALTH" 0.768 "VET SCIS" 0.036
"MEDICAL MYCOLOGY" 0.744 "VET SCIS" 0.043
"VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE" 0.733 "VET SCIS" 0.05
"VETERINARY MICROBIOLOGY" 0.727 "VET SCIS" 0.057
"JOURNAL OF VETERINARY INTERNAL MEDICINE" 0.713 "VET SCIS" 0.064
"VETERINARY PATHOLOGY" 0.683 "VET SCIS" 0.071
"PREVENTIVE VETERINARY MEDICINE" 0.66 "VET SCIS" 0.079
"VETERINARY JOURNAL" 0.632 "VET SCIS" 0.086
"BMC VETERINARY RESEARCH" 0.628 "VET SCIS" 0.093
"JOURNAL OF MEDICAL ENTOMOLOGY" 0.626 "VET SCIS" 0.1
"VETERINARY PARASITOLOGY" 0.624 "VET SCIS" 0.107
"COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES" 0.616 "VET SCIS" 0.114
"ANIMAL" 0.61 "VET SCIS" 0.121
"EQUINE VETERINARY JOURNAL" 0.609 "VET SCIS" 0.129
"JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION" 0.603 "VET SCIS" 0.136
"MEDICAL AND VETERINARY ENTOMOLOGY" 0.59 "VET SCIS" 0.143
"AVIAN PATHOLOGY" 0.578 "VET SCIS" 0.15
"VETERINARY RECORD" 0.569 "VET SCIS" 0.157
"VETERINARY AND COMPARATIVE ONCOLOGY" 0.557 "VET SCIS" 0.164
"ANIMAL WELFARE" 0.526 "VET SCIS" 0.171
"APPLIED ANIMAL BEHAVIOUR SCIENCE" 0.516 "VET SCIS" 0.179
"JOURNAL OF VETERINARY BEHAVIOR-CLINICAL APPLICATIONS AND RESEARCH" 0.515 "VET SCIS" 0.186
"VETERINARY ANAESTHESIA AND ANALGESIA" 0.498 "VET SCIS" 0.193
"FISH & SHELLFISH IMMUNOLOGY" 0.497 "VET SCIS" 0.2
"ACTA VETERINARIA SCANDINAVICA" 0.494 "VET SCIS" 0.207
"THERIOGENOLOGY" 0.485 "VET SCIS" 0.214
"DISEASES OF AQUATIC ORGANISMS" 0.477 "VET SCIS" 0.221
"JOURNAL OF VETERINARY CARDIOLOGY" 0.469 "VET SCIS" 0.229
"LABORATORY ANIMALS" 0.462 "VET SCIS" 0.236
"VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE" 0.455 "VET SCIS" 0.243
"RESEARCH IN VETERINARY SCIENCE" 0.449 "VET SCIS" 0.25
"VETERINARY RESEARCH COMMUNICATIONS" 0.445 "VET SCIS" 0.257
"JOURNAL OF WILDLIFE DISEASES" 0.44 "VET SCIS" 0.264
"ANTHROZOOS" 0.439 "VET SCIS" 0.271
"REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES" 0.425 "VET SCIS" 0.279
"JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION" 0.424 "VET SCIS" 0.286
"NEW ZEALAND VETERINARY JOURNAL" 0.421 "VET SCIS" 0.293
"JOURNAL OF FISH DISEASES" 0.418 "VET SCIS" 0.3
"JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION" 0.412 "VET SCIS" 0.307
"VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY" 0.412 "VET SCIS" 0.314
"JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE" 0.404 "VET SCIS" 0.321
"VETERINARY DERMATOLOGY" 0.403 "VET SCIS" 0.329
"IRISH VETERINARY JOURNAL" 0.401 "VET SCIS" 0.336
"JOURNAL OF FELINE MEDICINE AND SURGERY" 0.4 "VET SCIS" 0.343
"JOURNAL OF SMALL ANIMAL PRACTICE" 0.4 "VET SCIS" 0.35
"JOURNAL OF SWINE HEALTH AND PRODUCTION" 0.394 "VET SCIS" 0.357
"JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS" 0.393 "VET SCIS" 0.364
"TOPICS IN COMPANION ANIMAL MEDICINE" 0.386 "VET SCIS" 0.371
"AMERICAN JOURNAL OF VETERINARY RESEARCH" 0.379 "VET SCIS" 0.379
"AVIAN DISEASES" 0.379 "VET SCIS" 0.386
"JOURNAL OF COMPARATIVE PATHOLOGY" 0.378 "VET SCIS" 0.393
"VETERINARY SURGERY" 0.377 "VET SCIS" 0.4
"REPRODUCTION IN DOMESTIC ANIMALS" 0.375 "VET SCIS" 0.407
"REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA" 0.375 "VET SCIS" 0.414
"JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE" 0.374 "VET SCIS" 0.421
"VETERINARY RADIOLOGY & ULTRASOUND" 0.361 "VET SCIS" 0.429
"VETERINARY CLINICAL PATHOLOGY" 0.357 "VET SCIS" 0.436
"JOURNAL OF VETERINARY SCIENCE" 0.351 "VET SCIS" 0.443
"EXPERIMENTAL ANIMALS" 0.349 "VET SCIS" 0.45
"ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH" 0.331 "VET SCIS" 0.457
"JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE" 0.33 "VET SCIS" 0.464
"CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETERINAIRE" 0.321 "VET SCIS" 0.471
"VETERINARY OPHTHALMOLOGY" 0.321 "VET SCIS" 0.479
"VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY" 0.315 "VET SCIS" 0.486
"VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE" 0.311 "VET SCIS" 0.493
"ZOO BIOLOGY" 0.304 "VET SCIS" 0.5
"AUSTRALIAN VETERINARY JOURNAL" 0.3 "VET SCIS" 0.507
"JOURNAL OF THE AMERICAN ANIMAL HOSPITAL ASSOCIATION" 0.3 "VET SCIS" 0.514
"SOCIETY & ANIMALS" 0.298 "VET SCIS" 0.521
"VETERINARY QUARTERLY" 0.291 "VET SCIS" 0.529
"TROPICAL ANIMAL HEALTH AND PRODUCTION" 0.286 "VET SCIS" 0.536
"ACTA VETERINARIA HUNGARICA" 0.267 "VET SCIS" 0.543
"ITALIAN JOURNAL OF ANIMAL SCIENCE" 0.258 "VET SCIS" 0.55
"JOURNAL OF AQUATIC ANIMAL HEALTH" 0.258 "VET SCIS" 0.557
"COMPARATIVE MEDICINE" 0.252 "VET SCIS" 0.564
"VETERINARIA ITALIANA" 0.247 "VET SCIS" 0.571
"JAPANESE JOURNAL OF VETERINARY RESEARCH" 0.244 "VET SCIS" 0.579
"LAB ANIMAL" 0.243 "VET SCIS" 0.586
"JOURNAL OF THE SOUTH AFRICAN VETERINARY ASSOCIATION" 0.242 "VET SCIS" 0.593
