"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ACOUSTICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,ULTRASONICS SONOCHEMISTRY,6.012,0.817
2,ULTRASOUND IN OBSTETRICS & GYNECOLOGY,5.654,1.455
3,ULTRASCHALL IN DER MEDIZIN,4.389,1.134
4,EURASIP Journal on Audio Speech and Music Processing,3.057,0.494
5,IEEE-ACM Transactions on Audio Speech and Language Processing,2.950,0.714
6,IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,2.704,0.605
7,ULTRASOUND IN MEDICINE AND BIOLOGY,2.645,0.694
8,JOURNAL OF SOUND AND VIBRATION,2.618,0.790
9,ULTRASONICS,2.377,0.630
10,ULTRASONIC IMAGING,2.300,0.498
11,JOURNAL OF VIBRATION AND CONTROL,2.197,0.500
12,SHOCK AND VIBRATION,1.857,0.416
13,JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,1.777,0.516
14,WAVE MOTION,1.723,0.596
15,APPLIED ACOUSTICS,1.721,0.468
16,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,1.605,0.476
17,SPEECH COMMUNICATION,1.585,0.536
18,JOURNAL OF ULTRASOUND IN MEDICINE,1.530,0.512
19,JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL,1.491,0.207
20,ACTA ACUSTICA UNITED WITH ACUSTICA,1.129,0.340
21,JOURNAL OF CLINICAL ULTRASOUND,0.978,0.254
22,Archives of Acoustics,0.917,0.171
23,ACOUSTICAL PHYSICS,0.782,0.146
24,JOURNAL OF THE AUDIO ENGINEERING SOCIETY,0.774,0.248
25,JOURNAL OF COMPUTATIONAL ACOUSTICS,0.741,0.264
26,Acoustics Australia,0.735,0.253
27,NOISE CONTROL ENGINEERING JOURNAL,0.613,0.177
28,International Journal of Aeroacoustics,0.603,0.332
29,PHONETICA,0.480,0.363
30,International Journal of Acoustics and Vibration,0.375,0.128
31,SOUND AND VIBRATION,0.098,0.042
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
