"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'AGRICULTURAL ECONOMICS & POLICY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,FOOD POLICY,3.111,1.070
2,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,2.457,0.970
3,Annual Review of Resource Economics,2.022,1.340
4,JOURNAL OF AGRICULTURAL ECONOMICS,2.000,0.715
5,AGRICULTURAL ECONOMICS,1.732,0.812
6,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,1.667,0.669
7,AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,1.486,0.446
8,Applied Economic Perspectives and Policy,1.246,0.847
9,Agribusiness,1.147,0.288
10,JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,1.094,0.443
11,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,0.810,0.318
12,China Agricultural Economic Review,0.718,0.146
13,Agricultural Economics-Zemedelska Ekonomika,0.706,0.067
14,German Journal of Agricultural Economics,0.612,0.104
15,International Food and Agribusiness Management Review,0.545,0.147
16,Agrekon,0.233,0.071
17,Custos e Agronegocio On Line,0.205,0.018
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
