"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'AGRICULTURAL ENGINEERING' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,BIORESOURCE TECHNOLOGY,5.807,0.973
2,INDUSTRIAL CROPS AND PRODUCTS,3.849,0.698
3,BIOMASS & BIOENERGY,3.358,0.888
4,BIOSYSTEMS ENGINEERING,2.132,0.496
5,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,1.616,0.390
6,AQUACULTURAL ENGINEERING,1.490,0.367
7,Paddy and Water Environment,1.379,0.262
8,International Journal of Agricultural and Biological Engineering,1.267,Not Available
9,Journal of the Korean Society for Applied Biological Chemistry,1.129,0.164
10,Transactions of the ASABE,1.118,0.364
11,Revista Brasileira de Engenharia Agricola e Ambiental,0.619,0.153
12,APPLIED ENGINEERING IN AGRICULTURE,0.497,0.151
13,Engenharia Agricola,0.387,0.106
14,AMA-Agricultural Mechanization in Asia Africa and Latin America,0.150,0.014
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
