"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'AGRICULTURE, DAIRY & ANIMAL SCIENCE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Annual Review of Animal Biosciences,6.775,2.077
2,GENETICS SELECTION EVOLUTION,3.743,1.024
3,Journal of Animal Science and Biotechnology,3.205,0.837
4,JOURNAL OF DAIRY SCIENCE,2.749,0.562
5,POULTRY SCIENCE,2.216,0.502
6,ANIMAL FEED SCIENCE AND TECHNOLOGY,2.143,0.602
7,JOURNAL OF ANIMAL BREEDING AND GENETICS,1.941,0.558
8,DOMESTIC ANIMAL ENDOCRINOLOGY,1.937,0.535
9,ARCHIVES OF ANIMAL NUTRITION,1.887,0.516
10,Animal,1.870,0.610
11,ANIMAL GENETICS,1.841,0.597
12,JOURNAL OF ANIMAL SCIENCE,1.714,0.500
13,Animals,1.654,Not Available
14,ANIMAL REPRODUCTION SCIENCE,1.647,0.421
15,JOURNAL OF REPRODUCTION AND DEVELOPMENT,1.635,0.456
16,JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,1.607,0.424
17,APPLIED ANIMAL BEHAVIOUR SCIENCE,1.548,0.516
18,WORLDS POULTRY SCIENCE JOURNAL,1.439,0.415
19,REPRODUCTION IN DOMESTIC ANIMALS,1.422,0.375
20,ANIMAL SCIENCE JOURNAL,1.402,0.306
21,ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES,1.243,0.341
22,Livestock Science,1.204,0.439
23,Archives Animal Breeding,1.203,0.289
24,JOURNAL OF DAIRY RESEARCH,1.170,0.386
25,BRITISH POULTRY SCIENCE,1.096,0.334
26,JOURNAL OF APPLIED POULTRY RESEARCH,1.064,0.363
27,Annals of Animal Science,1.018,0.225
28,Animal Reproduction,0.991,0.244
29,Italian Journal of Animal Science,0.990,0.258
30,SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE,0.981,0.195
31,TROPICAL ANIMAL HEALTH AND PRODUCTION,0.975,0.286
32,SMALL RUMINANT RESEARCH,0.974,0.275
33,CZECH JOURNAL OF ANIMAL SCIENCE,0.955,0.222
34,Avian Biology Research,0.938,0.365
35,ANIMAL BIOTECHNOLOGY,0.928,0.207
36,JOURNAL OF ANIMAL AND FEED SCIENCES,0.900,0.196
37,JOURNAL OF POULTRY SCIENCE,0.860,0.184
38,JOURNAL OF APPLIED ANIMAL RESEARCH,0.826,0.131
39,Revista Mexicana de Ciencias Pecuarias,0.768,0.169
40,Inra Productions Animales,0.741,0.123
41,REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,0.735,0.187
42,ANIMAL SCIENCE PAPERS AND REPORTS,0.710,0.164
43,ARCHIV FUR TIERZUCHT-ARCHIVES OF ANIMAL BREEDING,0.689,0.156
44,World Rabbit Science,0.661,0.161
45,CANADIAN JOURNAL OF ANIMAL SCIENCE,0.657,0.259
46,European Poultry Science,0.568,0.103
47,Mljekarstvo,0.529,0.096
48,Revista Colombiana de Ciencias Pecuarias,0.516,0.077
49,Brazilian Journal of Poultry Science,0.463,0.145
50,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0.420,0.204
51,Fourrages,0.405,0.037
52,Tropical Grasslands-Forrajes Tropicales,0.389,Not Available
53,Animal Nutrition and Feed Technology,0.295,0.066
54,ITEA-Informacion Tecnica Economica Agraria,0.288,0.054
55,INDIAN JOURNAL OF ANIMAL SCIENCES,0.279,0.045
56,Large Animal Review,0.260,0.054
57,Indian Journal of Animal Research,0.201,0.039
58,Revista MVZ Cordoba,0.162,0.063
59,Buffalo Bulletin,0.119,0.033
60,ZUCHTUNGSKUNDE,0.109,0.043
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
