"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'AGRONOMY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Global Change Biology Bioenergy,5.415,1.522
2,Advances in Agronomy,5.073,1.578
3,Agronomy for Sustainable Development,4.503,1.327
4,AGRICULTURAL AND FOREST METEOROLOGY,4.039,1.412
5,THEORETICAL AND APPLIED GENETICS,3.930,1.070
6,INDUSTRIAL CROPS AND PRODUCTS,3.849,0.698
7,PLANT AND SOIL,3.306,0.945
8,PEST MANAGEMENT SCIENCE,3.249,0.855
9,EUROPEAN JOURNAL OF AGRONOMY,3.192,0.947
10,AGRICULTURAL WATER MANAGEMENT,3.182,0.745
11,FIELD CROPS RESEARCH,3.127,0.926
12,POSTHARVEST BIOLOGY AND TECHNOLOGY,3.112,0.664
13,Rice,3.039,1.153
14,Crop Journal,2.658,Not Available
15,JOURNAL OF AGRONOMY AND CROP SCIENCE,2.571,0.665
16,PLANT PATHOLOGY,2.303,0.633
17,Archives of Agronomy and Soil Science,2.254,0.332
18,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,2.163,0.562
19,MOLECULAR BREEDING,2.077,0.615
20,WEED SCIENCE,2.044,0.661
21,CROP PROTECTION,1.920,0.511
22,AGRONOMY JOURNAL,1.897,0.516
23,WEED RESEARCH,1.766,0.515
24,EXPERIMENTAL AGRICULTURE,1.680,0.360
25,IRRIGATION SCIENCE,1.653,0.655
26,CROP SCIENCE,1.635,0.481
27,GRASS AND FORAGE SCIENCE,1.574,0.451
28,BREEDING SCIENCE,1.559,0.463
29,EUPHYTICA,1.546,0.400
30,Rice Science,1.521,Not Available
31,EUROPEAN JOURNAL OF PLANT PATHOLOGY,1.466,0.432
32,PHYTOPATHOLOGIA MEDITERRANEA,1.442,0.400
33,Turkish Journal of Agriculture and Forestry,1.434,0.282
34,PLANT SOIL AND ENVIRONMENT,1.421,0.319
35,Agronomy-Basel,1.419,Not Available
36,PLANT BREEDING,1.392,0.423
37,Paddy and Water Environment,1.379,0.262
38,MYCOBIOLOGY,1.369,Not Available
39,WEED TECHNOLOGY,1.246,0.319
40,International Agrophysics,1.242,0.253
41,AGROFORESTRY SYSTEMS,1.201,0.388
42,AMERICAN JOURNAL OF POTATO RESEARCH,1.156,0.340
43,GENETIC RESOURCES AND CROP EVOLUTION,1.130,0.326
44,BIOLOGICAL AGRICULTURE & HORTICULTURE,1.106,0.276
45,PLANT PROTECTION SCIENCE,1.076,0.230
46,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0.894,0.208
47,International Journal of Plant Production,0.886,0.246
48,PLANT PRODUCTION SCIENCE,0.875,0.235
49,CANADIAN JOURNAL OF PLANT SCIENCE,0.873,0.273
50,CAHIERS AGRICULTURES,0.809,0.095
51,Sugar Tech,0.807,0.206
52,Crop Breeding and Applied Biotechnology,0.806,0.123
53,BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,0.795,0.202
54,WEED BIOLOGY AND MANAGEMENT,0.778,0.274
55,Chilean Journal of Agricultural Research,0.775,0.245
56,POTATO RESEARCH,0.771,0.299
57,IRRIGATION AND DRAINAGE,0.707,0.193
58,ALLELOPATHY JOURNAL,0.705,0.097
59,ACTA SCIENTIARUM-AGRONOMY,0.692,0.311
60,Turkish Journal of Field Crops,0.689,0.135
61,NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,0.647,0.163
62,Range Management and Agroforestry,0.643,0.030
63,Gesunde Pflanzen,0.639,0.143
64,GRASSLAND SCIENCE,0.629,0.180
65,Journal of Plant Registrations,0.620,0.155
66,Emirates Journal of Food and Agriculture,0.609,Not Available
67,SEED SCIENCE AND TECHNOLOGY,0.593,0.102
68,Italian Journal of Agronomy,0.579,Not Available
69,Journal of Agrometeorology,0.563,0.105
70,COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,0.540,0.140
71,CIENCIA RURAL,0.525,0.147
72,CEREAL RESEARCH COMMUNICATIONS,0.489,0.103
73,Czech Journal of Genetics and Plant Breeding,0.467,0.141
74,Romanian Agricultural Research,0.458,0.057
75,Revista Caatinga,0.421,0.108
76,Bioscience Journal,0.404,0.102
77,Genetika-Belgrade,0.392,0.073
78,Tropical Grasslands-Forrajes Tropicales,0.389,Not Available
79,Revista Fitotecnia Mexicana,0.330,0.130
80,Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,0.314,0.094
81,ITEA-Informacion Tecnica Economica Agraria,0.288,0.054
82,JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY,0.277,0.064
83,Legume Research,0.232,0.039
84,MAYDICA,0.231,0.141
85,Philippine Journal of Crop Science,0.211,0.042
86,Revista de la Facultad de Agronomia de la Universidad del Zulia,0.102,0.020
87,INTERNATIONAL SUGAR JOURNAL,0.067,0.022
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
