"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ALLERGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,13.258,3.879
2,Journal of Allergy and Clinical Immunology-In Practice,6.966,1.905
3,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,6.442,1.441
4,ALLERGY,6.048,1.938
5,World Allergy Organization Journal,5.676,Not Available
6,CLINICAL AND EXPERIMENTAL ALLERGY,5.158,1.456
7,CONTACT DERMATITIS,4.275,0.665
8,PEDIATRIC ALLERGY AND IMMUNOLOGY,4.137,1.022
9,ALLERGOLOGY INTERNATIONAL,4.045,0.893
10,Allergy Asthma & Immunology Research,3.809,0.733
11,IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,3.694,0.866
12,Current Opinion in Allergy and Clinical Immunology,3.544,1.038
13,Clinical and Translational Allergy,3.539,Not Available
14,JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,3.457,0.695
15,CURRENT ALLERGY AND ASTHMA REPORTS,3.449,0.916
16,ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,3.263,0.897
17,INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,2.437,0.633
18,ALLERGY AND ASTHMA PROCEEDINGS,2.213,0.585
19,Allergy Asthma and Clinical Immunology,2.051,0.723
20,JOURNAL OF ASTHMA,2.014,0.568
21,ALLERGOLOGIA ET IMMUNOPATHOLOGIA,1.644,0.411
22,Postepy Dermatologii i Alergologii,1.471,0.275
23,Iranian Journal of Allergy Asthma and Immunology,1.049,0.213
24,ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,0.976,0.278
25,Pediatric Allergy Immunology and Pulmonology,0.533,0.200
26,Revue Francaise d Allergologie,0.306,0.018
27,ALLERGOLOGIE,0.220,0.029
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
