"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ANATOMY & MORPHOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Brain Structure & Function,4.231,1.462
2,Frontiers in Neuroanatomy,3.152,1.273
3,DEVELOPMENTAL DYNAMICS,2.507,0.904
4,JOURNAL OF ANATOMY,2.479,0.884
5,Advances in Anatomy Embryology and Cell Biology,2.333,0.976
6,APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,2.042,0.457
7,CLINICAL ANATOMY,1.908,0.470
8,ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER,1.852,0.510
9,JOURNAL OF MORPHOLOGY,1.711,0.563
10,TISSUE & CELL,1.438,0.331
11,ZOOMORPHOLOGY,1.400,0.388
12,Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,1.373,0.516
13,ANATOMICAL SCIENCE INTERNATIONAL,1.330,0.315
14,CELLS TISSUES ORGANS,1.275,0.496
15,MICROSCOPY RESEARCH AND TECHNIQUE,1.087,0.301
16,ACTA ZOOLOGICA,1.074,0.342
17,SURGICAL AND RADIOLOGIC ANATOMY,1.003,0.294
18,ANATOMIA HISTOLOGIA EMBRYOLOGIA,0.731,0.195
19,FOLIA MORPHOLOGICA,0.497,0.149
20,INTERNATIONAL JOURNAL OF MORPHOLOGY,0.336,0.061
21,Journal of the Anatomical Society of India,0.118,0.032
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
