"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'AREA STUDIES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,POST-SOVIET AFFAIRS,2.578,1.211
2,AFRICAN AFFAIRS,2.500,1.272
3,CHINA QUARTERLY,2.276,1.443
4,CHINA JOURNAL,2.250,0.984
5,BULLETIN OF INDONESIAN ECONOMIC STUDIES,1.829,0.437
6,PACIFIC REVIEW,1.809,0.353
7,JOURNAL OF CONTEMPORARY ASIA,1.581,0.562
8,Journal of Contemporary China,1.575,0.550
9,Asia Pacific Viewpoint,1.377,0.763
10,ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,1.188,1.569
11,LATIN AMERICAN POLITICS AND SOCIETY,1.170,0.677
12,Mediterranean Politics,1.136,0.406
13,PACIFIC AFFAIRS,1.119,0.515
14,EURASIAN GEOGRAPHY AND ECONOMICS,1.104,0.488
15,Southeast European and Black Sea Studies,1.076,0.184
16,Review of African Political Economy,1.032,0.386
17,African Studies Review,0.934,0.614
18,JOURNAL OF ASIAN STUDIES,0.917,0.363
19,INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,0.911,0.572
20,Contemporary Southeast Asia,0.906,0.272
21,CRITICAL ASIAN STUDIES,0.875,0.725
21,JOURNAL OF MODERN AFRICAN STUDIES,0.875,0.566
23,Bulletin of Latin American Research,0.854,0.218
24,EUROPE-ASIA STUDIES,0.842,0.393
25,EAST EUROPEAN POLITICS AND SOCIETIES,0.817,0.404
26,SLAVIC REVIEW,0.811,0.325
27,JOURNAL OF LATIN AMERICAN STUDIES,0.804,0.535
28,MODERN CHINA,0.800,0.801
29,Turkish Studies,0.754,0.342
30,Journal of Eastern African Studies,0.734,0.547
31,China Information,0.700,Not Available
32,China Review-An Interdisciplinary Journal on Greater China,0.694,0.380
33,JOURNAL OF JAPANESE STUDIES,0.688,0.260
34,JOURNAL OF SOUTHERN AFRICAN STUDIES,0.681,0.365
35,CONTEMPORARY PACIFIC,0.619,0.153
36,AFRICA,0.596,0.519
37,British Journal of Middle Eastern Studies,0.589,0.233
38,Asian Studies Review,0.576,0.363
39,LATIN AMERICAN PERSPECTIVES,0.575,0.305
40,MIDDLE EAST JOURNAL,0.548,0.290
41,MIDDLE EAST POLICY,0.547,0.258
42,LATIN AMERICAN RESEARCH REVIEW,0.536,0.246
43,JOURNAL OF ASIAN AND AFRICAN STUDIES,0.522,Not Available
44,Social Science Japan Journal,0.500,0.165
45,Journal of Balkan and Near Eastern Studies,0.466,0.188
46,JOURNAL OF SOUTHEAST ASIAN STUDIES,0.463,0.238
47,MODERN ASIAN STUDIES,0.442,0.282
48,European Review,0.434,0.059
49,Iranian Studies,0.430,0.116
50,Social Dynamics-A Journal of African Studies,0.426,0.150
51,Africa Spectrum,0.421,0.357
52,ASIAN SURVEY,0.417,0.246
53,JOURNAL OF BALTIC STUDIES,0.321,0.081
54,IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES,0.319,0.181
55,Asian Journal of Social Science,0.315,0.117
56,Journal of Australian Studies,0.311,0.144
57,MIDDLE EASTERN STUDIES,0.265,0.220
58,Pacific Focus,0.263,0.085
59,GERMAN STUDIES REVIEW,0.179,0.139
59,JOURNAL OF PALESTINE STUDIES,0.179,0.099
61,China-An International Journal,0.174,0.132
62,African and Asian Studies,0.167,0.072
63,Israel Affairs,0.160,0.090
64,Korea Observer,0.153,0.095
65,London Journal,0.097,0.322
66,Bilig,0.087,0.011
67,NWIG-New West Indian Guide-Nieuwe West-Indische Gids,0.083,0.193
68,AFRICAN STUDIES,0.041,0.243
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
