"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ASTRONOMY & ASTROPHYSICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Annual Review of Astronomy and Astrophysics,24.912,20.670
2,Living Reviews in Solar Physics,12.833,9.569
3,ASTRONOMY AND ASTROPHYSICS REVIEW,11.611,8.206
4,Annual Review of Earth and Planetary Sciences,11.391,5.486
5,SPACE SCIENCE REVIEWS,9.327,4.279
6,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,8.561,4.383
7,NEW ASTRONOMY REVIEWS,7.500,3.160
8,Astrophysical Journal Letters,6.634,2.550
9,Physics of the Dark Universe,6.509,2.307
10,ASTRONOMY & ASTROPHYSICS,5.565,1.643
11,ASTROPHYSICAL JOURNAL,5.551,1.755
12,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,5.194,1.410
13,JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,5.126,1.336
14,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,4.630,1.608
15,PHYSICAL REVIEW D,4.394,1.038
16,PHYSICS LETTERS B,4.254,1.346
17,ASTRONOMICAL JOURNAL,4.150,1.784
18,ACTA ASTRONOMICA,3.667,1.147
19,ASTROBIOLOGY,3.610,1.076
20,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,3.409,2.113
21,CLASSICAL AND QUANTUM GRAVITY,3.283,1.146
22,Earth and Space Science,3.221,Not Available
23,ASTROPARTICLE PHYSICS,3.203,1.065
24,ICARUS,2.981,1.164
25,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,2.887,0.862
26,Astronomy and Computing,2.754,1.070
27,JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,2.752,0.650
28,COMPTES RENDUS PHYSIQUE,2.646,1.173
29,SOLAR PHYSICS,2.580,1.327
30,Journal of Space Weather and Space Climate,2.333,1.111
31,Journal of High Energy Astrophysics,2.282,Not Available
32,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,2.244,0.792
33,INTERNATIONAL JOURNAL OF MODERN PHYSICS D,2.171,0.651
34,CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,2.121,0.660
35,International Journal of Astrobiology,1.921,0.459
36,ASTROPHYSICS AND SPACE SCIENCE,1.885,0.450
37,PLANETARY AND SPACE SCIENCE,1.820,0.781
38,GENERAL RELATIVITY AND GRAVITATION,1.721,0.528
39,ANNALES GEOPHYSICAE,1.621,0.611
40,Journal of the Korean Astronomical Society,1.545,0.463
41,ADVANCES IN SPACE RESEARCH,1.529,0.439
42,RADIO SCIENCE,1.418,0.550
43,GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS,1.417,0.576
44,EXPERIMENTAL ASTRONOMY,1.349,0.788
45,ASTRONOMISCHE NACHRICHTEN,1.322,0.439
46,MODERN PHYSICS LETTERS A,1.308,0.328
47,Astrophysical Bulletin,1.290,0.199
48,REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA,1.286,0.996
49,Research in Astronomy and Astrophysics,1.227,0.565
50,Advances in Astronomy,1.209,0.547
51,ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS,1.160,0.307
52,NEW ASTRONOMY,0.920,0.360
53,Gravitation & Cosmology,0.870,0.139
54,JOURNAL OF ASTROPHYSICS AND ASTRONOMY,0.849,0.183
55,Serbian Astronomical Journal,0.840,0.263
56,ASTRONOMY REPORTS,0.824,0.211
57,ASTROPHYSICS,0.755,0.150
58,Contributions of the Astronomical Observatory Skalnate Pleso,0.733,0.237
59,EARTH MOON AND PLANETS,0.721,0.364
60,Kinematics and Physics of Celestial Bodies,0.654,0.102
61,SOLAR SYSTEM RESEARCH,0.527,0.194
62,COSMIC RESEARCH,0.444,0.141
63,BALTIC ASTRONOMY,0.417,0.146
64,ASTRONOMY & GEOPHYSICS,0.291,0.083
65,OBSERVATORY,0.130,0.064
66,Nature Astronomy,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
