"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,EAR AND HEARING,3.120,1.023
2,BRAIN AND LANGUAGE,2.851,1.143
3,HEARING RESEARCH,2.824,0.900
4,Augmentative and Alternative Communication,2.137,0.489
5,Language Cognition and Neuroscience,2.086,0.716
6,AUDIOLOGY AND NEURO-OTOLOGY,2.078,0.689
7,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1.906,0.722
8,Noise & Health,1.842,0.564
9,Trends in Hearing,1.808,0.775
10,INTERNATIONAL JOURNAL OF AUDIOLOGY,1.759,0.542
11,JOURNAL OF FLUENCY DISORDERS,1.727,0.504
12,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1.713,0.631
13,JOURNAL OF COMMUNICATION DISORDERS,1.696,0.581
14,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,1.605,0.476
15,Journal of the American Academy of Audiology,1.593,0.541
16,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,1.508,0.677
17,International Journal of Speech-Language Pathology,1.441,0.483
18,LANGUAGE AND SPEECH,1.235,0.610
19,CLINICAL LINGUISTICS & PHONETICS,1.191,0.352
20,American Journal of Audiology,1.118,0.423
21,SEMINARS IN SPEECH AND LANGUAGE,1.073,0.383
22,Logopedics Phoniatrics Vocology,1.045,0.194
23,LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,0.887,0.485
24,FOLIA PHONIATRICA ET LOGOPAEDICA,0.545,0.244
25,PHONETICA,0.480,0.363
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
