"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'AUTOMATION & CONTROL SYSTEMS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,IEEE Transactions on Cybernetics,8.803,2.572
2,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,7.050,2.025
3,AUTOMATICA,6.126,2.264
4,IEEE Transactions on Industrial Informatics,5.430,1.801
5,IEEE Transactions on Systems Man Cybernetics-Systems,5.135,1.073
6,IEEE CONTROL SYSTEMS MAGAZINE,5.060,1.547
7,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,5.007,2.254
8,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,4.883,1.525
9,Nonlinear Analysis-Hybrid Systems,4.010,1.093
10,IEEE-ASME TRANSACTIONS ON MECHATRONICS,3.936,1.093
11,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,3.856,1.212
12,IEEE Transactions on Automation Science and Engineering,3.667,1.137
13,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,3.576,0.875
14,IEEE ROBOTICS & AUTOMATION MAGAZINE,3.573,1.719
15,ISA TRANSACTIONS,3.370,0.767
16,IET Control Theory and Applications,3.296,0.897
17,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2.819,0.719
18,JOURNAL OF PROCESS CONTROL,2.787,0.772
19,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,2.701,0.595
20,SYSTEMS & CONTROL LETTERS,2.656,1.387
21,ROBOTICS AND AUTONOMOUS SYSTEMS,2.638,0.702
22,CONTROL ENGINEERING PRACTICE,2.616,0.776
23,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2.601,0.397
24,MECHATRONICS,2.423,0.641
25,International Journal of Fuzzy Systems,2.396,0.320
26,ANNUAL REVIEWS IN CONTROL,2.320,1.086
27,JOURNAL OF MACHINE LEARNING RESEARCH,2.281,3.047
28,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,2.185,0.498
29,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,2.173,0.322
30,INTERNATIONAL JOURNAL OF CONTROL,2.101,0.797
31,INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,2.082,0.638
32,EUROPEAN JOURNAL OF CONTROL,2.026,0.995
33,International Journal of Applied Mathematics and Computer Science,1.694,0.372
34,OPTIMAL CONTROL APPLICATIONS & METHODS,1.614,0.548
35,SIAM JOURNAL ON CONTROL AND OPTIMIZATION,1.594,1.509
36,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,1.579,0.272
37,Archives of Control Sciences,1.545,Not Available
38,ASIAN JOURNAL OF CONTROL,1.528,0.324
39,JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,1.521,0.412
40,JOURNAL OF CHEMOMETRICS,1.500,0.394
41,DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,1.444,0.913
42,ASSEMBLY AUTOMATION,1.383,0.239
43,IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION,1.358,0.482
44,International Journal of Computers Communications & Control,1.290,0.170
45,ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,1.225,1.322
46,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,1.176,0.627
47,INTERNATIONAL JOURNAL OF ROBOTICS & AUTOMATION,1.065,0.092
48,Studies in Informatics and Control,1.020,0.081
49,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART I-JOURNAL OF SYSTEMS AND CONTROL ENGINEERING,0.988,0.309
50,MEASUREMENT & CONTROL,0.878,0.103
51,MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS,0.875,0.926
52,Information Technology and Control,0.800,0.116
53,Control Engineering and Applied Informatics,0.698,0.111
54,JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,0.693,0.378
55,MODELING IDENTIFICATION AND CONTROL,0.667,0.293
56,INTELLIGENT AUTOMATION AND SOFT COMPUTING,0.652,0.101
57,Journal of Systems Engineering and Electronics,0.572,0.121
58,AUTOMATION AND REMOTE CONTROL,0.562,0.090
59,AT-Automatisierungstechnik,0.503,0.059
60,Revista Iberoamericana de Automatica e Informatica Industrial,0.494,0.077
61,Automatika,0.217,0.048
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
