Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE Selected Categories: 'BEHAVIORAL SCIENCES' Selected Category Scheme: WoS,,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,TRENDS IN COGNITIVE SCIENCES,15.557,9.424
2,BEHAVIORAL AND BRAIN SCIENCES,15.071,8.860
3,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,8.037,3.280
4,Advances in the Study of Behavior,5.200,2.013
5,CORTEX,4.907,1.712
6,HORMONES AND BEHAVIOR,4.418,1.408
7,Autism Research,3.768,1.472
8,EVOLUTION AND HUMAN BEHAVIOR,3.623,1.449
9,GENES BRAIN AND BEHAVIOR,3.496,1.077
10,BEHAVIORAL ECOLOGY,3.347,1.197
11,NEUROBIOLOGY OF LEARNING AND MEMORY,3.244,1.173
12,CHEMICAL SENSES,3.235,0.985
13,APPETITE,3.174,0.988
14,BEHAVIOURAL BRAIN RESEARCH,3.173,0.858
15,Frontiers in Behavioral Neuroscience,3.138,1.175
16,ANIMAL BEHAVIOUR,3.067,1.110
17,STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,3.047,0.896
18,BIOLOGICAL PSYCHOLOGY,2.891,1.235
19,NEUROPSYCHOLOGIA,2.889,1.122
20,ANIMAL COGNITION,2.805,0.803
21,EPILEPSY & BEHAVIOR,2.600,0.663
22,COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,2.565,1.290
23,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,2.538,0.692
24,PHYSIOLOGY & BEHAVIOR,2.517,0.829
25,BEHAVIORAL NEUROSCIENCE,2.507,0.902
26,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2.473,0.860
27,Behavioral and Brain Functions,2.449,0.769
28,BEHAVIORAL MEDICINE,2.442,0.756
29,HUMAN FACTORS,2.371,0.729
30,Brain and Behavior,2.219,0.826
31,AGGRESSIVE BEHAVIOR,2.216,1.023
32,JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,2.199,0.975
33,Language Cognition and Neuroscience,2.086,0.716
34,BEHAVIOR GENETICS,2.036,1.188
35,JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,2.010,0.527
36,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,1.970,0.787
37,JOURNAL OF ECT,1.896,0.512
38,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,1.861,0.530
39,BEHAVIOURAL PHARMACOLOGY,1.854,0.581
40,JOURNAL OF COMPARATIVE PSYCHOLOGY,1.771,0.692
41,ETHOLOGY,1.697,0.607
42,BRAIN BEHAVIOR AND EVOLUTION,1.650,0.677
43,ACTA ETHOLOGICA,1.625,0.505
44,BEHAVIOURAL PROCESSES,1.555,0.564
45,Journal of Veterinary Behavior-Clinical Applications and Research,1.554,0.515
46,APPLIED ANIMAL BEHAVIOUR SCIENCE,1.548,0.516
47,BEHAVIOUR,1.484,0.555
48,Cognitive and Behavioral Neurology,1.444,0.439
49,LEARNING & BEHAVIOR,1.434,0.473
50,ETHOLOGY ECOLOGY & EVOLUTION,1.270,0.492
51,JOURNAL OF ETHOLOGY,1.127,0.459
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
