"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'BIOCHEMISTRY & MOLECULAR BIOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURE MEDICINE,32.621,15.150
2,CELL,31.398,19.514
3,Annual Review of Biochemistry,20.154,14.042
4,TRENDS IN BIOCHEMICAL SCIENCES,15.678,6.722
5,MOLECULAR CELL,14.248,8.482
6,Nature Chemical Biology,13.843,6.564
7,NATURE STRUCTURAL & MOLECULAR BIOLOGY,13.333,7.791
8,TRENDS IN MICROBIOLOGY,11.776,4.126
9,MOLECULAR PSYCHIATRY,11.640,4.523
10,NUCLEIC ACIDS RESEARCH,11.561,4.279
11,NATURAL PRODUCT REPORTS,11.406,3.464
12,TRENDS IN MOLECULAR MEDICINE,11.021,3.930
13,EMBO JOURNAL,10.557,5.386
14,MOLECULAR BIOLOGY AND EVOLUTION,10.217,5.511
15,GENOME RESEARCH,10.101,8.082
16,Molecular Plant,9.326,2.718
17,CURRENT BIOLOGY,9.251,4.758
18,PLOS BIOLOGY,9.163,4.473
19,Cell Systems,8.982,6.391
20,EMBO REPORTS,8.749,4.247
21,Molecular Systems Biology,8.500,5.053
22,PROGRESS IN LIPID RESEARCH,8.435,3.147
23,PLANT CELL,8.228,3.476
24,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,8.220,2.312
25,MATRIX BIOLOGY,8.136,1.815
26,CELL DEATH AND DIFFERENTIATION,8.000,2.640
27,Molecular Cancer,7.776,1.561
28,CURRENT OPINION IN CHEMICAL BIOLOGY,7.572,2.684
29,MOLECULAR ASPECTS OF MEDICINE,7.344,3.468
30,CURRENT OPINION IN STRUCTURAL BIOLOGY,7.179,3.311
31,Redox Biology,7.126,1.844
32,Molecular Ecology Resources,7.059,2.010
33,ONCOGENE,6.854,1.996
34,CELLULAR AND MOLECULAR LIFE SCIENCES,6.721,2.014
35,ANTIOXIDANTS & REDOX SIGNALING,6.530,1.954
36,CYTOKINE & GROWTH FACTOR REVIEWS,6.395,2.112
37,Science Signaling,6.378,3.241
38,MOLECULAR ECOLOGY,6.131,2.210
39,FREE RADICAL BIOLOGY AND MEDICINE,6.020,1.538
40,CHEMISTRY & BIOLOGY,5.915,2.800
41,BIOMACROMOLECULES,5.738,1.279
42,FASEB JOURNAL,5.595,1.732
43,Cell Chemical Biology,5.592,2.847
44,EXPERIMENTAL AND MOLECULAR MEDICINE,5.584,1.464
45,ADDICTION BIOLOGY,5.578,1.434
46,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,5.279,3.289
47,RNA Biology,5.216,2.148
48,Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,5.179,2.073
49,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,5.108,1.701
50,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,4.966,1.641
51,Epigenetics,4.918,1.566
52,STRUCTURE,4.907,2.716
53,HUMAN MOLECULAR GENETICS,4.902,2.291
54,JOURNAL OF MOLECULAR BIOLOGY,4.894,1.991
55,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,4.651,1.789
56,JOURNAL OF NEUROCHEMISTRY,4.609,1.265
57,ACS Chemical Biology,4.592,1.805
58,FEBS Journal,4.530,1.362
59,JOURNAL OF LIPID RESEARCH,4.505,1.722
60,RNA,4.490,2.506
61,BIOCONJUGATE CHEMISTRY,4.485,1.190
62,BIOESSAYS,4.419,1.887
63,JOURNAL OF NUTRITIONAL BIOCHEMISTRY,4.414,1.028
64,MOLECULAR PHYLOGENETICS AND EVOLUTION,4.412,1.384
65,NITRIC OXIDE-BIOLOGY AND CHEMISTRY,4.367,0.926
66,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,4.280,1.786
67,ACS Chemical Neuroscience,4.211,1.282
68,Computational and Structural Biotechnology Journal,4.148,Not Available
69,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,4.095,0.982
70,Metallomics,4.069,0.917
71,Journal of Genetics and Genomics,4.066,1.084
72,International Journal of Biological Sciences,4.057,1.194
73,AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,4.048,0.867
74,CHROMOSOMA,4.021,1.822
75,JOURNAL OF BIOLOGICAL CHEMISTRY,4.011,1.551
76,METHODS,3.998,1.564
77,APOPTOSIS,3.967,0.854
78,BIOORGANIC CHEMISTRY,3.929,0.637
79,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,3.909,0.622
80,EXPERT REVIEWS IN MOLECULAR MEDICINE,3.865,1.355
81,BIOCHEMICAL JOURNAL,3.857,1.434
82,CURRENT OPINION IN LIPIDOLOGY,3.853,1.336
83,MOLECULAR CARCINOGENESIS,3.851,0.777
84,MOLECULAR MICROBIOLOGY,3.816,1.591
85,MOLECULAR AND CELLULAR BIOLOGY,3.813,2.024
86,BIOELECTROCHEMISTRY,3.789,0.745
87,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,3.785,1.307
88,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,3.755,0.698
89,PLANT SCIENCE,3.712,1.036
90,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,3.687,0.876
91,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,3.679,1.273
92,GLYCOBIOLOGY,3.664,1.103
93,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,3.638,0.498
94,EUROPEAN JOURNAL OF HUMAN GENETICS,3.636,1.469
95,International Review of Cell and Molecular Biology,3.622,1.429
96,NEUROCHEMISTRY INTERNATIONAL,3.603,0.781
97,MOLECULAR PLANT-MICROBE INTERACTIONS,3.588,1.248
98,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,3.562,1.104
99,PLANT MOLECULAR BIOLOGY,3.543,1.122
100,PROTEOMICS,3.532,1.081
101,CYTOKINE,3.514,0.861
101,Current Topics in Membranes,3.514,1.518
103,CURRENT MEDICINAL CHEMISTRY,3.469,0.788
104,Advances in Microbial Physiology,3.455,1.063
105,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,3.440,0.749
106,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,3.438,1.077
107,JOURNAL OF STRUCTURAL BIOLOGY,3.433,2.497
108,Advances in Carbohydrate Chemistry and Biochemistry,3.429,1.273
109,PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,3.427,0.936
110,Cell and Bioscience,3.405,1.020
111,BIOCHEMICAL SOCIETY TRANSACTIONS,3.394,1.135
112,MACROMOLECULAR BIOSCIENCE,3.392,0.737
113,MOLECULAR MEDICINE,3.340,1.139
114,Essays in Biochemistry,3.338,1.405
115,CHEMICO-BIOLOGICAL INTERACTIONS,3.296,0.660
116,Food & Function,3.289,0.735
117,Open Biology,3.286,1.554
118,INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,3.247,1.020
119,IUBMB LIFE,3.236,0.989
120,Reviews of Physiology Biochemistry and Pharmacology,3.235,1.261
121,GENE THERAPY,3.203,0.917
122,BIOCHIMIE,3.188,0.883
122,MOLECULAR IMMUNOLOGY,3.188,0.918
124,PHYTOCHEMISTRY,3.186,0.766
125,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,3.165,0.563
126,Expert Opinion on Drug Metabolism & Toxicology,3.151,0.745
127,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,3.118,0.918
128,MOLECULAR REPRODUCTION AND DEVELOPMENT,3.113,0.867
129,JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,3.107,0.431
130,Acta Crystallographica Section D-Structural Biology,3.099,1.853
131,MOLECULES,3.098,0.631
132,Journal of Integrative Plant Biology,3.092,1.076
133,BMB Reports,3.085,0.591
134,MOLECULES AND CELLS,3.077,0.811
135,Progress in Molecular Biology and Translational Science,3.074,1.197
136,JOURNAL OF INORGANIC BIOCHEMISTRY,3.063,0.619
137,BIOFACTORS,3.038,0.915
137,FREE RADICAL RESEARCH,3.038,0.766
139,BIOLOGICAL CHEMISTRY,3.022,1.018
140,FEBS LETTERS,2.999,1.145
141,BIOCHEMISTRY,2.997,1.073
142,PROSTAGLANDINS & OTHER LIPID MEDIATORS,2.991,0.829
143,JOURNAL OF CELLULAR BIOCHEMISTRY,2.959,0.768
144,JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,2.952,0.720
145,Comparative Biochemistry and Physiology D-Genomics & Proteomics,2.913,0.625
146,CHROMOSOME RESEARCH,2.909,0.929
147,AMINO ACIDS,2.906,0.727
148,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,2.902,0.594
149,BIOSCIENCE REPORTS,2.899,0.892
150,BIOORGANIC & MEDICINAL CHEMISTRY,2.881,0.603
151,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,2.869,0.791
152,PEPTIDES,2.851,0.667
153,BMC MOLECULAR BIOLOGY,2.795,0.774
154,CHEMBIOCHEM,2.774,0.955
155,NEUROCHEMICAL RESEARCH,2.772,0.625
156,CHEMISTRY AND PHYSICS OF LIPIDS,2.766,0.789
157,Molecular BioSystems,2.759,0.794
158,JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,2.736,0.552
159,MOLECULAR GENETICS AND GENOMICS,2.734,0.737
160,CURRENT PROTEIN & PEPTIDE SCIENCE,2.696,0.827
161,MAMMALIAN GENOME,2.687,1.118
162,Lipids in Health and Disease,2.663,0.606
163,CURRENT DRUG METABOLISM,2.655,0.613
164,DNA AND CELL BIOLOGY,2.634,0.457
165,Nucleic Acid Therapeutics,2.623,1.097
166,PROCESS BIOCHEMISTRY,2.616,0.566
167,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,2.609,0.876
168,JOURNAL OF LIPOSOME RESEARCH,2.576,0.450
169,Organogenesis,2.567,0.992
170,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,2.559,0.628
171,GLYCOCONJUGATE JOURNAL,2.548,0.597
172,Channels,2.538,0.818
173,JOURNAL OF BIOMOLECULAR NMR,2.534,0.972
174,STEROIDS,2.523,0.637
175,INSECT MOLECULAR BIOLOGY,2.492,0.751
176,Current Molecular Pharmacology,2.481,Not Available
177,BIOMETALS,2.478,0.565
178,JOURNAL OF MOLECULAR NEUROSCIENCE,2.454,0.550
179,Advances in Protein Chemistry and Structural Biology,2.439,0.758
180,PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,2.437,0.765
181,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,2.426,0.594
182,JOURNAL OF CHEMICAL ECOLOGY,2.419,0.854
182,JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,2.419,0.658
184,PROTEIN SCIENCE,2.410,1.158
185,BIOLOGICAL TRACE ELEMENT RESEARCH,2.361,0.424
186,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,2.356,0.873
187,JOURNAL OF BIOCHEMISTRY,2.350,0.821
188,Frontiers in Bioscience-Landmark,2.349,0.700
189,MedChemComm,2.342,0.585
190,Chemical Biology & Drug Design,2.328,0.514
191,Innate Immunity,2.312,0.700
192,YEAST,2.283,0.744
193,ANALYTICAL BIOCHEMISTRY,2.275,0.539
194,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,2.274,0.929
195,CURRENT ISSUES IN MOLECULAR BIOLOGY,2.267,0.559
196,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,2.258,0.627
197,Biochemistry and Cell Biology,2.250,0.546
198,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,2.224,0.534
199,MOLECULAR VISION,2.219,0.645
200,PHOTOCHEMISTRY AND PHOTOBIOLOGY,2.214,0.503
201,TRANSGENIC RESEARCH,2.197,0.548
202,CELL BIOCHEMISTRY AND FUNCTION,2.186,0.457
203,CURRENT GENOMICS,2.172,0.820
204,REDOX REPORT,2.167,0.445
205,JOURNAL OF CHEMICAL NEUROANATOMY,2.162,0.540
206,BIOTECHNIQUES,2.098,1.082
207,CARBOHYDRATE RESEARCH,2.074,0.434
208,Vitamins and Hormones,2.064,0.560
209,Prion,2.011,0.683
210,EXTREMOPHILES,2.000,0.547
211,BIOPOLYMERS,1.990,0.686
212,Methods in Enzymology,1.984,0.956
213,JOURNAL OF PEPTIDE SCIENCE,1.969,0.532
214,JOURNAL OF MOLECULAR EVOLUTION,1.957,0.651
215,LIPIDS,1.936,0.526
216,BIOCHEMICAL GENETICS,1.927,0.279
217,BIOINORGANIC CHEMISTRY AND APPLICATIONS,1.920,0.440
218,International Journal of Genomics,1.904,0.578
219,MOLECULAR BIOLOGY REPORTS,1.889,0.387
220,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,1.885,0.402
221,PROTEIN ENGINEERING DESIGN & SELECTION,1.881,0.816
222,CELL COMMUNICATION AND ADHESION,1.875,0.565
223,BIOPHYSICAL CHEMISTRY,1.870,0.570
224,JOURNAL OF MOLECULAR RECOGNITION,1.868,0.482
225,JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,1.837,0.421
226,CURRENT PHARMACEUTICAL BIOTECHNOLOGY,1.819,0.450
227,Journal of Zhejiang University-SCIENCE B,1.815,0.396
227,MOLECULAR BIOTECHNOLOGY,1.815,0.445
229,APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,1.797,0.369
230,FEBS Open Bio,1.782,0.568
231,JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION,1.775,0.336
232,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,1.744,0.681
233,FISH PHYSIOLOGY AND BIOCHEMISTRY,1.735,0.477
234,BIOCHEMISTRY-MOSCOW,1.724,0.399
235,Biomedical Journal,1.723,Not Available
236,EUROPEAN CYTOKINE NETWORK,1.720,0.621
237,MOLECULAR AND CELLULAR PROBES,1.689,0.418
238,BIOMEDICAL CHROMATOGRAPHY,1.688,0.316
239,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,1.684,0.477
240,LUMINESCENCE,1.671,0.232
241,CHEMOECOLOGY,1.642,0.619
242,JOURNAL OF MEMBRANE BIOLOGY,1.638,0.456
243,PHYSICAL BIOLOGY,1.621,0.808
244,CHEMISTRY & BIODIVERSITY,1.617,0.362
245,BMC BIOCHEMISTRY,1.595,0.434
246,FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,1.586,0.294
247,JOURNAL OF FOOD BIOCHEMISTRY,1.552,0.242
248,JOURNAL OF MOLECULAR MODELING,1.507,0.319
249,GENETICS AND MOLECULAR BIOLOGY,1.493,0.449
250,GENERAL PHYSIOLOGY AND BIOPHYSICS,1.479,0.259
251,CELL BIOCHEMISTRY AND BIOPHYSICS,1.455,0.379
252,BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,1.440,0.275
253,Plant Signaling & Behavior,1.395,Not Available
254,Journal of Medical Biochemistry,1.378,0.072
255,CELLULAR AND MOLECULAR BIOLOGY,1.372,0.217
256,CHEMICAL SPECIATION AND BIOAVAILABILITY,1.362,0.238
257,PROTEIN EXPRESSION AND PURIFICATION,1.338,0.368
258,ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,1.316,0.349
259,CELLULAR & MOLECULAR BIOLOGY LETTERS,1.291,0.324
260,MAGNESIUM RESEARCH,1.281,0.270
261,BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,1.255,0.302
262,MOLECULAR MEMBRANE BIOLOGY,1.250,0.577
263,PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,1.241,0.226
264,ACTA BIOCHIMICA POLONICA,1.239,0.351
265,FLY,1.218,2.118
266,PROTEIN JOURNAL,1.133,0.239
267,International Journal of Peptide Research and Therapeutics,1.132,0.239
268,BIOCATALYSIS AND BIOTRANSFORMATION,1.060,0.176
269,PROTEIN AND PEPTIDE LETTERS,1.039,0.264
270,BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,1.036,0.212
271,Acta Crystallographica Section F-Structural Biology Communications,0.989,0.288
272,MOLECULAR BIOLOGY,0.977,0.196
273,Journal of Huazhong University of Science and Technology-Medical Sciences,0.948,0.185
274,GENES & GENETIC SYSTEMS,0.913,0.395
275,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A JOURNAL OF BIOSCIENCES,0.882,0.175
276,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,0.847,0.252
277,RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY,0.838,0.140
278,NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,0.831,0.165
279,Statistical Applications in Genetics and Molecular Biology,0.812,0.596
280,JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY,0.774,0.236
281,Genes & Genomics,0.680,0.147
282,JOURNAL OF CARBOHYDRATE CHEMISTRY,0.629,0.277
283,Doklady Biochemistry and Biophysics,0.610,0.101
284,Current Proteomics,0.606,0.156
285,PTERIDINES,0.586,0.099
286,HEMOGLOBIN,0.462,0.174
287,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,0.455,0.062
288,INDIAN JOURNAL OF BIOCHEMISTRY & BIOPHYSICS,0.385,0.207
289,TRACE ELEMENTS AND ELECTROLYTES,0.381,0.048
290,Molecular Genetics Microbiology and Virology,0.313,0.071
291,TRENDS IN GLYCOSCIENCE AND GLYCOTECHNOLOGY,0.300,0.097
292,PROGRESS IN BIOCHEMISTRY AND BIOPHYSICS,0.288,0.035
293,Turkish Journal of Biochemistry-Turk Biyokimya Dergisi,0.248,0.060
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
