"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'BIODIVERSITY CONSERVATION' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,GLOBAL CHANGE BIOLOGY,8.997,3.307
2,Conservation Letters,7.279,2.940
3,CONSERVATION BIOLOGY,5.890,2.052
4,JOURNAL OF APPLIED ECOLOGY,5.742,1.975
5,BIOLOGICAL CONSERVATION,4.661,1.565
6,DIVERSITY AND DISTRIBUTIONS,4.614,1.595
7,ECOGRAPHY,4.520,2.094
8,Conservation Physiology,3.460,1.113
9,NeoBiota,3.405,Not Available
10,BIOLOGICAL INVASIONS,3.054,0.895
11,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,2.938,1.874
12,ANIMAL CONSERVATION,2.889,1.082
13,BIODIVERSITY AND CONSERVATION,2.828,0.913
14,Natureza & Conservacao,2.766,0.725
15,PALEOBIOLOGY,2.400,1.169
16,ORYX,2.333,0.722
17,Endangered Species Research,2.312,0.971
18,ENVIRONMENTAL CONSERVATION,2.293,0.788
19,SYSTEMATICS AND BIODIVERSITY,2.215,0.754
20,Global Ecology and Conservation,2.174,0.763
21,Marine Biodiversity,2.077,0.504
22,Management of Biological Invasions,2.037,Not Available
23,CONSERVATION GENETICS,2.025,0.648
24,URBAN ECOSYSTEMS,2.005,0.652
25,JOURNAL FOR NATURE CONSERVATION,1.971,0.644
26,POLAR BIOLOGY,1.954,0.625
27,Bulletin of the Peabody Museum of Natural History,1.926,0.833
28,Avian Conservation and Ecology,1.436,0.539
29,Nature Conservation-Bulgaria,1.367,0.593
30,HUMAN DIMENSIONS OF WILDLIFE,1.317,Not Available
31,WILDLIFE SOCIETY BULLETIN,1.296,0.403
32,Palaeobiodiversity and Palaeoenvironments,1.229,Not Available
33,BioInvasions Records,1.189,Not Available
34,Tropical Conservation Science,1.149,0.423
35,AMERICAN MUSEUM NOVITATES,0.979,0.485
36,KOEDOE,0.919,0.243
37,REVISTA CHILENA DE HISTORIA NATURAL,0.906,0.352
38,ANIMAL BIODIVERSITY AND CONSERVATION,0.891,0.283
39,JOURNAL OF NATURAL HISTORY,0.875,0.302
40,BIOTA NEOTROPICA,0.842,0.277
41,Landscape and Ecological Engineering,0.815,0.208
42,Conservation Genetics Resources,0.742,0.369
43,Human-Wildlife Interactions,0.717,Not Available
44,AMERICAN MIDLAND NATURALIST,0.714,0.262
45,Eco mont-Journal on Protected Mountain Areas Research,0.656,0.127
46,Revista Mexicana de Biodiversidad,0.609,0.220
47,African Natural History,0.600,0.254
48,Journal of Fish and Wildlife Management,0.598,0.277
49,NORTHEASTERN NATURALIST,0.597,0.227
50,WESTERN NORTH AMERICAN NATURALIST,0.531,0.135
51,PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,0.464,0.270
52,SOUTHEASTERN NATURALIST,0.407,0.174
53,PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,0.375,0.102
54,PACHYDERM,0.318,0.226
55,SOUTHWESTERN NATURALIST,0.244,0.125
56,NATURAL HISTORY,0.030,0.009
57,Perspectives in Ecology and Conservation,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
