"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'BIOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Physics of Life Reviews,13.783,3.584
2,BIOLOGICAL REVIEWS,11.700,4.459
3,PLOS BIOLOGY,9.163,4.473
4,eLife,7.616,5.108
5,BIOSCIENCE,5.876,2.478
6,BMC BIOLOGY,5.770,3.204
7,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,5.666,2.951
8,FASEB JOURNAL,5.595,1.732
9,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,4.847,2.171
10,BIOESSAYS,4.419,1.887
11,Current Opinion in Insect Science,4.171,1.424
12,Geobiology,4.158,1.555
13,JOURNAL OF BIOLOGICAL RHYTHMS,3.906,1.219
14,BIOELECTROCHEMISTRY,3.789,0.745
15,ASTROBIOLOGY,3.610,1.076
16,Biology Letters,3.345,1.308
17,JOURNAL OF EXPERIMENTAL BIOLOGY,3.179,1.076
18,Interface Focus,3.165,1.165
19,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,3.138,0.592
20,Science China-Life Sciences,3.085,0.594
21,Biology Direct,2.649,1.498
22,CHRONOBIOLOGY INTERNATIONAL,2.643,0.843
23,RADIATION RESEARCH,2.530,0.730
24,EXCLI Journal,2.424,0.372
25,BIOLOGICAL RESEARCH,2.357,0.480
26,QUARTERLY REVIEW OF BIOLOGY,2.321,1.865
27,Biology Open,2.217,0.937
28,COMPUTERS IN BIOLOGY AND MEDICINE,2.115,0.486
29,JOURNAL OF THERMAL BIOLOGY,2.093,0.538
30,CRYOBIOLOGY,2.050,0.522
31,JOURNAL OF RADIATION RESEARCH,2.031,0.460
32,BIOELECTROMAGNETICS,2.000,0.476
33,INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,1.970,0.387
34,International Journal of Astrobiology,1.921,0.459
35,BioScience Trends,1.844,0.343
36,JOURNAL OF THEORETICAL BIOLOGY,1.833,0.675
37,JOURNAL OF MATHEMATICAL BIOLOGY,1.786,0.898
38,Advances in Experimental Medicine and Biology,1.760,0.555
39,BIOMETRIKA,1.669,2.534
40,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,1.628,0.613
41,BIOSYSTEMS,1.619,0.421
42,AMERICAN JOURNAL OF HUMAN BIOLOGY,1.575,0.573
43,THEORY IN BIOSCIENCES,1.552,0.767
44,ANNALS OF HUMAN BIOLOGY,1.531,0.526
45,JOURNAL OF BIOSCIENCES,1.528,0.465
46,RADIATION AND ENVIRONMENTAL BIOPHYSICS,1.527,0.498
47,BIOLOGICAL BULLETIN,1.526,0.573
48,BIOMETRICS,1.524,1.606
49,AEROBIOLOGIA,1.515,0.360
50,MATHEMATICAL BIOSCIENCES,1.500,0.554
51,BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,1.492,0.367
52,BULLETIN OF MATHEMATICAL BIOLOGY,1.484,0.622
53,INDIAN JOURNAL OF EXPERIMENTAL BIOLOGY,1.475,0.213
54,ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,1.464,0.518
55,COMPUTATIONAL BIOLOGY AND CHEMISTRY,1.412,0.342
56,Journal of Biological Research-Thessaloniki,1.364,0.240
57,ELECTROMAGNETIC BIOLOGY AND MEDICINE,1.360,0.280
58,COMPTES RENDUS BIOLOGIES,1.313,0.375
59,MICROSCOPY RESEARCH AND TECHNIQUE,1.087,0.301
60,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,1.072,0.627
61,FOLIA BIOLOGICA,1.044,0.238
62,JOURNAL OF THE HISTORY OF BIOLOGY,0.953,0.508
63,JOURNAL OF ETHNOBIOLOGY,0.890,0.257
64,CRYOLETTERS,0.790,0.186
65,BRAZILIAN JOURNAL OF BIOLOGY,0.784,0.244
66,Open Life Sciences,0.764,0.157
67,BIOLOGICAL RHYTHM RESEARCH,0.699,0.144
68,BIOLOGIA,0.696,0.182
69,BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,0.676,0.188
70,TURKISH JOURNAL OF BIOLOGY,0.651,0.178
71,JOURNAL OF BIOLOGICAL SYSTEMS,0.649,0.189
72,Archives of Biological Sciences,0.648,0.109
73,JOURNAL OF BIOLOGICAL EDUCATION,0.633,0.220
74,HUMAN BIOLOGY,0.600,0.594
75,PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON,0.563,0.199
76,FOLIA BIOLOGICA-KRAKOW,0.523,0.164
77,REVISTA DE BIOLOGIA TROPICAL,0.511,0.175
78,ACTA BIOLOGICA HUNGARICA,0.439,0.142
79,Bioscience Journal,0.404,0.102
80,BIOLOGY BULLETIN,0.351,0.107
81,AMERICAN BIOLOGY TEACHER,0.271,0.059
82,PERIODICUM BIOLOGORUM,0.263,0.066
83,ZHURNAL OBSHCHEI BIOLOGII,0.212,0.083
84,Theoretical Biology Forum,0.167,0.053
85,BIOCELL,0.118,0.108
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
