"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'BIOPHYSICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Physics of Life Reviews,13.783,3.584
2,NATURE STRUCTURAL & MOLECULAR BIOLOGY,13.333,7.791
3,Annual Review of Biophysics,11.742,6.501
4,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,8.220,2.312
5,BIOSENSORS & BIOELECTRONICS,8.173,1.230
6,CURRENT OPINION IN CHEMICAL BIOLOGY,7.572,2.684
7,QUARTERLY REVIEWS OF BIOPHYSICS,6.128,2.942
8,Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,5.179,2.073
9,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,5.108,1.701
10,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,4.966,1.641
11,STRUCTURE,4.907,2.716
12,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,4.280,1.786
13,COLLOIDS AND SURFACES B-BIOINTERFACES,3.997,0.738
14,BIOELECTROCHEMISTRY,3.789,0.745
15,Journal of Biophotonics,3.768,0.930
16,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,3.679,1.273
17,Current Topics in Membranes,3.514,1.518
18,BIOPHYSICAL JOURNAL,3.495,1.501
19,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,3.438,1.077
20,JOURNAL OF STRUCTURAL BIOLOGY,3.433,2.497
21,PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,3.427,0.936
22,Biomechanics and Modeling in Mechanobiology,3.212,1.053
23,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,3.165,0.563
24,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,3.118,0.918
25,JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,3.107,0.431
26,Acta Crystallographica Section D-Structural Biology,3.099,1.853
27,NMR IN BIOMEDICINE,3.031,1.191
28,FEBS LETTERS,2.999,1.145
29,JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,2.914,0.683
30,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,2.902,0.594
31,CHEMISTRY AND PHYSICS OF LIPIDS,2.766,0.789
32,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,2.609,0.876
33,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2.577,0.621
34,Biomicrofluidics,2.571,0.775
35,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,2.559,0.628
36,RADIATION RESEARCH,2.530,0.730
37,Biointerphases,2.455,0.600
38,Cellular and Molecular Bioengineering,2.435,0.707
39,JOURNAL OF BIOMECHANICS,2.431,0.821
40,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,2.356,0.873
41,Multisensory Research,2.339,0.593
42,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,2.274,0.929
43,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,2.224,0.534
44,PHOTOCHEMISTRY AND PHOTOBIOLOGY,2.214,0.503
45,PHYSIOLOGICAL MEASUREMENT,2.006,0.590
46,BIOELECTROMAGNETICS,2.000,0.476
47,BIOPOLYMERS,1.990,0.686
48,EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,1.935,0.482
49,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,1.916,0.746
50,BIOPHYSICAL CHEMISTRY,1.870,0.570
51,JOURNAL OF MOLECULAR RECOGNITION,1.868,0.482
52,HIGH ALTITUDE MEDICINE & BIOLOGY,1.854,0.596
53,BMC Biophysics,1.813,0.779
54,PHYSICAL BIOLOGY,1.621,0.808
55,RADIATION AND ENVIRONMENTAL BIOPHYSICS,1.527,0.498
56,JOURNAL OF MOLECULAR MODELING,1.507,0.319
57,GENERAL PHYSIOLOGY AND BIOPHYSICS,1.479,0.259
58,CELL BIOCHEMISTRY AND BIOPHYSICS,1.455,0.379
59,Journal of Applied Biomaterials & Functional Materials,1.397,0.276
60,ELECTROMAGNETIC BIOLOGY AND MEDICINE,1.360,0.280
61,BIORHEOLOGY,1.316,0.343
62,BMC STRUCTURAL BIOLOGY,1.308,0.832
63,JOURNAL OF BIOLOGICAL PHYSICS,1.000,0.357
64,Acta Crystallographica Section F-Structural Biology Communications,0.989,0.288
65,Acta of Bioengineering and Biomechanics,0.964,0.159
66,Aerospace Medicine and Human Performance,0.889,0.171
67,Journal of Mechanics in Medicine and Biology,0.875,0.146
68,Doklady Biochemistry and Biophysics,0.610,0.101
69,Biomolecular NMR Assignments,0.593,0.185
70,PTERIDINES,0.586,0.099
71,INDIAN JOURNAL OF BIOCHEMISTRY & BIOPHYSICS,0.385,0.207
72,PROGRESS IN BIOCHEMISTRY AND BIOPHYSICS,0.288,0.035
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
