"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'BIOTECHNOLOGY & APPLIED MICROBIOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURE REVIEWS DRUG DISCOVERY,50.167,19.352
2,NATURE BIOTECHNOLOGY,35.724,22.182
3,TRENDS IN BIOTECHNOLOGY,13.578,3.875
4,GENOME BIOLOGY,13.214,8.899
5,BIOTECHNOLOGY ADVANCES,11.452,2.655
6,GENOME RESEARCH,10.101,8.082
7,CURRENT OPINION IN BIOTECHNOLOGY,8.380,2.445
8,BIOSENSORS & BIOELECTRONICS,8.173,1.230
9,METABOLIC ENGINEERING,7.674,2.052
10,MOLECULAR THERAPY,7.008,2.165
11,Annual Review of Animal Biosciences,6.775,2.077
12,PLANT BIOTECHNOLOGY JOURNAL,6.305,1.637
13,BIORESOURCE TECHNOLOGY,5.807,0.973
14,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,5.716,1.311
15,STEM CELLS,5.587,1.908
16,Biotechnology for Biofuels,5.497,1.583
17,BIOINFORMATICS,5.481,3.979
18,JOURNAL OF NANOBIOTECHNOLOGY,5.294,1.197
19,Journal of Biological Engineering,5.256,0.978
20,CRITICAL REVIEWS IN BIOTECHNOLOGY,5.239,1.317
21,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,5.205,1.549
22,Nanomedicine,5.005,1.173
23,Advances in Applied Microbiology,4.677,1.310
24,HUMAN GENE THERAPY,4.241,1.193
25,npj Biofilms and Microbiomes,4.128,1.299
26,FOOD MICROBIOLOGY,4.090,0.966
27,Journal of Tissue Engineering and Regenerative Medicine,4.089,0.796
28,CANCER GENE THERAPY,4.044,0.657
29,Current Opinion in Chemical Engineering,4.033,1.072
30,CYTOTHERAPY,3.993,0.902
31,EXPERT OPINION ON BIOLOGICAL THERAPY,3.974,0.855
32,BIOTECHNOLOGY AND BIOENGINEERING,3.952,1.031
33,Microbial Biotechnology,3.913,1.101
34,Stem Cell Research,3.902,1.259
35,SYSTEMATIC AND APPLIED MICROBIOLOGY,3.899,1.083
36,Microbial Cell Factories,3.831,1.076
37,Briefings in Functional Genomics,3.783,1.299
