"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'BUSINESS, FINANCE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,JOURNAL OF FINANCE,5.397,11.076
2,JOURNAL OF FINANCIAL ECONOMICS,5.162,6.758
3,JOURNAL OF ACCOUNTING RESEARCH,4.542,3.423
4,REVIEW OF FINANCIAL STUDIES,4.270,7.240
5,Management Accounting Research,3.800,0.782
6,JOURNAL OF ACCOUNTING & ECONOMICS,3.282,3.972
7,Critical Perspectives on Accounting,3.182,Not Available
8,FORBES,2.989,0.688
9,Accounting Auditing & Accountability Journal,2.911,0.630
10,MATHEMATICAL FINANCE,2.714,2.427
11,CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,2.705,0.660
12,AUDITING-A JOURNAL OF PRACTICE & THEORY,2.409,0.834
13,ACCOUNTING REVIEW,2.245,2.180
14,British Accounting Review,2.232,Not Available
15,JOURNAL OF CORPORATE FINANCE,2.215,0.785
16,Sustainability Accounting Management and Policy Journal,2.200,Not Available
17,European Accounting Review,2.169,0.516
18,JOURNAL OF MONETARY ECONOMICS,2.157,4.650
19,JOURNAL OF FINANCIAL INTERMEDIATION,2.098,1.808
20,ACCOUNTING ORGANIZATIONS AND SOCIETY,2.077,1.074
21,CONTEMPORARY ACCOUNTING RESEARCH,2.065,1.425
22,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,2.049,2.332
23,Journal of Financial Stability,2.032,0.854
24,Review of Finance,2.023,2.233
25,JOURNAL OF BANKING & FINANCE,1.931,1.018
26,JOURNAL OF RISK AND UNCERTAINTY,1.886,1.305
27,Emerging Markets Review,1.871,0.498
28,WORLD BANK ECONOMIC REVIEW,1.797,1.419
29,JOURNAL OF ACCOUNTING AND PUBLIC POLICY,1.796,0.422
30,FINANCE AND STOCHASTICS,1.750,2.385
31,Accounting Horizons,1.730,0.650
32,Journal of International Financial Markets Institutions & Money,1.719,0.563
33,Journal of Financial Econometrics,1.686,1.755
34,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,1.623,0.906
35,JOURNAL OF RISK AND INSURANCE,1.606,0.903
36,Pacific-Basin Finance Journal,1.603,0.386
37,REVIEW OF ACCOUNTING STUDIES,1.588,1.434
38,International Review of Financial Analysis,1.566,0.373
39,Journal of Business Finance & Accounting,1.541,0.451
40,Accounting and Finance,1.537,0.208
41,IMF Economic Review,1.526,2.951
42,JOURNAL OF MONEY CREDIT AND BANKING,1.470,2.066
43,JOURNAL OF FINANCIAL SERVICES RESEARCH,1.426,0.763
44,FINANCIAL ANALYSTS JOURNAL,1.413,1.281
45,JOURNAL OF FUTURES MARKETS,1.339,0.454
46,International Review of Economics & Finance,1.318,0.328
47,ACCOUNTING AND BUSINESS RESEARCH,1.271,0.405
48,International Journal of Central Banking,1.268,1.225
49,Annual Review of Financial Economics,1.265,2.707
49,JOURNAL OF FINANCIAL RESEARCH,1.265,Not Available
51,JOURNAL OF FINANCIAL MARKETS,1.260,1.369
52,WORLD ECONOMY,1.229,0.497
53,Journal of Pension Economics & Finance,1.195,0.665
54,European Financial Management,1.182,0.597
55,QUANTITATIVE FINANCE,1.170,0.505
56,JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,1.136,0.439
57,REAL ESTATE ECONOMICS,1.103,0.703
58,North American Journal of Economics and Finance,1.098,0.283
59,Finance Research Letters,1.085,0.293
60,Mathematics and Financial Economics,1.083,Not Available
61,JOURNAL OF INDUSTRIAL ECONOMICS,1.036,1.297
62,International Insolvency Review,1.000,0.070
63,International Journal of Accounting Information Systems,0.969,0.199
64,FINANCIAL MANAGEMENT,0.968,0.846
65,SIAM Journal on Financial Mathematics,0.961,1.292
66,Journal of Empirical Finance,0.946,0.563
67,Journal of International Financial Management & Accounting,0.895,0.251
68,Revista de Contabilidad-Spanish Accounting Review,0.886,Not Available
69,European Journal of Finance,0.848,0.338
70,Journal of Real Estate Research,0.825,0.322
71,JOURNAL OF PORTFOLIO MANAGEMENT,0.812,0.280
72,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,0.804,0.451
73,FISCAL STUDIES,0.759,0.822
74,Journal of Computational Finance,0.758,0.390
75,Journal of Behavioral Finance,0.722,0.273
76,International Finance,0.710,0.626
76,Investment Analysts Journal,0.710,0.098
78,Managerial Auditing Journal,0.693,Not Available
79,GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE,0.683,0.273
