"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'BUSINESS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Academy of Management Annals,9.281,8.618
2,ACADEMY OF MANAGEMENT REVIEW,8.855,6.392
3,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,8.488,2.333
4,JOURNAL OF MANAGEMENT,8.080,4.705
5,JOURNAL OF MARKETING,7.338,3.580
6,JOURNAL OF SERVICE RESEARCH,6.842,1.649
7,ACADEMY OF MANAGEMENT JOURNAL,6.700,5.301
8,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,6.489,2.155
9,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,6.198,2.235
10,JOURNAL OF BUSINESS VENTURING,6.000,2.620
11,ADMINISTRATIVE SCIENCE QUARTERLY,5.878,6.248
12,STRATEGIC MANAGEMENT JOURNAL,5.482,3.109
13,JOURNAL OF RETAILING,5.480,1.411
14,Business Strategy and the Environment,5.355,0.815
15,JOURNAL OF MANAGEMENT STUDIES,5.329,2.921
16,ENTREPRENEURSHIP THEORY AND PRACTICE,5.321,1.855
17,Corporate Social Responsibility and Environmental Management,4.918,0.556
18,Academy of Management Perspectives,4.686,2.643
19,HARVARD BUSINESS REVIEW,4.374,1.724
20,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,4.305,1.037
21,JOURNAL OF ORGANIZATIONAL BEHAVIOR,4.229,2.165
22,JOURNAL OF WORLD BUSINESS,3.993,0.912
23,International Small Business Journal-Researching Entrepreneurship,3.900,0.668
24,JOURNAL OF INTERACTIVE MARKETING,3.864,1.944
25,JOURNAL OF MARKETING RESEARCH,3.854,3.270
26,Internet Research,3.838,0.601
27,SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,3.833,1.057
28,Family Business Review,3.824,1.130
29,Electronic Markets,3.818,0.387
30,INDUSTRIAL MARKETING MANAGEMENT,3.678,0.630
31,Journal of Intellectual Capital,3.634,Not Available
32,JOURNAL OF INTERNATIONAL MARKETING,3.600,0.737
33,JOURNAL OF CONSUMER RESEARCH,3.535,2.466
34,Strategic Entrepreneurship Journal,3.488,1.729
35,CALIFORNIA MANAGEMENT REVIEW,3.302,1.003
