"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CELL BIOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURE REVIEWS MOLECULAR CELL BIOLOGY,35.612,22.807
2,NATURE MEDICINE,32.621,15.150
3,CELL,31.398,19.514
4,Cell Stem Cell,23.290,12.374
5,CANCER CELL,22.844,12.366
6,Cell Metabolism,20.565,9.494
7,NATURE CELL BIOLOGY,19.064,10.708
8,TRENDS IN CELL BIOLOGY,18.564,7.205
9,Science Translational Medicine,16.710,8.200
10,CELL RESEARCH,15.393,6.652
11,MOLECULAR CELL,14.248,8.482
12,NATURE STRUCTURAL & MOLECULAR BIOLOGY,13.333,7.791
13,Autophagy,11.100,3.585
14,TRENDS IN MOLECULAR MEDICINE,11.021,3.930
15,EMBO JOURNAL,10.557,5.386
16,CURRENT OPINION IN CELL BIOLOGY,10.015,4.050
17,DEVELOPMENTAL CELL,9.616,5.270
18,GENES & DEVELOPMENT,9.462,6.040
19,CURRENT BIOLOGY,9.251,4.758
20,Cold Spring Harbor Perspectives in Biology,9.247,5.634
21,Annual Review of Cell and Developmental Biology,9.032,8.826
22,Cell Systems,8.982,6.391
23,AGEING RESEARCH REVIEWS,8.973,2.569
24,JOURNAL OF CELL BIOLOGY,8.784,4.765
25,EMBO REPORTS,8.749,4.247
26,PLANT CELL,8.228,3.476
27,MATRIX BIOLOGY,8.136,1.815
28,Cell Reports,8.032,4.701
29,CELL DEATH AND DIFFERENTIATION,8.000,2.640
30,AGING CELL,7.627,2.299
31,CURRENT OPINION IN STRUCTURAL BIOLOGY,7.179,3.311
32,ONCOGENE,6.854,1.996
33,CELLULAR AND MOLECULAR LIFE SCIENCES,6.721,2.014
34,Stem Cell Reports,6.537,3.260
35,CYTOKINE & GROWTH FACTOR REVIEWS,6.395,2.112
36,Science Signaling,6.378,3.241
37,Protein & Cell,6.228,1.502
38,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,6.138,2.396
39,Pigment Cell & Melanoma Research,6.115,1.585
40,Wiley Interdisciplinary Reviews-RNA,5.844,2.639
41,Cell Death & Disease,5.638,1.631
42,FASEB JOURNAL,5.595,1.732
42,Journal of Molecular Cell Biology,5.595,2.217
44,STEM CELLS,5.587,1.908
45,CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,5.500,0.621
46,Cell Communication and Signaling,5.324,1.394
47,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,5.296,1.564
48,Aging-US,5.179,1.522
49,CURRENT OPINION IN GENETICS & DEVELOPMENT,4.995,2.888
50,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,4.966,1.641
51,Stem Cell Research & Therapy,4.963,1.225
52,CELL PROLIFERATION,4.936,0.753
52,Oxidative Medicine and Cellular Longevity,4.936,1.115
54,STRUCTURE,4.907,2.716
55,Cells,4.829,Not Available
56,CELLULAR ONCOLOGY,4.761,0.650
57,Cell Division,4.684,1.201
58,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,4.651,1.789
59,MOLECULAR CANCER RESEARCH,4.597,1.381
60,Cell Discovery,4.462,2.036
61,CELLULAR MICROBIOLOGY,4.410,1.586
62,JOURNAL OF CELL SCIENCE,4.401,2.107
63,TRAFFIC,4.400,1.921
64,Disease Models & Mechanisms,4.398,1.757
65,World Journal of Stem Cells,4.376,Not Available
66,NITRIC OXIDE-BIOLOGY AND CHEMISTRY,4.367,0.926
67,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,4.302,0.988
68,JOURNAL OF LEUKOCYTE BIOLOGY,4.224,1.473
69,Journal of Tissue Engineering and Regenerative Medicine,4.089,0.796
70,PLANT AND CELL PHYSIOLOGY,4.059,1.409
71,CYTOTHERAPY,3.993,0.902
72,APOPTOSIS,3.967,0.854
73,JOURNAL OF CELLULAR PHYSIOLOGY,3.923,0.980
74,Stem Cell Research,3.902,1.259
75,CELLULAR AND MOLECULAR NEUROBIOLOGY,3.895,0.715
76,Skeletal Muscle,3.828,1.420
77,MOLECULAR AND CELLULAR BIOLOGY,3.813,2.024
78,IMMUNOLOGY AND CELL BIOLOGY,3.795,1.449
79,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,3.785,1.307
80,MECHANISMS OF AGEING AND DEVELOPMENT,3.748,1.050
81,CELL CALCIUM,3.718,1.090
82,International Review of Cell and Molecular Biology,3.622,1.429
83,Stem Cell Reviews and Reports,3.612,0.828
84,Cell Adhesion & Migration,3.566,1.411
85,MOLECULAR AND CELLULAR ENDOCRINOLOGY,3.563,1.114
86,MEDIATORS OF INFLAMMATION,3.549,1.005
87,CYTOKINE,3.514,0.861
88,MOLECULAR BIOLOGY OF THE CELL,3.512,1.877
89,TISSUE ENGINEERING,3.508,0.893
90,CELLULAR SIGNALLING,3.487,1.096
91,JOURNAL OF BIOMEDICAL SCIENCE,3.466,0.794
92,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,3.454,1.079
93,JOURNAL OF STRUCTURAL BIOLOGY,3.433,2.497
94,CELL BIOLOGY AND TOXICOLOGY,3.390,0.730
95,MOLECULAR MEDICINE,3.340,1.139
96,EXPERIMENTAL CELL RESEARCH,3.309,0.950
97,CELL CYCLE,3.304,1.224
98,Integrative Biology,3.294,1.113
99,HISTOPATHOLOGY,3.267,0.968
100,CYTOMETRY PART A,3.260,1.118
101,INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,3.247,1.020
102,IUBMB LIFE,3.236,0.989
103,BIOLOGY OF THE CELL,3.226,0.896
103,MITOCHONDRION,3.226,1.095
105,MOLECULAR REPRODUCTION AND DEVELOPMENT,3.113,0.867
106,MOLECULES AND CELLS,3.077,0.811
107,CELL AND TISSUE RESEARCH,3.043,0.963
108,FEBS LETTERS,2.999,1.145
109,CELLULAR IMMUNOLOGY,2.995,0.763
110,PROSTAGLANDINS & OTHER LIPID MEDIATORS,2.991,0.829
111,INFLAMMATION RESEARCH,2.990,0.680
112,JOURNAL OF CELLULAR BIOCHEMISTRY,2.959,0.768
113,WOUND REPAIR AND REGENERATION,2.952,0.932
114,EUROPEAN JOURNAL OF CELL BIOLOGY,2.939,1.200
115,JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,2.914,0.683
116,BIOSCIENCE REPORTS,2.899,0.892
117,INFLAMMATION,2.884,0.601
118,JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY,2.816,0.868
119,PHYSIOLOGICAL GENOMICS,2.782,0.872
120,BMC CELL BIOLOGY,2.769,0.907
121,International Journal of Stem Cells,2.768,Not Available
122,DIFFERENTIATION,2.688,0.972
123,DNA AND CELL BIOLOGY,2.634,0.457
124,CONNECTIVE TISSUE RESEARCH,2.608,0.551
