"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CHEMISTRY, APPLIED' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Annual Review of Chemical and Biomolecular Engineering,7.674,2.629
2,CARBOHYDRATE POLYMERS,5.158,0.832
3,ADVANCED SYNTHESIS & CATALYSIS,5.123,1.148
4,FOOD HYDROCOLLOIDS,5.089,0.981
5,FOOD CHEMISTRY,4.946,0.899
6,CATALYSIS TODAY,4.667,0.868
7,SEPARATION AND PURIFICATION REVIEWS,4.212,0.925
8,FUEL PROCESSING TECHNOLOGY,3.956,0.865
9,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,3.909,0.622
10,Journal of Energy Chemistry,3.886,0.600
11,DYES AND PIGMENTS,3.767,0.534
12,MICROPOROUS AND MESOPOROUS MATERIALS,3.649,0.671
13,ORGANIC PROCESS RESEARCH & DEVELOPMENT,3.584,0.733
14,APPLIED ORGANOMETALLIC CHEMISTRY,3.581,0.352
15,CHINESE JOURNAL OF CATALYSIS,3.525,0.422
16,ACS Combinatorial Science,3.500,0.576
17,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,3.412,0.783
18,Journal of Biobased Materials and Bioenergy,2.993,0.147
19,REACTIVE & FUNCTIONAL POLYMERS,2.975,0.506
20,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,2.956,0.682
21,PROGRESS IN ORGANIC COATINGS,2.955,0.461
22,FOOD AND AGRICULTURAL IMMUNOLOGY,2.568,0.192
23,JOURNAL OF RARE EARTHS,2.524,0.317
24,PLANT FOODS FOR HUMAN NUTRITION,2.465,0.521
25,TOPICS IN CATALYSIS,2.439,0.603
26,Food Additives & Contaminants Part B-Surveillance,2.407,0.336
27,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,2.379,0.542
28,MOLECULAR DIVERSITY,2.229,0.336
29,Journal of Energetic Materials,2.183,0.517
30,Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,2.129,0.465
31,CARBOHYDRATE RESEARCH,2.074,0.434
32,FLAVOUR AND FRAGRANCE JOURNAL,1.950,0.423
33,NATURAL PRODUCT RESEARCH,1.928,0.250
34,JOURNAL OF POROUS MATERIALS,1.858,0.286
35,JOURNAL OF MICROENCAPSULATION,1.793,0.315
36,PROPELLANTS EXPLOSIVES PYROTECHNICS,1.749,0.438
37,JOURNAL OF CELLULAR PLASTICS,1.625,0.349
38,Journal of Coatings Technology and Research,1.619,0.301
39,JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,1.601,0.379
40,JOURNAL OF SURFACTANTS AND DETERGENTS,1.454,0.244
41,Records of Natural Products,1.311,0.245
42,BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,1.255,0.302
43,COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,1.205,0.212
44,Journal of Oleo Science,1.182,0.250
45,COLORATION TECHNOLOGY,1.168,0.196
46,CEREAL CHEMISTRY,1.138,0.311
47,JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,1.131,0.179
48,JOURNAL OF NEAR INFRARED SPECTROSCOPY,1.113,0.268
49,Revista Mexicana de Ingenieria Quimica,1.097,0.084
50,JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,1.091,0.244
51,FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,1.081,0.287
52,Central European Journal of Energetic Materials,1.040,0.284
53,JOURNAL OF ESSENTIAL OIL RESEARCH,1.007,0.241
54,Chemical Industry & Chemical Engineering Quarterly,0.944,0.190
55,TENSIDE SURFACTANTS DETERGENTS,0.819,0.081
56,JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,0.699,0.084
57,AGROCHIMICA,0.694,0.097
58,STUDIES IN CONSERVATION,0.613,0.121
59,ADSORPTION SCIENCE & TECHNOLOGY,0.609,0.144
60,GRASAS Y ACEITES,0.564,0.205
61,Science and Technology of Energetic Materials,0.558,0.120
62,Polish Journal of Chemical Technology,0.550,0.114
63,RUSSIAN JOURNAL OF APPLIED CHEMISTRY,0.494,0.073
64,Pigment & Resin Technology,0.486,0.091
65,JOURNAL OF COSMETIC SCIENCE,0.436,0.156
66,Journal of Water Chemistry and Technology,0.388,0.050
67,INDIAN JOURNAL OF CHEMICAL TECHNOLOGY,0.348,0.092
68,AATCC REVIEW,0.333,0.030
69,Journal of Food Safety and Food Quality-Archiv fur Lebensmittelhygiene,0.292,0.065
70,CHEMISTRY & INDUSTRY,0.126,0.029
71,JCT COATINGSTECH,0.035,0.009
72,SURFACE COATINGS INTERNATIONAL,0.000,0.000
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
