"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CHEMISTRY, INORGANIC & NUCLEAR' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,COORDINATION CHEMISTRY REVIEWS,14.499,3.092
2,PROGRESS IN SOLID STATE CHEMISTRY,9.313,1.723
3,Inorganic Chemistry Frontiers,5.106,1.102
4,Advances in Organometallic Chemistry,4.944,2.175
5,INORGANIC CHEMISTRY,4.700,0.975
6,DALTON TRANSACTIONS,4.099,0.764
7,ORGANOMETALLICS,4.051,0.850
8,Topics in Organometallic Chemistry,3.833,1.420
9,APPLIED ORGANOMETALLIC CHEMISTRY,3.581,0.352
10,JOURNAL OF INORGANIC BIOCHEMISTRY,3.063,0.619
11,JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,2.952,0.720
12,COMMENTS ON INORGANIC CHEMISTRY,2.917,0.603
13,Structure and Bonding,2.721,0.727
14,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,2.507,0.516
15,REVIEWS IN INORGANIC CHEMISTRY,2.421,0.591
16,INORGANICA CHIMICA ACTA,2.264,0.292
17,JOURNAL OF SOLID STATE CHEMISTRY,2.179,0.426
18,POLYHEDRON,2.067,0.276
19,JOURNAL OF ORGANOMETALLIC CHEMISTRY,1.946,0.341
20,BIOINORGANIC CHEMISTRY AND APPLICATIONS,1.920,0.440
21,JOURNAL OF FLUORINE CHEMISTRY,1.879,0.380
22,SOLID STATE SCIENCES,1.861,0.356
23,INORGANIC CHEMISTRY COMMUNICATIONS,1.810,0.212
24,GOLD BULLETIN,1.767,0.347
25,JOURNAL OF CLUSTER SCIENCE,1.715,0.211
26,JOURNAL OF COORDINATION CHEMISTRY,1.703,0.167
27,ARCHAEOMETRY,1.545,0.497
28,ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,1.527,0.439
29,Advances in Inorganic Chemistry,1.316,0.708
30,TRANSITION METAL CHEMISTRY,1.261,0.145
31,RADIOCHIMICA ACTA,1.202,0.317
32,JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,1.181,0.208
33,ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,1.179,0.221
34,APPLIED RADIATION AND ISOTOPES,1.123,0.321
35,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,0.757,0.142
36,NUKLEONIKA,0.720,0.158
37,RUSSIAN JOURNAL OF INORGANIC CHEMISTRY,0.709,0.102
38,PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,0.674,0.094
38,RUSSIAN JOURNAL OF COORDINATION CHEMISTRY,0.674,0.075
40,CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,0.659,0.036
41,CHINESE JOURNAL OF INORGANIC CHEMISTRY,0.654,0.046
42,Synthesis and Reactivity in Inorganic Metal-Organic and Nano-Metal Chemistry,0.631,0.081
43,MAIN GROUP METAL CHEMISTRY,0.612,0.120
44,JOURNAL OF STRUCTURAL CHEMISTRY,0.521,0.097
45,Inorganic and Nano-Metal Chemistry,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
