"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CHEMISTRY, MEDICINAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURAL PRODUCT REPORTS,11.406,3.464
2,MEDICINAL RESEARCH REVIEWS,8.290,2.087
3,JOURNAL OF MEDICINAL CHEMISTRY,6.253,1.495
4,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,4.816,0.745
5,Marine Drugs,4.379,0.810
6,ACS Infectious Diseases,4.325,1.488
7,ACS Chemical Neuroscience,4.211,1.282
8,Journal of Ginseng Research,4.053,0.676
9,Future Medicinal Chemistry,3.969,1.068
10,JOURNAL OF NATURAL PRODUCTS,3.885,0.902
11,Journal of Chemical Information and Modeling,3.804,1.077
12,ACS Medicinal Chemistry Letters,3.794,1.034
13,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,3.638,0.498
14,PHYTOMEDICINE,3.610,0.683
15,ACS Combinatorial Science,3.500,0.576
16,CURRENT MEDICINAL CHEMISTRY,3.469,0.788
17,CHEMICAL RESEARCH IN TOXICOLOGY,3.432,0.856
18,CURRENT TOPICS IN MEDICINAL CHEMISTRY,3.374,0.704
19,PHYTOTHERAPY RESEARCH,3.349,0.548
20,JOURNAL OF ETHNOPHARMACOLOGY,3.115,0.623
21,JOURNAL OF PHARMACEUTICAL SCIENCES,3.075,0.628
22,ChemMedChem,3.009,0.808
23,Drug Design Development and Therapy,2.935,0.685
24,BIOORGANIC & MEDICINAL CHEMISTRY,2.881,0.603
25,EXPERT OPINION ON THERAPEUTIC PATENTS,2.867,0.778
26,CHEMBIOCHEM,2.774,0.955
27,DRUG DEVELOPMENT RESEARCH,2.646,0.345
28,MINI-REVIEWS IN MEDICINAL CHEMISTRY,2.645,0.590
29,FITOTERAPIA,2.642,0.586
30,Medicinal Chemistry,2.631,0.356
31,Nucleic Acid Therapeutics,2.623,1.097
32,Anti-Cancer Agents in Medicinal Chemistry,2.556,0.505
33,PLANTA MEDICA,2.494,0.518
34,BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,2.442,0.498
35,MedChemComm,2.342,0.585
36,ARCHIVES OF PHARMACAL RESEARCH,2.330,0.453
37,Chemical Biology & Drug Design,2.328,0.514
38,ARCHIV DER PHARMAZIE,2.288,0.328
39,MOLECULAR DIVERSITY,2.229,0.336
40,Molecular Informatics,1.955,0.429
41,JOURNAL OF MEDICINAL FOOD,1.954,0.423
42,NATURAL PRODUCT RESEARCH,1.928,0.250
43,Journal of Natural Medicines,1.920,0.369
44,DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY,1.883,0.302
45,CHIRALITY,1.833,0.403
46,MEDICINAL CHEMISTRY RESEARCH,1.607,0.251
47,Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy,1.596,0.316
48,Phytochemistry Letters,1.575,0.346
49,Pharmacognosy Magazine,1.525,0.248
50,JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,1.423,0.379
51,Records of Natural Products,1.311,0.245
52,CHEMICAL & PHARMACEUTICAL BULLETIN,1.258,0.246
53,JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,1.091,0.244
54,PHARMAZIE,1.016,0.223
55,Letters in Drug Design & Discovery,0.924,0.135
56,Natural Product Communications,0.809,0.169
57,Current Computer-Aided Drug Design,0.770,0.188
58,PHARMACEUTICAL CHEMISTRY JOURNAL,0.679,0.085
59,CHEMISTRY OF NATURAL COMPOUNDS,0.450,0.093
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
