"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CHEMISTRY, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,CHEMICAL REVIEWS,52.613,15.994
2,CHEMICAL SOCIETY REVIEWS,40.182,10.900
3,Energy & Environmental Science,30.067,7.071
4,Nature Chemistry,26.201,11.406
5,ADVANCED MATERIALS,21.950,5.469
6,ACCOUNTS OF CHEMICAL RESEARCH,20.955,7.125
7,Nano Today,17.753,4.788
8,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,14.357,3.957
9,Chem,14.104,4.870
10,ACS Nano,13.709,4.045
11,ADVANCED FUNCTIONAL MATERIALS,13.325,3.231
12,Materials Horizons,13.183,3.148
13,Advanced Science,12.441,3.281
14,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,12.102,3.376
15,NANO LETTERS,12.080,4.291
16,ACS Central Science,11.228,4.599
17,Small,9.598,2.196
18,Chemical Science,9.063,2.695
19,Wiley Interdisciplinary Reviews-Computational Molecular Science,8.836,5.670
20,Acta Crystallographica Section C-Structural Chemistry,8.678,0.555
21,GREEN CHEMISTRY,8.586,1.580
22,Acta Crystallographica A-Foundation and Advances,7.930,1.209
23,JOURNAL OF CONTROLLED RELEASE,7.877,1.795
24,ChemSusChem,7.411,1.671
25,Nanoscale,7.233,1.704
26,IUCrJ,6.544,2.790
27,Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,6.467,1.052
28,CHEMICAL COMMUNICATIONS,6.290,1.436
29,ACS Sustainable Chemistry & Engineering,6.140,1.142
30,Environmental Science-Nano,6.087,1.407
31,ULTRASONICS SONOCHEMISTRY,6.012,0.817
32,LAB ON A CHIP,5.995,1.446
33,ACS Sensors,5.711,1.316
34,Topics in Current Chemistry,5.537,1.494
35,Journal of CO2 Utilization,5.503,0.999
36,PURE AND APPLIED CHEMISTRY,5.294,0.928
37,CHEMISTRY-A EUROPEAN JOURNAL,5.160,1.260
38,CHEMICAL RECORD,4.891,1.137
39,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,4.841,0.665
40,Advanced Materials Interfaces,4.834,1.154
41,Reaction Chemistry & Engineering,4.641,1.064
42,BIOCONJUGATE CHEMISTRY,4.485,1.190
43,Science China-Chemistry,4.448,0.489
44,Frontiers in Chemistry,4.155,1.237
45,RUSSIAN CHEMICAL REVIEWS,3.991,0.817
46,CRYSTAL GROWTH & DESIGN,3.972,0.777
47,Reviews in Computational Chemistry,3.933,1.458
48,Journal of Cheminformatics,3.893,1.417
49,Journal of Chemical Information and Modeling,3.804,1.077
50,LANGMUIR,3.789,0.964
51,Chemistry-An Asian Journal,3.692,0.791
52,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,3.687,0.876
53,ACTA PHARMACOLOGICA SINICA,3.562,0.856
54,BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN,3.526,0.492
55,JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,3.510,1.422
56,ACS Combinatorial Science,3.500,0.576
57,CHEMICAL RESEARCH IN TOXICOLOGY,3.432,0.856
58,JOURNAL OF APPLIED CRYSTALLOGRAPHY,3.422,1.424
59,Green Chemistry Letters and Reviews,3.364,0.265
60,MARINE CHEMISTRY,3.337,1.166
61,PHARMACEUTICAL RESEARCH,3.335,0.766
62,CRYSTENGCOMM,3.304,0.601
63,JOURNAL OF COMPUTATIONAL CHEMISTRY,3.221,1.281
64,ChemPlusChem,3.205,0.609
65,NEW JOURNAL OF CHEMISTRY,3.201,0.546
66,ChemNanoMat,3.173,0.704
67,Environmental Chemistry Letters,3.125,0.629
68,MOLECULES,3.098,0.631
69,JOURNAL OF PHARMACEUTICAL SCIENCES,3.075,0.628
70,Arabian Journal of Chemistry,2.969,0.605
71,RSC Advances,2.936,0.564
72,ChemistryOpen,2.801,0.702
73,ACTA CHIMICA SINICA,2.735,0.198
74,LIQUID CRYSTALS,2.636,0.253
75,CHINESE CHEMICAL LETTERS,2.631,0.294
76,ISRAEL JOURNAL OF CHEMISTRY,2.607,0.790
