"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CHEMISTRY, ORGANIC' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURAL PRODUCT REPORTS,11.406,3.464
2,ALDRICHIMICA ACTA,8.727,2.839
3,ORGANIC LETTERS,6.492,1.351
4,BIOMACROMOLECULES,5.738,1.279
5,Organic Chemistry Frontiers,5.455,1.313
6,CARBOHYDRATE POLYMERS,5.158,0.832
7,ADVANCED SYNTHESIS & CATALYSIS,5.123,1.148
8,Advances in Organometallic Chemistry,4.944,2.175
9,JOURNAL OF ORGANIC CHEMISTRY,4.805,0.976
10,BIOCONJUGATE CHEMISTRY,4.485,1.190
11,ORGANOMETALLICS,4.051,0.850
12,BIOORGANIC CHEMISTRY,3.929,0.637
13,Topics in Organometallic Chemistry,3.833,1.420
14,ORGANIC PROCESS RESEARCH & DEVELOPMENT,3.584,0.733
15,Advances in Carbohydrate Chemistry and Biochemistry,3.429,1.273
16,ORGANIC & BIOMOLECULAR CHEMISTRY,3.423,0.725
17,Advances in Heterocyclic Chemistry,3.071,0.643
18,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,2.882,0.600
19,BIOORGANIC & MEDICINAL CHEMISTRY,2.881,0.603
20,SYNTHESIS-STUTTGART,2.722,0.557
21,Asian Journal of Organic Chemistry,2.496,0.557
22,BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,2.442,0.498
23,TETRAHEDRON,2.377,0.449
24,SYNLETT,2.369,0.476
25,Beilstein Journal of Organic Chemistry,2.330,0.632
26,CURRENT ORGANIC CHEMISTRY,2.193,0.382
27,TETRAHEDRON LETTERS,2.125,0.364
28,CARBOHYDRATE RESEARCH,2.074,0.434
29,POLYCYCLIC AROMATIC COMPOUNDS,2.000,0.296
30,JOURNAL OF ORGANOMETALLIC CHEMISTRY,1.946,0.341
31,BIOINORGANIC CHEMISTRY AND APPLICATIONS,1.920,0.440
32,JOURNAL OF FLUORINE CHEMISTRY,1.879,0.380
33,Advances in Physical Organic Chemistry,1.875,0.710
34,CHIRALITY,1.833,0.403
35,CURRENT ORGANIC SYNTHESIS,1.690,0.321
36,JOURNAL OF PHYSICAL ORGANIC CHEMISTRY,1.591,0.285
36,ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,1.591,0.229
38,CHINESE JOURNAL OF ORGANIC CHEMISTRY,1.392,0.105
39,SYNTHETIC COMMUNICATIONS,1.377,0.160
40,Chemistry of Heterocyclic Compounds,1.201,0.174
41,JOURNAL OF HETEROCYCLIC CHEMISTRY,1.141,0.129
42,ARKIVOC,1.048,0.207
43,HETEROCYCLES,1.036,0.169
44,PETROLEUM CHEMISTRY,0.932,0.133
45,RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY,0.838,0.140
46,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,0.757,0.142
47,MINI-REVIEWS IN ORGANIC CHEMISTRY,0.722,0.203
48,HETEROCYCLIC COMMUNICATIONS,0.700,0.087
49,PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,0.674,0.094
50,RUSSIAN JOURNAL OF ORGANIC CHEMISTRY,0.655,0.082
51,JOURNAL OF CARBOHYDRATE CHEMISTRY,0.629,0.277
52,MAIN GROUP METAL CHEMISTRY,0.612,0.120
53,LETTERS IN ORGANIC CHEMISTRY,0.539,0.085
54,INDIAN JOURNAL OF CHEMISTRY SECTION B-ORGANIC CHEMISTRY INCLUDING MEDICINAL CHEMISTRY,0.525,0.077
55,CHEMISTRY OF NATURAL COMPOUNDS,0.450,0.093
56,JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN,0.414,0.086
57,INDIAN JOURNAL OF HETEROCYCLIC CHEMISTRY,0.096,0.011
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
