"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CHEMISTRY, PHYSICAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURE MATERIALS,39.235,18.001
2,ADVANCED MATERIALS,21.950,5.469
3,Advanced Energy Materials,21.875,4.876
4,SURFACE SCIENCE REPORTS,17.800,4.769
5,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,15.325,3.897
6,Annual Review of Physical Chemistry,13.738,7.108
7,ACS Nano,13.709,4.045
8,ADVANCED FUNCTIONAL MATERIALS,13.325,3.231
9,Nano Energy,13.120,2.883
10,ACS Energy Letters,12.277,3.867
11,NANO LETTERS,12.080,4.291
12,APPLIED CATALYSIS B-ENVIRONMENTAL,11.698,1.664
13,ACS Catalysis,11.384,2.867
14,Journal of Materials Chemistry A,9.931,1.868
15,CHEMISTRY OF MATERIALS,9.890,2.501
16,Small,9.598,2.196
17,INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,9.406,2.776
18,Nanoscale Horizons,9.391,2.452
19,PROGRESS IN SURFACE SCIENCE,9.000,2.524
20,npj Computational Materials,8.941,3.219
21,Journal of Physical Chemistry Letters,8.709,2.684
22,Nano Research,7.994,1.788
23,ADVANCES IN COLLOID AND INTERFACE SCIENCE,7.346,1.996
24,Advances in Catalysis,7.250,2.394
25,CARBON,7.082,1.390
26,JOURNAL OF POWER SOURCES,6.945,1.200
27,JOURNAL OF CATALYSIS,6.759,1.595
28,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,6.600,1.865
29,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,6.000,3.243
30,CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,5.785,1.947
31,Journal of Chemical Theory and Computation,5.399,1.815
32,Catalysis Science & Technology,5.365,1.105
33,JOURNAL OF COLLOID AND INTERFACE SCIENCE,5.091,0.785
34,ChemCatChem,4.674,1.055
35,CATALYSIS TODAY,4.667,0.868
36,APPLIED CATALYSIS A-GENERAL,4.521,0.777
37,JOURNAL OF MOLECULAR LIQUIDS,4.513,0.570
38,Journal of Physical Chemistry C,4.484,1.105
39,APPLIED SURFACE SCIENCE,4.439,0.627
40,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,4.397,0.661
41,PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,4.384,0.896
42,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,4.229,0.570
43,Liquid Crystals Reviews,4.091,1.579
44,COLLOIDS AND SURFACES B-BIOINTERFACES,3.997,0.738
45,Structural Dynamics,3.969,1.635
46,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,3.906,1.078
47,Journal of Energy Chemistry,3.886,0.600
48,LANGMUIR,3.789,0.964
49,JOURNAL OF ALLOYS AND COMPOUNDS,3.779,0.574
50,Soft Matter,3.709,1.125
51,MICROPOROUS AND MESOPOROUS MATERIALS,3.649,0.671
52,APPLIED CLAY SCIENCE,3.641,0.594
53,CHINESE JOURNAL OF CATALYSIS,3.525,0.422
54,JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,3.510,1.422
55,Catalysts,3.465,0.695
56,CATALYSIS COMMUNICATIONS,3.463,0.596
57,FARADAY DISCUSSIONS,3.427,1.305
58,INTERMETALLICS,3.420,0.717
59,JOURNAL OF PHYSICAL CHEMISTRY B,3.146,0.887
60,JOURNAL OF SUPERCRITICAL FLUIDS,3.122,0.529
61,CATALYSIS SURVEYS FROM ASIA,3.081,0.600
62,CHEMPHYSCHEM,2.947,0.822
63,CATALYSIS LETTERS,2.911,0.545
64,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,2.902,0.594
65,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,2.891,0.456
66,Electrocatalysis,2.889,0.561
67,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,2.869,0.791
68,JOURNAL OF CHEMICAL PHYSICS,2.843,0.849
69,JOURNAL OF PHYSICAL CHEMISTRY A,2.836,0.761
70,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,2.829,0.529
71,SOLID STATE IONICS,2.751,0.539
72,Structure and Bonding,2.721,0.727
73,SOLID STATE NUCLEAR MAGNETIC RESONANCE,2.674,0.738
74,JOURNAL OF CHEMICAL THERMODYNAMICS,2.631,0.503
75,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,2.568,0.551
76,TOPICS IN CATALYSIS,2.439,0.603
77,Plasmonics,2.366,0.416
78,IONICS,2.347,0.319
79,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,2.209,0.279
80,FLUID PHASE EQUILIBRIA,2.197,0.483
81,THERMOCHIMICA ACTA,2.189,0.520
82,Journal of Energetic Materials,2.183,0.517
83,JOURNAL OF SOLID STATE CHEMISTRY,2.179,0.426
84,Methods and Applications in Fluorescence,2.165,0.582
85,STRUCTURAL CHEMISTRY,2.019,0.249
86,JOURNAL OF MOLECULAR STRUCTURE,2.011,0.262
87,SURFACE SCIENCE,1.997,0.515
88,COLLOID AND POLYMER SCIENCE,1.967,0.359
89,CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,1.935,0.476
90,Advances in Physical Organic Chemistry,1.875,0.710
91,BIOPHYSICAL CHEMISTRY,1.870,0.570
92,SOLID STATE SCIENCES,1.861,0.356
93,JOURNAL OF POROUS MATERIALS,1.858,0.286
94,ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,1.829,0.474
95,CLAYS AND CLAY MINERALS,1.825,0.478
96,EUROPEAN PHYSICAL JOURNAL E,1.802,0.663
97,MAGNETIC RESONANCE IN CHEMISTRY,1.776,0.347
98,GOLD BULLETIN,1.767,0.347
99,CHEMICAL PHYSICS,1.707,0.464
100,MOLECULAR PHYSICS,1.704,0.527
101,CHEMICAL PHYSICS LETTERS,1.686,0.429
102,JOURNAL OF FLUORESCENCE,1.665,0.280
103,JOURNAL OF PHYSICAL ORGANIC CHEMISTRY,1.591,0.285
104,Johnson Matthey Technology Review,1.558,0.290
105,INTERNATIONAL JOURNAL OF PHOTOENERGY,1.547,0.377
106,THEORETICAL CHEMISTRY ACCOUNTS,1.545,0.505
107,Reaction Kinetics Mechanisms and Catalysis,1.515,0.221
108,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,1.454,0.183
108,JOURNAL OF SURFACTANTS AND DETERGENTS,1.454,0.244
110,MOLECULAR SIMULATION,1.449,0.426
111,Computational and Theoretical Chemistry,1.443,0.307
112,RADIATION PHYSICS AND CHEMISTRY,1.435,0.291
113,INTERNATIONAL JOURNAL OF CHEMICAL KINETICS,1.416,0.500
114,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES,1.414,0.236
115,JOURNAL OF SOLUTION CHEMISTRY,1.401,0.252
116,VIBRATIONAL SPECTROSCOPY,1.363,0.380
117,JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION,1.315,0.281
118,Surface Innovations,1.268,0.276
119,SURFACE AND INTERFACE ANALYSIS,1.263,0.234
120,Silicon,1.246,0.222
121,CLAY MINERALS,1.219,0.397
122,PHYSICS AND CHEMISTRY OF LIQUIDS,1.215,0.146
123,Physicochemical Problems of Mineral Processing,1.200,0.257
124,ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE-INTERNATIONAL JOURNAL OF RESEARCH IN PHYSICAL CHEMISTRY & CHEMICAL PHYSICS,1.144,0.340
125,COLLOID JOURNAL,1.112,0.151
126,FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES,1.011,0.139
127,Advances in Quantum Chemistry,0.938,0.347
128,PETROLEUM CHEMISTRY,0.932,0.133
