"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CLINICAL NEUROLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,LANCET NEUROLOGY,27.144,10.983
2,Nature Reviews Neurology,19.819,7.630
3,ACTA NEUROPATHOLOGICA,15.876,5.207
4,Alzheimers & Dementia,12.764,3.993
5,JAMA Neurology,11.460,4.161
6,BRAIN,10.848,4.254
7,SLEEP MEDICINE REVIEWS,10.602,3.326
8,ANNALS OF NEUROLOGY,10.250,4.451
9,NEURO-ONCOLOGY,9.384,2.682
10,Epilepsy Currents,9.333,1.594
11,MOVEMENT DISORDERS,8.324,2.255
12,Translational Stroke Research,8.266,1.146
13,NEUROLOGY,8.055,3.175
14,NEUROSCIENTIST,7.461,2.768
15,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,7.144,2.516
16,STROKE,6.239,2.274
17,BRAIN PATHOLOGY,6.187,1.833
18,Brain Stimulation,6.120,1.914
19,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,6.059,1.689
20,Neurotherapeutics,5.719,1.872
21,PAIN,5.559,1.920
22,Multiple Sclerosis Journal,5.280,1.435
23,SLEEP,5.135,1.937
24,EPILEPSIA,5.067,1.533
25,Alzheimers Research & Therapy,5.015,2.043
26,JOURNAL OF NEUROTRAUMA,5.002,1.390
27,JOURNAL OF PAIN,4.859,1.784
28,Journal of Stroke,4.750,Not Available
28,Therapeutic Advances in Neurological Disorders,4.750,1.331
30,JOURNAL OF PSYCHOPHARMACOLOGY,4.738,1.221
31,PARKINSONISM & RELATED DISORDERS,4.721,1.285
32,NEUROREHABILITATION AND NEURAL REPAIR,4.711,1.545
33,Annals of Clinical and Translational Neurology,4.649,1.556
34,EUROPEAN JOURNAL OF NEUROLOGY,4.621,1.297
35,BIPOLAR DISORDERS,4.490,1.382
36,NEUROSURGERY,4.475,1.300
37,JOURNAL OF NEUROSURGERY,4.319,1.235
38,CNS DRUGS,4.206,1.324
39,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,4.185,1.045
40,EUROPEAN NEUROPSYCHOPHARMACOLOGY,4.129,1.232
41,CURRENT OPINION IN NEUROLOGY,4.010,1.573
42,INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,3.981,1.310
43,CEPHALALGIA,3.886,1.625
44,International Journal of Stroke,3.859,1.441
45,NEUROGASTROENTEROLOGY AND MOTILITY,3.842,1.124
46,JOURNAL OF AFFECTIVE DISORDERS,3.786,1.188
47,JOURNAL OF NEUROLOGY,3.783,1.238
48,NEUROEPIDEMIOLOGY,3.697,1.399
49,Expert Review of Neurotherapeutics,3.696,0.868
50,AMERICAN JOURNAL OF NEURORADIOLOGY,3.653,1.175
51,Journal of Neurologic Physical Therapy,3.633,0.988
52,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,3.617,1.040
53,CLINICAL NEUROPHYSIOLOGY,3.614,1.142
54,Frontiers in Neurology,3.508,1.300
55,CNS SPECTRUMS,3.504,0.964
56,Journal of Neurodevelopmental Disorders,3.500,1.390
57,JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,3.490,1.355
58,Current Neurology and Neuroscience Reports,3.478,1.155
59,Journal of Neurogastroenterology and Motility,3.438,0.729
60,JOURNAL OF SLEEP RESEARCH,3.433,1.245
61,JOURNAL OF HEAD TRAUMA REHABILITATION,3.406,1.139
62,JOURNAL OF HEADACHE AND PAIN,3.403,0.876
63,Journal of Clinical Sleep Medicine,3.396,1.239
64,SLEEP MEDICINE,3.395,1.116
65,Current Alzheimer Research,3.289,1.035
65,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,3.289,1.273
67,JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,3.249,1.066
68,JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,3.238,0.768
69,CLINICAL JOURNAL OF PAIN,3.209,1.152
70,Multiple Sclerosis and Related Disorders,3.199,0.870
70,PSYCHIATRY AND CLINICAL NEUROSCIENCES,3.199,0.740
72,Neurocritical Care,3.163,0.982
73,ACTA NEUROLOGICA SCANDINAVICA,3.126,0.858
74,Spine Journal,3.119,1.087
75,HEADACHE,3.091,0.944
76,NEUROGENETICS,3.090,1.191
77,NEUROLOGIC CLINICS,3.072,0.804
78,JOURNAL OF NEURO-ONCOLOGY,3.060,0.857
79,EUROPEAN JOURNAL OF PAIN,2.991,0.984
80,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2.982,0.976
81,CEREBROVASCULAR DISEASES,2.931,1.259
82,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,2.886,0.962
83,Behavioral Sleep Medicine,2.871,1.033
84,Journal of Clinical Neurology,2.851,0.864
85,SEIZURE-EUROPEAN JOURNAL OF EPILEPSY,2.839,0.708
86,HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL,2.806,0.684
87,SPINE,2.792,0.980
88,Clinical Neuroradiology,2.790,0.828
89,Neurodegenerative Diseases,2.785,0.825
90,JOURNAL OF NEURAL TRANSMISSION,2.779,0.753
91,JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,2.777,1.109
92,NEUROMODULATION,2.774,0.769
93,JOURNAL OF NEUROSURGERY-SPINE,2.761,0.969
94,CHILD NEUROPSYCHOLOGY,2.740,0.849
95,Current Pain and Headache Reports,2.715,0.785
96,JOURNAL OF NEURORADIOLOGY,2.706,0.550
97,BRAIN TOPOGRAPHY,2.703,1.015
98,Neurosurgical Focus,2.647,0.974
99,Journal of Pain Research,2.645,Not Available
100,EUROPEAN SPINE JOURNAL,2.634,0.767
101,Current Treatment Options in Neurology,2.633,0.628
102,EPILEPSY & BEHAVIOR,2.600,0.663
103,Pain Physician,2.556,0.769
104,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM,2.550,0.884
105,Brain Tumor Pathology,2.535,0.426
106,MUSCLE & NERVE,2.496,0.779
107,EPILEPSY RESEARCH,2.491,0.709
108,NEUROMUSCULAR DISORDERS,2.487,0.991
109,NEUROSURGERY CLINICS OF NORTH AMERICA,2.486,0.617
110,PSYCHIATRY RESEARCH-NEUROIMAGING,2.455,0.912
111,JOURNAL OF THE NEUROLOGICAL SCIENCES,2.448,0.740
112,PEDIATRIC NEUROLOGY,2.398,0.730
113,EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,2.362,0.738
114,NEURORADIOLOGY,2.346,0.812
115,JOURNAL OF SPINAL DISORDERS & TECHNIQUES,2.310,0.799
116,NEUROLOGICAL SCIENCES,2.285,0.462
117,NEUROSURGICAL REVIEW,2.255,0.669
118,Neuropsychiatric Disease and Treatment,2.195,0.585
119,Pain Practice,2.187,0.704
120,JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY,2.183,0.822
