"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'COMMUNICATION' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Journal of Computer-Mediated Communication,4.000,2.032
2,JOURNAL OF COMMUNICATION,3.729,2.579
3,COMMUNICATION RESEARCH,3.391,1.574
4,NEW MEDIA & SOCIETY,3.121,1.410
5,Information Communication & Society,3.084,1.387
6,JOURNAL OF ADVERTISING,2.880,0.779
7,Comunicar,2.838,0.282
8,POLITICAL COMMUNICATION,2.738,1.957
9,COMMUNICATION THEORY,2.733,1.293
10,MEDIA PSYCHOLOGY,2.574,1.047
11,International Journal of Advertising,2.494,0.511
12,International Journal of Press-Politics,2.468,1.386
13,PUBLIC UNDERSTANDING OF SCIENCE,2.452,0.786
14,Communication & Sport,2.395,0.485
15,HUMAN COMMUNICATION RESEARCH,2.364,1.387
16,JOURNAL OF ADVERTISING RESEARCH,2.328,0.527
17,Journalism,2.119,0.803
18,TELECOMMUNICATIONS POLICY,2.087,0.361
19,SCIENCE COMMUNICATION,2.032,0.723
20,PUBLIC OPINION QUARTERLY,2.000,2.251
21,COMMUNICATION MONOGRAPHS,1.894,0.864
22,RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,1.826,1.155
23,JOURNAL OF BROADCASTING & ELECTRONIC MEDIA,1.773,1.012
24,International Journal of Mobile Communications,1.742,Not Available
25,Journalism Studies,1.735,0.729
26,HEALTH COMMUNICATION,1.710,0.608
27,JOURNALISM & MASS COMMUNICATION QUARTERLY,1.706,0.731
28,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,1.697,0.710
29,Journalism Practice,1.678,Not Available
30,JOURNAL OF HEALTH COMMUNICATION,1.648,0.807
31,Mass Communication and Society,1.634,0.661
32,Mobile Media & Communication,1.622,0.527
33,International Journal of Business Communication,1.575,Not Available
34,EUROPEAN JOURNAL OF COMMUNICATION,1.500,0.739
34,Games and Culture,1.500,0.541
36,Feminist Media Studies,1.467,Not Available
37,Management Communication Quarterly,1.444,0.454
38,INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,1.417,1.218
39,PUBLIC RELATIONS REVIEW,1.378,0.264
40,Environmental Communication-A Journal of Nature and Culture,1.360,0.430
41,Journal of Public Relations Research,1.341,0.619
42,DISCOURSE & SOCIETY,1.339,0.568
43,MEDIA CULTURE & SOCIETY,1.305,0.576
44,WRITTEN COMMUNICATION,1.267,1.035
45,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,1.233,0.557
46,Chinese Journal of Communication,1.188,0.430
46,TECHNICAL COMMUNICATION,1.188,0.160
48,Discourse Context & Media,1.136,0.366
49,Television & New Media,1.135,0.440
50,International Journal of Communication,1.128,0.439
51,Journal of Media Psychology-Theories Methods and Applications,1.118,0.652
52,Argumentation,1.114,0.168
53,LANGUAGE & COMMUNICATION,1.051,0.409
54,DISCOURSE STUDIES,1.016,0.664
55,INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT,1.000,0.219
55,JOURNAL OF APPLIED COMMUNICATION RESEARCH,1.000,0.491
57,PERSONAL RELATIONSHIPS,0.906,0.621
58,Convergence-The International Journal of Research into New Media Technologies,0.893,0.465
59,Interaction Studies,0.867,0.340
60,Critical Discourse Studies,0.821,0.447
61,CRITICAL STUDIES IN MEDIA COMMUNICATION,0.789,0.335
61,Discourse & Communication,0.789,0.442
63,Continuum-Journal of Media & Cultural Studies,0.782,0.302
64,Visual Communication,0.773,0.226
65,IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,0.756,0.330
66,Social Semiotics,0.754,0.202
67,JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION,0.750,0.198
68,Communications-European Journal of Communication Research,0.744,0.343
69,International Communication Gazette,0.703,Not Available
70,JAVNOST-THE PUBLIC,0.672,0.173
71,QUARTERLY JOURNAL OF SPEECH,0.596,0.169
72,Journal of Mass Media Ethics,0.594,0.277
73,Asian Journal of Communication,0.574,0.257
74,Communication Culture & Critique,0.569,Not Available
75,Journal of African Media Studies,0.512,0.089
76,Media International Australia,0.491,0.179
77,Communication and Critical-Cultural Studies,0.472,0.295
78,Translator,0.455,0.318
79,Rhetoric Society Quarterly,0.431,0.088
80,Text & Talk,0.426,0.239
81,Tijdschrift voor Communicatiewetenschap,0.405,0.088
82,JOURNAL OF MEDIA ECONOMICS,0.375,0.240
83,NARRATIVE INQUIRY,0.308,0.271
84,African Journalism Studies,0.250,0.092
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
