"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,INTERNATIONAL JOURNAL OF COMPUTER VISION,11.541,4.186
2,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,9.455,4.713
3,IEEE Transactions on Cybernetics,8.803,2.572
4,IEEE TRANSACTIONS ON FUZZY SYSTEMS,8.415,2.432
5,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,8.124,2.264
6,IEEE Transactions on Neural Networks and Learning Systems,7.982,2.453
7,NEURAL NETWORKS,7.197,1.501
8,Information Fusion,6.639,1.529
9,IEEE Computational Intelligence Magazine,6.611,1.658
10,MEDICAL IMAGE ANALYSIS,5.356,1.724
11,IEEE TRANSACTIONS ON IMAGE PROCESSING,5.072,1.817
12,IEEE Transactions on Affective Computing,4.585,1.272
13,International Journal of Neural Systems,4.580,1.039
14,KNOWLEDGE-BASED SYSTEMS,4.396,1.023
15,NEURAL COMPUTING & APPLICATIONS,4.215,0.549
16,PATTERN RECOGNITION,3.965,1.251
17,APPLIED SOFT COMPUTING,3.907,0.799
18,Swarm and Evolutionary Computation,3.818,1.016
19,ARTIFICIAL INTELLIGENCE REVIEW,3.814,0.754
20,EXPERT SYSTEMS WITH APPLICATIONS,3.768,0.763
21,INTEGRATED COMPUTER-AIDED ENGINEERING,3.667,0.484
21,JOURNAL OF INTELLIGENT MANUFACTURING,3.667,0.576
23,DECISION SUPPORT SYSTEMS,3.565,1.035
24,Cognitive Computation,3.479,0.569
25,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,3.363,0.635
26,ADVANCED ENGINEERING INFORMATICS,3.358,0.735
27,NEUROCOMPUTING,3.241,0.703
28,ARTIFICIAL INTELLIGENCE,3.034,1.730
29,ACM Transactions on Intelligent Systems and Technology,2.973,1.095
30,IEEE Transactions on Autonomous Mental Development,2.889,0.807
31,ARTIFICIAL INTELLIGENCE IN MEDICINE,2.879,0.789
32,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2.819,0.719
33,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,2.775,1.188
34,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,2.701,0.595
35,International Journal of Machine Learning and Cybernetics,2.692,0.499
36,ROBOTICS AND AUTONOMOUS SYSTEMS,2.638,0.702
37,Frontiers in Neurorobotics,2.606,Not Available
38,IEEE INTELLIGENT SYSTEMS,2.596,1.047
39,IEEE Transactions on Human-Machine Systems,2.563,0.684
40,DATA MINING AND KNOWLEDGE DISCOVERY,2.481,1.089
41,MECHATRONICS,2.423,0.641
42,International Journal of Fuzzy Systems,2.396,0.320
43,COMPUTER VISION AND IMAGE UNDERSTANDING,2.391,1.000
44,EVOLUTIONARY COMPUTATION,2.388,1.230
45,SOFT COMPUTING,2.367,0.499
46,SIAM Journal on Imaging Sciences,2.361,2.036
47,JOURNAL OF MACHINE LEARNING RESEARCH,2.281,3.047
48,International Journal of Bio-Inspired Computation,2.266,0.307
49,KNOWLEDGE AND INFORMATION SYSTEMS,2.247,0.669
50,AUTONOMOUS ROBOTS,2.244,1.055
51,Semantic Web,2.224,0.768
52,IMAGE AND VISION COMPUTING,2.159,0.937
53,Fuzzy Optimization and Decision Making,2.022,0.726
54,International Journal of Computational Intelligence Systems,2.000,0.245
55,APPLIED INTELLIGENCE,1.983,0.470
56,PATTERN RECOGNITION LETTERS,1.954,0.672
57,IEEE Transactions on Cognitive and Developmental Systems,1.952,0.539
58,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,1.939,1.066
59,JOURNAL OF MATHEMATICAL IMAGING AND VISION,1.927,0.810
60,Memetic Computing,1.925,0.434
61,MACHINE LEARNING,1.855,1.201
62,IET Biometrics,1.836,0.485
