"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER SCIENCE, INFORMATION SYSTEMS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,IEEE Communications Surveys and Tutorials,20.230,5.532
2,IEEE WIRELESS COMMUNICATIONS,9.202,2.966
3,IEEE Transactions on Cloud Computing,7.928,Not Available
4,IEEE NETWORK,7.197,2.096
5,IEEE Internet of Things Journal,5.874,2.059
6,MIS QUARTERLY,5.430,3.262
7,JOURNAL OF INFORMATION TECHNOLOGY,4.535,1.069
8,IEEE Transactions on Services Computing,4.418,1.331
9,IEEE Transactions on Dependable and Secure Computing,4.410,1.208
10,IEEE Systems Journal,4.337,1.047
11,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,4.313,0.922
12,INFORMATION SCIENCES,4.305,1.060
13,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,4.270,1.334
14,IEEE TRANSACTIONS ON MOBILE COMPUTING,4.098,1.237
15,IEEE TRANSACTIONS ON MULTIMEDIA,3.977,1.392
16,Journal of Cheminformatics,3.893,1.417
17,INFORMATION & MANAGEMENT,3.890,0.859
18,IEEE Journal of Biomedical and Health Informatics,3.850,0.855
19,Internet Research,3.838,0.601
20,Journal of Chemical Information and Modeling,3.804,1.077
21,IEEE Transactions on Emerging Topics in Computing,3.626,1.155
22,ACM SIGCOMM Computer Communication Review,3.577,1.527
23,DECISION SUPPORT SYSTEMS,3.565,1.035
24,IEEE Access,3.557,1.098
25,INFORMATION PROCESSING & MANAGEMENT,3.444,0.623
26,IEEE Transactions on Network and Service Management,3.286,Not Available
27,INFORMATION SYSTEMS FRONTIERS,3.232,0.420
28,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,3.197,1.138
29,Ad Hoc Networks,3.151,0.657
30,Foundations and Trends in Information Retrieval,3.125,0.713
31,IEEE Wireless Communications Letters,3.096,0.882
32,IEEE PERVASIVE COMPUTING,3.022,0.682
33,Pervasive and Mobile Computing,2.974,0.619
34,ACM Transactions on Intelligent Systems and Technology,2.973,1.095
35,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,2.957,0.826
36,IEEE Cloud Computing,2.912,Not Available
37,Journal of the Association for Information Systems,2.839,1.100
38,Journal of the Association for Information Science and Technology,2.835,0.738
39,Journal of Grid Computing,2.800,0.650
40,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,2.775,1.188
41,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2.744,1.264
42,Journal of Optical Communications and Networking,2.742,0.550
43,VLDB JOURNAL,2.689,1.173
44,COMPUTERS & SECURITY,2.650,0.582
45,INFORMATION AND SOFTWARE TECHNOLOGY,2.627,0.683
46,COMPUTER COMMUNICATIONS,2.613,0.696
47,Business & Information Systems Engineering,2.596,0.731
48,ACM Transactions on Information and System Security,2.591,0.679
49,Electronic Commerce Research and Applications,2.582,0.694
50,INFORMATION SYSTEMS,2.551,0.612
51,Computer Networks,2.522,0.684
52,MOBILE NETWORKS & APPLICATIONS,2.497,0.589
53,DATA MINING AND KNOWLEDGE DISCOVERY,2.481,1.089
54,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2.370,0.613
55,ACM Transactions on Sensor Networks,2.313,0.650
56,KNOWLEDGE AND INFORMATION SYSTEMS,2.247,0.669
57,Semantic Web,2.224,0.768
58,Science China-Information Sciences,2.188,0.353
59,IEEE TRANSACTIONS ON INFORMATION THEORY,2.187,1.131
60,International Journal of Critical Infrastructure Protection,2.150,0.572
61,GEOINFORMATICA,2.091,0.395
62,ACM Transactions on Multimedia Computing Communications and Applications,2.019,0.529
63,WIRELESS NETWORKS,1.981,0.345
