"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Journal of Statistical Software,22.737,6.991
2,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,6.605,2.717
3,IEEE TRANSACTIONS ON MEDICAL IMAGING,6.131,1.732
4,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,5.475,1.089
5,IEEE Transactions on Industrial Informatics,5.430,1.801
6,MEDICAL IMAGE ANALYSIS,5.356,1.724
7,COMPUTERS & EDUCATION,4.538,1.023
8,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,4.270,1.334
9,ENVIRONMENTAL MODELLING & SOFTWARE,4.177,1.219
10,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,3.991,0.749
11,APPLIED SOFT COMPUTING,3.907,0.799
12,Journal of Cheminformatics,3.893,1.417
13,NEUROINFORMATICS,3.852,1.349
14,IEEE Journal of Biomedical and Health Informatics,3.850,0.855
15,Journal of Chemical Information and Modeling,3.804,1.077
16,COMPUTER PHYSICS COMMUNICATIONS,3.748,1.659
17,INTEGRATED COMPUTER-AIDED ENGINEERING,3.667,0.484
18,Journal of Informetrics,3.484,0.804
19,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,3.464,0.790
20,SOCIAL SCIENCE COMPUTER REVIEW,3.253,1.134
21,ADVANCES IN ENGINEERING SOFTWARE,3.198,0.713
22,COMPUTERS & INDUSTRIAL ENGINEERING,3.195,0.771
23,COMPUTERS AND GEOTECHNICS,3.138,0.944
24,COMPUTERS & CHEMICAL ENGINEERING,3.113,0.694
25,COMPUTERS & OPERATIONS RESEARCH,2.962,1.027
26,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,2.948,0.323
27,COMPUTERS & STRUCTURES,2.887,1.076
28,JOURNAL OF BIOMEDICAL INFORMATICS,2.882,0.790
29,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,2.876,0.954
30,JOURNAL OF COMPUTATIONAL PHYSICS,2.864,1.325
31,COMPUTERS IN INDUSTRY,2.850,0.476
32,Astronomy and Computing,2.754,1.070
33,COMPUTATIONAL GEOSCIENCES,2.726,1.185
34,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,2.674,0.624
35,Electronic Commerce Research and Applications,2.582,0.694
36,MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY,2.580,0.864
37,COMPUTERS & GEOSCIENCES,2.567,0.859
38,IEEE-ACM Transactions on Computational Biology and Bioinformatics,2.428,0.707
39,COMPUTERS AND ELECTRONICS IN AGRICULTURE,2.427,0.557
40,SOFT COMPUTING,2.367,0.499
41,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,2.356,0.873
42,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,2.227,0.296
43,COMPUTERS & FLUIDS,2.221,0.892
44,SCIENTOMETRICS,2.173,0.502
45,COMPUTERS IN BIOLOGY AND MEDICINE,2.115,0.486
46,SIMULATION MODELLING PRACTICE AND THEORY,2.092,0.487
