"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER SCIENCE, SOFTWARE ENGINEERING' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,IEEE Transactions on Services Computing,4.418,1.331
2,IEEE Transactions on Dependable and Secure Computing,4.410,1.208
3,ACM TRANSACTIONS ON GRAPHICS,4.384,2.361
4,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,3.991,0.749
5,IEEE TRANSACTIONS ON MULTIMEDIA,3.977,1.392
6,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,3.331,1.012
7,ADVANCES IN ENGINEERING SOFTWARE,3.198,0.713
8,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,3.078,1.199
9,COMMUNICATIONS OF THE ACM,3.063,1.837
10,COMPUTER-AIDED DESIGN,2.947,0.796
11,EMPIRICAL SOFTWARE ENGINEERING,2.933,0.968
12,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,2.905,1.845
13,IEEE SOFTWARE,2.879,0.656
14,IEEE TRANSACTIONS ON RELIABILITY,2.729,0.991
15,MATHEMATICAL PROGRAMMING,2.665,2.494
16,INFORMATION AND SOFTWARE TECHNOLOGY,2.627,0.683
17,INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,2.514,1.094
18,SIAM Journal on Imaging Sciences,2.361,2.036
19,JOURNAL OF SYSTEMS AND SOFTWARE,2.278,0.564
20,IMAGE AND VISION COMPUTING,2.159,0.937
21,SIMULATION MODELLING PRACTICE AND THEORY,2.092,0.487
22,COMPUTER GRAPHICS FORUM,2.046,1.413
23,ACM Transactions on Multimedia Computing Communications and Applications,2.019,0.529
24,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1.946,0.900
25,COMPUTER,1.940,0.703
26,IEEE INTERNET COMPUTING,1.929,0.872
27,JOURNAL OF MATHEMATICAL IMAGING AND VISION,1.927,0.810
28,IEEE MICRO,1.913,0.900
29,IEEE MULTIMEDIA,1.898,0.901
30,COMPUTER LANGUAGES SYSTEMS & STRUCTURES,1.840,0.322
31,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,1.836,0.521
32,Automated Software Engineering,1.806,0.773
33,REQUIREMENTS ENGINEERING,1.750,0.538
34,JOURNAL OF THE ACM,1.744,2.121
35,ACM Transactions on Internet Technology,1.727,0.457
36,Software and Systems Modeling,1.722,0.549
37,International Journal of Information Security,1.658,0.428
38,IEEE COMPUTER GRAPHICS AND APPLICATIONS,1.640,0.576
39,IT Professional,1.618,0.424
40,SOFTWARE QUALITY JOURNAL,1.596,0.628
41,SOFTWARE TESTING VERIFICATION & RELIABILITY,1.556,0.769
42,MULTIMEDIA TOOLS AND APPLICATIONS,1.541,0.255
43,COMPUTER AIDED GEOMETRIC DESIGN,1.522,0.788
44,Advances in Computers,1.514,0.259
45,ACM Transactions on Knowledge Discovery from Data,1.489,0.944
46,MATHEMATICS AND COMPUTERS IN SIMULATION,1.476,0.525
47,COMPUTER STANDARDS & INTERFACES,1.465,0.295
48,BIT NUMERICAL MATHEMATICS,1.425,1.189
49,VIRTUAL REALITY,1.375,0.245
50,TSINGHUA SCIENCE AND TECHNOLOGY,1.365,Not Available
51,Journal of Web Semantics,1.348,0.759
52,Scientific Programming,1.344,0.400
53,SOFTWARE-PRACTICE & EXPERIENCE,1.338,0.320
54,SIGMOD RECORD,1.261,0.540
55,IEEE SECURITY & PRIVACY,1.239,0.455
56,COMPUTERS & GRAPHICS-UK,1.200,0.620
57,OPTIMIZATION METHODS & SOFTWARE,1.183,0.977
58,Journal of Software-Evolution and Process,1.167,0.319
59,ACM Transactions on the Web,1.163,0.599
60,ACM Transactions on Embedded Computing Systems,1.156,0.462
61,WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,1.150,0.510
62,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,1.114,0.297
63,Frontiers of Computer Science,1.105,0.273
64,International Journal on Software Tools for Technology Transfer,1.077,Not Available
65,International Journal of Web and Grid Services,1.071,0.157
66,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,1.066,0.148
67,VISUAL COMPUTER,1.036,0.489
68,GRAPHICAL MODELS,1.019,0.672
69,ACM TRANSACTIONS ON DATABASE SYSTEMS,1.000,0.655
70,RANDOM STRUCTURES & ALGORITHMS,0.985,1.202
71,JOURNAL OF VISUAL LANGUAGES AND COMPUTING,0.971,0.267
72,ACM Transactions on Applied Perception,0.962,0.519
72,IBM JOURNAL OF RESEARCH AND DEVELOPMENT,0.962,0.489
74,IET Software,0.947,0.211
75,SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,0.940,0.255
76,ACM Transactions on Storage,0.927,0.837
77,Information Visualization,0.923,0.526
78,JOURNAL OF SYSTEMS ARCHITECTURE,0.913,0.384
79,Frontiers of Information Technology & Electronic Engineering,0.910,0.141
80,IEEE Transactions on Computational Intelligence and AI in Games,0.897,0.575
81,JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,0.878,0.267
82,THEORY AND PRACTICE OF LOGIC PROGRAMMING,0.875,0.526
83,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,0.870,0.454
84,FORMAL ASPECTS OF COMPUTING,0.845,0.281
85,COMPUTER JOURNAL,0.792,0.298
86,International Journal of Data Warehousing and Mining,0.781,0.288
87,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0.759,0.488
88,SCIENCE OF COMPUTER PROGRAMMING,0.740,0.250
89,FUNDAMENTA INFORMATICAE,0.725,0.279
90,JOURNAL OF FUNCTIONAL PROGRAMMING,0.703,0.270
91,COMPUTER ANIMATION AND VIRTUAL WORLDS,0.697,0.258
92,ALGORITHMICA,0.667,0.639
93,Computer Science and Information Systems,0.613,0.146
94,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,0.569,0.583
95,International Journal of Wavelets Multiresolution and Information Processing,0.540,0.170
96,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,0.516,0.195
97,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,0.500,0.087
98,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,0.426,0.218
99,International Journal of Web Services Research,0.405,0.172
100,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,0.397,0.101
101,ICGA JOURNAL,0.313,0.009
102,Journal of Web Engineering,0.311,0.067
103,PROGRAMMING AND COMPUTER SOFTWARE,0.267,0.089
104,JOURNAL OF DATABASE MANAGEMENT,0.231,0.059
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
