"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER SCIENCE, THEORY & METHODS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,8.124,2.264
2,IEEE Transactions on Neural Networks and Learning Systems,7.982,2.453
3,IEEE Transactions on Cloud Computing,7.928,Not Available
4,Information Fusion,6.639,1.529
5,IEEE Transactions on Information Forensics and Security,5.824,1.565
6,ACM COMPUTING SURVEYS,5.550,2.601
7,Future Generation Computer Systems-The International Journal of eScience,4.639,1.099
8,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,3.971,1.350
9,Swarm and Evolutionary Computation,3.818,1.016
10,HUMAN-COMPUTER INTERACTION,3.379,0.928
11,INFORMATION SYSTEMS FRONTIERS,3.232,0.420
12,IEEE-ACM TRANSACTIONS ON NETWORKING,3.110,1.210
13,COMMUNICATIONS OF THE ACM,3.063,1.837
14,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,3.056,3.553
15,INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,2.931,0.689
16,IEEE Cloud Computing,2.912,Not Available
17,Journal of Grid Computing,2.800,0.650
18,FUZZY SETS AND SYSTEMS,2.675,0.639
19,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,2.674,0.624
20,EVOLUTIONARY COMPUTATION,2.388,1.230
21,JOURNAL OF SYSTEMS AND SOFTWARE,2.278,0.564
22,International Journal of Bio-Inspired Computation,2.266,0.307
23,Semantic Web,2.224,0.768
24,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,2.185,0.498
25,IMAGE AND VISION COMPUTING,2.159,0.937
26,MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,2.088,0.527
27,ACM Transactions on Multimedia Computing Communications and Applications,2.019,0.529
28,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,2.015,0.735
29,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,1.939,1.066
30,Journal of Computational Science,1.925,0.467
31,IEEE MULTIMEDIA,1.898,0.901
32,STATISTICS AND COMPUTING,1.851,1.875
33,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,1.815,0.623
34,PERFORMANCE EVALUATION,1.786,0.534
35,ACM TRANSACTIONS ON COMPUTER SYSTEMS,1.760,1.395
36,JOURNAL OF THE ACM,1.744,2.121
37,MULTIMEDIA SYSTEMS,1.703,0.381
38,International Journal of Information Security,1.658,0.428
39,COMPUTING,1.654,0.367
40,Cluster Computing-The Journal of Networks Software Tools and Applications,1.601,0.356
40,QUANTUM INFORMATION & COMPUTATION,1.601,0.854
42,REAL-TIME SYSTEMS,1.595,0.574
43,MULTIMEDIA TOOLS AND APPLICATIONS,1.541,0.255
44,JOURNAL OF SUPERCOMPUTING,1.532,0.352
45,JOURNAL OF COMPUTER AND SYSTEM SCIENCES,1.497,0.844
46,Big Data,1.489,0.731
47,Genetic Programming and Evolvable Machines,1.455,0.348
48,EXPERT SYSTEMS,1.430,0.266
49,ACM Transactions on Autonomous and Adaptive Systems,1.216,0.445
50,Cryptography and Communications-Discrete-Structures Boolean Functions and Sequences,1.213,0.579
51,ACM Transactions on Architecture and Code Optimization,1.131,0.450
52,JOURNAL OF HEURISTICS,1.129,0.752
53,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,1.114,0.297
53,DESIGNS CODES AND CRYPTOGRAPHY,1.114,0.673
55,Frontiers of Computer Science,1.105,0.273
56,MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE,1.094,0.595
57,INFORMATION AND COMPUTATION,1.077,0.635
58,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,1.066,0.148
59,JOURNAL OF CRYPTOLOGY,1.056,0.488
60,MICROPROCESSORS AND MICROSYSTEMS,1.049,0.224
61,International Journal of Unconventional Computing,1.022,0.162
62,IBM JOURNAL OF RESEARCH AND DEVELOPMENT,0.962,0.489
63,PARALLEL COMPUTING,0.938,0.696
64,CONNECTION SCIENCE,0.933,0.273
65,DISTRIBUTED AND PARALLEL DATABASES,0.925,0.462
66,SIAM JOURNAL ON COMPUTING,0.902,1.093
67,ARTIFICIAL LIFE,0.897,0.315
67,INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,0.897,0.317
69,IET Information Security,0.890,0.312
70,THEORY AND PRACTICE OF LOGIC PROGRAMMING,0.875,0.526
71,Natural Computing,0.860,0.440
72,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,0.855,0.057
73,DISTRIBUTED COMPUTING,0.840,0.531
74,FORMAL METHODS IN SYSTEM DESIGN,0.825,0.561
75,COMPUTER JOURNAL,0.792,0.298
76,Applied Ontology,0.774,0.214
77,THEORETICAL COMPUTER SCIENCE,0.772,0.454
78,JOURNAL OF SYMBOLIC COMPUTATION,0.755,0.796
79,JOURNAL OF LOGIC AND COMPUTATION,0.740,0.436
80,INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,0.738,0.257
81,ACM Transactions on Computational Logic,0.731,0.485
82,NEW GENERATION COMPUTING,0.722,0.232
83,COMBINATORICS PROBABILITY & COMPUTING,0.705,1.092
84,DISCRETE & COMPUTATIONAL GEOMETRY,0.672,1.058
85,CONSTRAINTS,0.660,0.539
86,ACM Transactions on Algorithms,0.652,0.831
87,Malaysian Journal of Computer Science,0.650,0.076
88,IET Computers and Digital Techniques,0.639,0.238
89,Journal of Logical and Algebraic Methods in Programming,0.634,0.266
90,IEEE ANNALS OF THE HISTORY OF COMPUTING,0.619,0.185
91,Advances in Mathematics of Communications,0.564,0.430
92,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,0.554,0.090
93,Journal of Cellular Automata,0.511,0.111
94,Logical Methods in Computer Science,0.508,0.370
95,COMPUTATIONAL COMPLEXITY,0.487,0.788
96,APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,0.464,0.360
97,THEORY OF COMPUTING SYSTEMS,0.458,0.410
