"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER SCIENCE, CYBERNETICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,IEEE Transactions on Cybernetics,8.803,2.572
2,IEEE Transactions on Systems Man Cybernetics-Systems,5.135,1.073
3,IEEE Transactions on Affective Computing,4.585,1.272
4,HUMAN-COMPUTER INTERACTION,3.379,0.928
5,USER MODELING AND USER-ADAPTED INTERACTION,2.808,1.110
6,IEEE Transactions on Human-Machine Systems,2.563,0.684
7,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,2.300,0.533
8,IEEE Transactions on Haptics,1.869,0.506
9,BIOLOGICAL CYBERNETICS,1.440,0.655
10,BEHAVIOUR & INFORMATION TECHNOLOGY,1.380,0.319
11,MACHINE VISION AND APPLICATIONS,1.306,0.516
12,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,1.259,0.286
13,CYBERNETICS AND SYSTEMS,1.197,0.233
14,Universal Access in the Information Society,1.176,0.177
15,Journal on Multimodal User Interfaces,1.140,0.205
16,KYBERNETES,0.980,0.121
17,ACM Transactions on Computer-Human Interaction,0.972,0.549
18,INTERACTING WITH COMPUTERS,0.809,0.248
19,MODELING IDENTIFICATION AND CONTROL,0.667,0.293
20,KYBERNETIKA,0.632,0.224
21,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,0.554,0.090
22,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,0.426,0.218
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
