"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CONSTRUCTION & BUILDING TECHNOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,5.475,1.089
2,CEMENT AND CONCRETE RESEARCH,5.430,1.448
3,CEMENT & CONCRETE COMPOSITES,4.660,1.421
4,BUILDING AND ENVIRONMENT,4.539,0.902
5,ENERGY AND BUILDINGS,4.457,0.683
6,INDOOR AIR,4.396,1.252
7,AUTOMATION IN CONSTRUCTION,4.032,0.676
8,Structural Control & Health Monitoring,3.622,0.742
9,STEEL AND COMPOSITE STRUCTURES,3.594,0.467
10,CONSTRUCTION AND BUILDING MATERIALS,3.485,0.661
11,BUILDING RESEARCH AND INFORMATION,3.468,0.638
12,Sustainable Cities and Society,3.073,0.523
13,Journal of Building Performance Simulation,2.603,0.689
14,Leukos,2.576,0.760
15,JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,2.509,0.718
16,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,2.418,0.606
17,International Journal of Concrete Structures and Materials,2.360,0.534
18,International Journal of Pavement Engineering,2.322,0.509
19,MATERIALS AND STRUCTURES,2.271,0.719
20,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,2.201,0.433
21,Road Materials and Pavement Design,2.199,0.497
22,Lighting Research & Technology,1.921,0.416
23,JOURNAL OF STRUCTURAL ENGINEERING,1.903,0.814
24,MATERIALES DE CONSTRUCCION,1.803,0.304
25,JOURNAL OF MATERIALS IN CIVIL ENGINEERING,1.763,0.561
26,Building Simulation,1.673,0.359
27,Computers and Concrete,1.637,0.204
28,STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,1.500,0.301
29,MAGAZINE OF CONCRETE RESEARCH,1.488,0.313
30,Structural Concrete,1.384,0.531
31,International Journal of Architectural Heritage,1.345,0.339
32,ACI MATERIALS JOURNAL,1.252,0.526
33,WIND AND STRUCTURES,1.247,0.265
34,Advances in Concrete Construction,1.237,Not Available
35,Journal of Building Physics,1.226,0.265
36,ACI STRUCTURAL JOURNAL,1.197,0.561
36,JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,1.197,0.369
38,Science and Technology for the Built Environment,1.183,0.264
39,INDOOR AND BUILT ENVIRONMENT,1.158,0.275
40,Journal of Advanced Concrete Technology,1.134,0.387
41,Building Services Engineering Research & Technology,1.100,0.185
41,PCI JOURNAL,1.100,0.330
43,ADVANCES IN CEMENT RESEARCH,1.063,0.307
44,ADVANCES IN STRUCTURAL ENGINEERING,0.968,0.302
45,International Journal of Ventilation,0.881,0.177
46,Advances in Civil Engineering,0.827,Not Available
47,Advanced Steel Construction,0.737,0.231
48,International Journal of Steel Structures,0.734,0.227
49,Beton- und Stahlbetonbau,0.717,0.154
50,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS,0.674,0.181
51,Revista Romana de Materiale-Romanian Journal of Materials,0.661,0.070
52,Structural Engineering International,0.621,0.207
53,Informes de la Construccion,0.526,0.074
54,Bauingenieur,0.477,0.123
55,Cement Wapno Beton,0.468,0.071
56,Revista de la Construccion,0.438,0.047
57,Stahlbau,0.321,0.068
58,Journal of Asian Architecture and Building Engineering,0.310,0.049
59,ASHRAE JOURNAL,0.220,0.049
60,Bauphysik,0.202,0.033
61,ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,0.194,0.064
62,ZKG INTERNATIONAL,0.091,0.019
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
