"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CRITICAL CARE MEDICINE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Lancet Respiratory Medicine,21.466,8.371
2,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,15.239,5.086
3,INTENSIVE CARE MEDICINE,15.008,3.461
4,CHEST,7.652,2.586
5,CRITICAL CARE MEDICINE,6.630,2.449
6,CRITICAL CARE,6.425,2.006
7,RESUSCITATION,5.863,1.414
8,JOURNAL OF NEUROTRAUMA,5.002,1.390
9,Annals of Intensive Care,3.771,1.286
10,Journal of Trauma and Acute Care Surgery,3.695,1.078
11,SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,3.225,0.986
12,Neurocritical Care,3.163,0.982
13,Current Opinion in Critical Care,3.120,0.966
14,Pediatric Critical Care Medicine,3.092,0.984
15,SHOCK,3.005,0.968
16,JOURNAL OF CRITICAL CARE,2.872,0.904
17,Minerva Anestesiologica,2.693,0.495
18,JOURNAL OF INTENSIVE CARE MEDICINE,2.514,Not Available
19,Human Gene Therapy Clinical Development,2.431,Not Available
20,CRITICAL CARE CLINICS,2.330,0.722
21,INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,2.199,0.646
22,BURNS,2.134,0.519
23,Respiratory Care,2.073,0.609
24,AMERICAN JOURNAL OF CRITICAL CARE,2.055,0.662
25,Therapeutic Hypothermia and Temperature Management,2.038,0.474
26,Critical Care and Resuscitation,2.014,0.893
27,Australian Critical Care,1.930,0.520
28,Medicina Intensiva,1.755,0.280
29,Critical Care Nurse,1.707,0.493
30,ANAESTHESIA AND INTENSIVE CARE,1.702,0.475
31,ANASTHESIOLOGIE & INTENSIVMEDIZIN,0.880,0.085
32,Journal of Trauma Nursing,0.452,Not Available
33,ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE,0.262,0.046
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
