"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CRYSTALLOGRAPHY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Acta Crystallographica Section C-Structural Chemistry,8.678,0.555
2,Acta Crystallographica A-Foundation and Advances,7.930,1.209
3,IUCrJ,6.544,2.790
4,Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,6.467,1.052
5,Liquid Crystals Reviews,4.091,1.579
6,CRYSTAL GROWTH & DESIGN,3.972,0.777
7,JOURNAL OF APPLIED CRYSTALLOGRAPHY,3.422,1.424
8,CRYSTENGCOMM,3.304,0.601
9,PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,3.147,0.925
10,Acta Crystallographica Section D-Structural Biology,3.099,1.853
11,Crystallography Reviews,3.067,0.711
12,LIQUID CRYSTALS,2.636,0.253
13,Crystals,2.144,0.416
14,POLYHEDRON,2.067,0.276
15,STRUCTURAL CHEMISTRY,2.019,0.249
16,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,1.885,0.402
17,JOURNAL OF CRYSTAL GROWTH,1.742,0.358
18,Zeitschrift fur Kristallographie-Crystalline Materials,1.263,0.624
19,CRYSTAL RESEARCH AND TECHNOLOGY,1.122,0.222
20,PHASE TRANSITIONS,1.028,0.178
21,Acta Crystallographica Section F-Structural Biology Communications,0.989,0.288
22,CRYSTALLOGRAPHY REPORTS,0.762,0.108
23,JOURNAL OF CHEMICAL CRYSTALLOGRAPHY,0.699,0.080
24,CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,0.659,0.036
25,MOLECULAR CRYSTALS AND LIQUID CRYSTALS,0.633,0.067
26,ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES,0.252,0.013
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
