"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CULTURAL STUDIES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,PUBLIC CULTURE,2.413,1.128
2,Journal of Consumer Culture,1.672,0.715
3,THEORY CULTURE & SOCIETY,1.622,1.050
4,Differences-A Journal of Feminist Cultural Studies,1.512,0.522
5,Games and Culture,1.500,0.541
6,European Journal of Cultural Studies,1.326,0.489
7,Journal of African Cultural Studies,1.196,0.257
7,SCIENCE AS CULTURE,1.196,0.548
9,International Journal of Cultural Policy,1.115,0.262
10,CRITICAL INQUIRY,1.097,0.310
11,CULTURAL STUDIES,1.023,0.361
12,International Journal of Cultural Studies,0.976,0.339
13,JOURNAL OF MATERIAL CULTURE,0.957,0.367
14,Journal of Cultural Economy,0.944,Not Available
15,Memory Studies,0.922,0.300
16,IDENTITIES-GLOBAL STUDIES IN CULTURE AND POWER,0.920,0.479
17,SOUTH ATLANTIC QUARTERLY,0.819,0.466
18,Continuum-Journal of Media & Cultural Studies,0.782,0.302
19,Space and Culture,0.730,0.309
20,Inter-Asia Cultural Studies,0.722,0.344
21,Asian Studies Review,0.576,0.363
22,REPRESENTATIONS,0.519,0.156
23,Journal of African Media Studies,0.512,0.089
24,Communication and Critical-Cultural Studies,0.472,0.295
25,Postcolonial Studies,0.386,Not Available
26,Journal of Australian Studies,0.311,0.144
27,Postmedieval-A Journal of Medieval Cultural Studies,0.284,0.040
28,TOPIA-Canadian Journal of Cultural Studies,0.275,0.019
29,Journal of Spanish Cultural Studies,0.250,0.077
30,Modern Chinese Literature and Culture,0.240,0.010
31,Interventions-International Journal of Postcolonial Studies,0.235,0.188
32,Critical Arts-South-North Cultural and Media Studies,0.225,0.110
33,Journal of Latin American Cultural Studies,0.206,0.029
34,BOUNDARY 2-AN INTERNATIONAL JOURNAL OF LITERATURE AND CULTURE,0.200,0.111
35,JOURNAL OF POPULAR CULTURE,0.183,0.047
35,JOURNAL OF VISUAL CULTURE,0.183,0.121
37,European Journal of English Studies,0.140,0.051
38,Parallax,0.107,0.170
39,CULTURAL CRITIQUE,0.083,0.104
40,French Cultural Studies,0.031,0.039
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
