"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'DEMOGRAPHY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,POPULATION AND DEVELOPMENT REVIEW,3.547,1.846
2,DEMOGRAPHY,2.572,2.047
3,PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,2.450,1.749
4,Population Space and Place,2.439,0.901
5,International Perspectives on Sexual and Reproductive Health,2.135,1.241
6,INTERNATIONAL MIGRATION REVIEW,1.937,1.112
7,JOURNAL OF ETHNIC AND MIGRATION STUDIES,1.871,0.858
8,POPULATION AND ENVIRONMENT,1.571,0.915
9,POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,1.538,0.934
10,Demographic Research,1.478,0.741
10,STUDIES IN FAMILY PLANNING,1.478,1.512
12,Journal of Refugee Studies,1.404,0.631
13,Biodemography and Social Biology,1.297,0.793
14,JOURNAL OF POPULATION ECONOMICS,1.296,1.235
15,European Journal of Population,1.280,1.076
16,Migration Studies,1.256,Not Available
17,JOURNAL OF BIOSOCIAL SCIENCE,1.217,0.427
18,POPULATION,1.214,0.390
19,Journal of the Economics of Ageing,1.159,Not Available
20,EUROPEAN JOURNAL OF MIGRATION AND LAW,1.121,0.281
21,Asian Population Studies,1.057,0.434
22,INTERNATIONAL MIGRATION,1.040,0.410
23,Journal of Demographic Economics,1.029,0.951
24,POPULATION RESEARCH AND POLICY REVIEW,1.027,0.667
25,Canadian Studies in Population,0.520,0.221
26,Asian and Pacific Migration Journal,0.311,0.256
27,Mathematical Population Studies,0.269,0.176
28,Papeles de Poblacion,0.186,0.062
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
