"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'DENTISTRY, ORAL SURGERY & MEDICINE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,PERIODONTOLOGY 2000,6.220,1.640
2,JOURNAL OF DENTAL RESEARCH,5.383,1.547
3,ORAL ONCOLOGY,4.636,1.183
4,CLINICAL ORAL IMPLANTS RESEARCH,4.305,1.094
5,International Journal of Oral Science,4.138,0.881
6,JOURNAL OF CLINICAL PERIODONTOLOGY,4.046,1.149
7,DENTAL MATERIALS,4.039,0.989
8,JOURNAL OF DENTISTRY,3.770,0.983
9,JOURNAL OF PERIODONTOLOGY,3.392,0.863
10,Journal of Prosthodontic Research,3.306,0.656
11,Clinical Implant Dentistry and Related Research,3.097,0.974
12,INTERNATIONAL ENDODONTIC JOURNAL,3.015,0.799
13,JOURNAL OF ENDODONTICS,2.886,0.596
14,JOURNAL OF PERIODONTAL RESEARCH,2.878,0.633
15,Molecular Oral Microbiology,2.853,0.879
16,European Journal of Oral Implantology,2.809,1.014
17,JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,2.486,0.727
18,Journal of Evidence-Based Dental Practice,2.400,Not Available
19,Clinical Oral Investigations,2.386,0.678
20,JOURNAL OF PROSTHETIC DENTISTRY,2.347,0.431
21,ORAL DISEASES,2.310,0.615
22,JOURNAL OF ORAL PATHOLOGY & MEDICINE,2.237,0.468
23,CARIES RESEARCH,2.188,0.649
24,INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,2.164,0.585
25,OPERATIVE DENTISTRY,2.130,0.462
26,Orthodontics & Craniofacial Research,2.077,0.579
27,JOURNAL OF ORAL REHABILITATION,2.051,0.687
28,ARCHIVES OF ORAL BIOLOGY,2.050,0.498
29,EUROPEAN JOURNAL OF ORTHODONTICS,2.033,0.628
30,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,1.992,0.703
31,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,1.960,0.525
32,DENTOMAXILLOFACIAL RADIOLOGY,1.848,0.563
33,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,1.842,0.648
34,JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,1.779,0.500
35,Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry,1.750,0.407
36,International Journal of Computerized Dentistry,1.725,Not Available
37,Oral Surgery Oral Medicine Oral Pathology Oral Radiology,1.718,0.452
38,Journal of Applied Oral Science,1.709,0.416
39,INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS,1.699,0.710
40,JOURNAL OF ADHESIVE DENTISTRY,1.691,0.385
41,Medicina Oral Patologia Oral y Cirugia Bucal,1.671,0.433
42,EUROPEAN JOURNAL OF ORAL SCIENCES,1.655,0.559
43,Korean Journal of Orthodontics,1.617,0.532
44,Head & Face Medicine,1.606,0.426
45,BMC Oral Health,1.602,0.503
46,ANGLE ORTHODONTIST,1.592,0.521
47,Journal of Oral & Facial Pain and Headache,1.538,0.736
48,Journal of Esthetic and Restorative Dentistry,1.531,0.387
49,ACTA ODONTOLOGICA SCANDINAVICA,1.522,0.379
50,AUSTRALIAN DENTAL JOURNAL,1.494,0.453
51,Odontology,1.458,0.358
52,GERODONTOLOGY,1.439,0.409
53,JOURNAL OF PUBLIC HEALTH DENTISTRY,1.436,0.493
54,DENTAL TRAUMATOLOGY,1.414,0.311
55,INTERNATIONAL DENTAL JOURNAL,1.389,0.403
56,International Journal of Paediatric Dentistry,1.383,0.400
57,International Journal of Dental Hygiene,1.380,0.301
58,Australian Endodontic Journal,1.371,0.286
59,Oral and Maxillofacial Surgery Clinics of North America,1.367,0.384
60,European Journal of Dental Education,1.343,0.257
61,INTERNATIONAL JOURNAL OF PROSTHODONTICS,1.333,0.475
62,Implant Dentistry,1.307,0.386
63,BRITISH DENTAL JOURNAL,1.274,0.330
64,CLEFT PALATE-CRANIOFACIAL JOURNAL,1.262,0.388
65,BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY,1.260,0.368
66,Progress in Orthodontics,1.250,Not Available
67,INTERNATIONAL JOURNAL OF PERIODONTICS & RESTORATIVE DENTISTRY,1.249,0.455
68,Brazilian Oral Research,1.223,0.359
69,Journal of Oral Implantology,1.212,0.370
70,DENTAL MATERIALS JOURNAL,1.205,0.295
71,Journal of Advanced Prosthodontics,1.144,0.291
72,JOURNAL OF DENTAL EDUCATION,1.102,0.218
73,CRANIO-THE JOURNAL OF CRANIOMANDIBULAR PRACTICE,1.094,0.245
74,QUINTESSENCE INTERNATIONAL,1.088,0.300
75,Journal of Periodontal and Implant Science,1.072,0.366
76,JOURNAL OF THE CANADIAN DENTAL ASSOCIATION,0.978,0.198
77,Oral Health & Preventive Dentistry,0.960,0.250
78,COMMUNITY DENTAL HEALTH,0.956,0.274
79,Journal of Orofacial Orthopedics-Fortschritte der Kieferorthopadie,0.907,0.349
80,European Journal of Paediatric Dentistry,0.893,0.207
81,Journal of Clinical Pediatric Dentistry,0.854,0.195
82,Journal of Oral Science,0.853,0.251
83,SWEDISH DENTAL JOURNAL,0.818,0.283
84,AMERICAN JOURNAL OF DENTISTRY,0.760,0.272
85,Journal of Dental Sciences,0.619,0.128
86,Seminars in Orthodontics,0.500,Not Available
87,Oral Radiology,0.466,0.107
88,Revue de Stomatologie de Chirurgie Maxillo-faciale et de Chirurgie Orale,0.411,0.080
89,Australian Orthodontic Journal,0.396,0.205
90,Implantologie,0.138,0.017
91,Journal of Stomatology Oral and Maxillofacial Surgery,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
