"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'DERMATOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,JAMA Dermatology,8.107,2.423
2,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,6.898,1.923
3,JOURNAL OF INVESTIGATIVE DERMATOLOGY,6.448,2.115
4,BRITISH JOURNAL OF DERMATOLOGY,6.129,1.582
5,Pigment Cell & Melanoma Research,6.115,1.585
6,Advances in Wound Care,5.200,Not Available
7,JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,4.287,1.018
8,CONTACT DERMATITIS,4.275,0.665
9,JOURNAL OF DERMATOLOGICAL SCIENCE,3.675,1.048
10,DERMATOLOGIC CLINICS,3.214,0.761
11,MELANOMA RESEARCH,3.135,0.876
12,ACTA DERMATO-VENEREOLOGICA,3.127,1.170
13,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,3.018,0.947
14,WOUND REPAIR AND REGENERATION,2.952,0.932
15,MYCOSES,2.793,0.644
16,JOURNAL OF DERMATOLOGY,2.788,0.695
17,JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,2.743,0.644
18,LASERS IN SURGERY AND MEDICINE,2.726,0.591
19,EXPERIMENTAL DERMATOLOGY,2.608,0.686
20,Dermatitis,2.576,0.624
21,DERMATOLOGIC SURGERY,2.471,0.651
22,International Wound Journal,2.380,0.575
23,Indian Journal of Dermatology Venereology & Leprology,2.229,0.548
24,ARCHIVES OF DERMATOLOGICAL RESEARCH,2.148,0.614
25,JOURNAL OF DERMATOLOGICAL TREATMENT,2.144,0.545
26,BURNS,2.134,0.519
27,CLINICS IN DERMATOLOGY,2.055,0.695
28,SKIN PHARMACOLOGY AND PHYSIOLOGY,1.974,0.492
29,DERMATOLOGY,1.958,0.709
30,EUROPEAN JOURNAL OF DERMATOLOGY,1.944,0.628
31,PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,1.938,0.482
32,Journal of Tissue Viability,1.925,0.406
33,Annals of Dermatology,1.860,0.480
34,INTERNATIONAL JOURNAL OF COSMETIC SCIENCE,1.777,0.362
35,Journal of Wound Care,1.670,0.357
36,AUSTRALASIAN JOURNAL OF DERMATOLOGY,1.602,0.466
37,WOUNDS-A COMPENDIUM OF CLINICAL RESEARCH AND PRACTICE,1.593,0.345
38,Dermatologic Therapy,1.563,0.371
39,INTERNATIONAL JOURNAL OF DERMATOLOGY,1.541,0.410
40,JOURNAL OF CUTANEOUS PATHOLOGY,1.532,0.365
41,Journal of Cosmetic Dermatology,1.529,0.428
42,Journal of Drugs in Dermatology,1.527,0.408
43,SKIN RESEARCH AND TECHNOLOGY,1.489,0.392
44,CLINICAL AND EXPERIMENTAL DERMATOLOGY,1.484,0.434
45,Postepy Dermatologii i Alergologii,1.471,0.275
46,Advances in Skin & Wound Care,1.377,0.447
47,INDIAN JOURNAL OF DERMATOLOGY,1.338,Not Available
48,GIORNALE ITALIANO DI DERMATOLOGIA E VENEREOLOGIA,1.327,0.246
49,VETERINARY DERMATOLOGY,1.270,0.403
50,International Journal of Lower Extremity Wounds,1.212,0.348
50,JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,1.212,0.335
52,AMERICAN JOURNAL OF DERMATOPATHOLOGY,1.210,0.321
53,CUTIS,1.167,0.330
54,Journal of Cosmetic and Laser Therapy,1.138,0.333
55,Acta Dermatovenerologica Croatica,1.054,0.204
56,ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE,1.051,0.120
57,Dermatologica Sinica,1.050,0.222
58,PEDIATRIC DERMATOLOGY,1.041,0.314
59,SEMINARS IN CUTANEOUS MEDICINE AND SURGERY,0.973,0.372
60,ANAIS BRASILEIROS DE DERMATOLOGIA,0.884,0.273
61,LEPROSY REVIEW,0.752,0.253
62,HAUTARZT,0.663,0.100
63,JOURNAL OF COSMETIC SCIENCE,0.436,0.156
64,Hong Kong Journal of Dermatology & Venereology,0.086,0.025
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
