"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'DEVELOPMENTAL BIOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,DEVELOPMENTAL CELL,9.616,5.270
2,GENES & DEVELOPMENT,9.462,6.040
3,Annual Review of Cell and Developmental Biology,9.032,8.826
4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,6.138,2.396
5,DEVELOPMENT,5.413,2.830
6,Wiley Interdisciplinary Reviews-Developmental Biology,5.343,2.341
7,BIRTH DEFECTS RESEARCH PART C-EMBRYO TODAY-REVIEWS,3.531,1.081
8,MOLECULAR HUMAN REPRODUCTION,3.449,1.155
9,EvoDevo,3.313,1.327
10,DEVELOPMENTAL BIOLOGY,3.262,1.362
11,MOLECULAR REPRODUCTION AND DEVELOPMENT,3.113,0.867
12,Current Topics in Developmental Biology,3.110,1.836
13,REPRODUCTION,3.086,0.980
14,DIFFERENTIATION,2.688,0.972
15,GENESIS,2.667,1.042
16,Developmental Neurobiology,2.598,1.109
17,Organogenesis,2.567,0.992
18,DEVELOPMENTAL DYNAMICS,2.507,0.904
19,INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,2.495,0.676
20,DEVELOPMENTAL PSYCHOBIOLOGY,2.494,0.896
21,PLACENTA,2.434,0.849
22,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2.432,0.769
23,BMC DEVELOPMENTAL BIOLOGY,2.427,1.048
24,DEVELOPMENTAL NEUROSCIENCE,2.133,0.787
25,Neural Development,2.130,1.297
26,DEVELOPMENT GENES AND EVOLUTION,2.125,0.771
27,REPRODUCTION FERTILITY AND DEVELOPMENT,2.105,0.568
28,EVOLUTION & DEVELOPMENT,2.000,0.820
29,Sexual Development,1.913,0.714
30,MECHANISMS OF DEVELOPMENT,1.900,0.790
31,Zebrafish,1.733,0.632
32,BIRTH DEFECTS RESEARCH PART A-CLINICAL AND MOLECULAR TERATOLOGY,1.603,0.752
33,INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,1.579,0.682
34,GENE EXPRESSION PATTERNS,1.515,0.474
35,DEVELOPMENT GROWTH & DIFFERENTIATION,1.496,0.661
36,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-ANIMAL,1.447,0.301
37,CELLS TISSUES ORGANS,1.275,0.496
38,ZYGOTE,1.114,0.258
39,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,1.057,0.243
40,Romanian Journal of Morphology and Embryology,0.912,0.137
41,Russian Journal of Developmental Biology,0.519,0.104
42,Birth Defects Research,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
