Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE Selected Categories: 'ECOLOGY' Selected Category Scheme: WoS,,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,TRENDS IN ECOLOGY & EVOLUTION,15.938,7.678
2,Annual Review of Ecology Evolution and Systematics,10.160,6.375
3,ISME Journal,9.520,3.664
4,ECOLOGY LETTERS,9.137,4.719
5,GLOBAL CHANGE BIOLOGY,8.997,3.307
6,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,8.302,3.864
7,ECOLOGICAL MONOGRAPHS,7.828,3.861
8,Molecular Ecology Resources,7.059,2.010
9,Methods in Ecology and Evolution,6.363,3.752
10,MOLECULAR ECOLOGY,6.131,2.210
11,GLOBAL ECOLOGY AND BIOGEOGRAPHY,5.958,2.709
12,CONSERVATION BIOLOGY,5.890,2.052
13,JOURNAL OF APPLIED ECOLOGY,5.742,1.975
14,FUNCTIONAL ECOLOGY,5.491,2.007
15,JOURNAL OF ECOLOGY,5.172,2.403
16,LANDSCAPE AND URBAN PLANNING,4.994,1.249
17,Advances in Ecological Research,4.912,2.117
18,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,4.847,2.171
19,WILDLIFE MONOGRAPHS,4.800,1.993
20,BIOLOGICAL CONSERVATION,4.661,1.565
21,ECOLOGY,4.617,2.101
22,DIVERSITY AND DISTRIBUTIONS,4.614,1.595
23,ECOGRAPHY,4.520,2.094
24,JOURNAL OF ANIMAL ECOLOGY,4.459,1.828
25,Ecosystem Services,4.395,1.233
26,ECOLOGICAL APPLICATIONS,4.393,1.711
27,AMERICAN NATURALIST,4.265,1.828
28,Current Opinion in Insect Science,4.171,1.424
29,JOURNAL OF BIOGEOGRAPHY,4.154,1.700
30,ECOSYSTEMS,4.030,1.565
31,ECOLOGICAL ECONOMICS,3.895,1.144
32,HEREDITY,3.872,1.426
33,LANDSCAPE ECOLOGY,3.833,1.244
34,EVOLUTION,3.818,1.674
35,FRESHWATER BIOLOGY,3.767,1.037
36,Fungal Ecology,3.736,0.949
37,OIKOS,3.709,1.399
38,MICROBIAL ECOLOGY,3.614,0.974
39,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,3.541,1.099
40,Conservation Physiology,3.460,1.113
41,Biogeosciences,3.441,1.562
42,BEHAVIORAL ECOLOGY,3.347,1.197
43,Biology Letters,3.345,1.308
44,Movement Ecology,3.286,Not Available
45,ECOLOGY AND SOCIETY,3.256,1.237
46,OECOLOGIA,3.127,1.169
47,BIOLOGICAL INVASIONS,3.054,0.895
48,ECOLOGICAL ENGINEERING,3.023,0.646
49,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,2.938,1.874
50,ANIMAL CONSERVATION,2.889,1.082
51,BIODIVERSITY AND CONSERVATION,2.828,0.913
52,AoB Plants,2.821,0.849
53,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,2.820,1.279
54,International Journal for Parasitology-Parasites and Wildlife,2.777,Not Available
55,Ecohydrology,2.755,0.869
56,Ecosphere,2.671,1.025
57,JOURNAL OF VEGETATION SCIENCE,2.658,1.098
58,RESTORATION ECOLOGY,2.544,0.676
59,JOURNAL OF EVOLUTIONARY BIOLOGY,2.538,1.115
60,ECOLOGICAL MODELLING,2.507,0.736
61,Freshwater Science,2.489,0.850
62,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2.473,0.860
63,JOURNAL OF CHEMICAL ECOLOGY,2.419,0.854
64,PALEOBIOLOGY,2.400,1.169
65,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,2.373,0.334
66,Ecology and Evolution,2.340,0.928
67,ORYX,2.333,0.722
68,APPLIED VEGETATION SCIENCE,2.331,0.656
69,BMC ECOLOGY,2.315,0.917
70,PEDOBIOLOGIA,2.288,0.650
71,BIOTROPICA,2.281,0.859
72,MARINE ECOLOGY PROGRESS SERIES,2.276,0.800
73,JOURNAL OF SOIL AND WATER CONSERVATION,2.258,0.677
74,Global Ecology and Conservation,2.174,0.763
75,BASIC AND APPLIED ECOLOGY,2.144,0.741
76,EVOLUTIONARY ECOLOGY,2.133,0.832
77,WILDLIFE BIOLOGY,2.081,0.531
78,EUROPEAN JOURNAL OF SOIL BIOLOGY,2.068,0.648
79,JOURNAL OF WILDLIFE MANAGEMENT,2.055,0.696
80,AQUATIC MICROBIAL ECOLOGY,2.024,0.761
81,URBAN ECOSYSTEMS,2.005,0.652
82,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,1.990,0.629
83,JOURNAL OF ARID ENVIRONMENTS,1.989,0.541
84,ECOTOXICOLOGY,1.987,0.570
85,AQUATIC ECOLOGY,1.978,0.570
86,Aquatic Invasions,1.976,0.714
87,JOURNAL FOR NATURE CONSERVATION,1.971,0.644
88,Rangeland Ecology & Management,1.967,0.450
89,POLAR BIOLOGY,1.954,0.625
90,Journal of Plant Ecology,1.937,0.825
91,Bulletin of the Peabody Museum of Natural History,1.926,0.833
92,Ecological Informatics,1.820,0.542
93,WETLANDS,1.811,0.543
94,PLANT ECOLOGY,1.759,0.587
95,Fire Ecology,1.756,0.515
96,AUSTRAL ECOLOGY,1.730,0.611
97,PHYTOCOENOLOGIA,1.721,0.254
98,PLANT SPECIES BIOLOGY,1.673,0.412
99,POPULATION ECOLOGY,1.644,0.539
100,CHEMOECOLOGY,1.642,0.619
101,Ecological Complexity,1.634,0.645
102,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1.615,0.550
103,ECOHYDROLOGY & HYDROBIOLOGY,1.592,Not Available
104,Journal of Biological Dynamics,1.576,0.608
105,ECOLOGICAL MANAGEMENT & RESTORATION,1.561,Not Available
106,ECOLOGICAL RESEARCH,1.531,0.497
107,ENVIRONMENTAL BIOLOGY OF FISHES,1.514,0.496
108,POLAR RESEARCH,1.500,0.609
109,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1.453,0.458
109,Theoretical Ecology,1.453,0.752
111,WILDLIFE RESEARCH,1.410,0.493
112,FLORA,1.365,0.404
113,NEW ZEALAND JOURNAL OF ECOLOGY,1.309,0.374
114,THEORETICAL POPULATION BIOLOGY,1.259,0.689
115,POLISH POLAR RESEARCH,1.231,0.413
116,TROPICAL ECOLOGY,1.189,0.222
117,Regional Studies in Marine Science,1.152,Not Available
118,CHEMISTRY AND ECOLOGY,1.091,0.215
119,RANGELAND JOURNAL,1.080,0.279
120,JOURNAL OF TROPICAL ECOLOGY,1.061,0.434
121,Polar Science,1.031,0.385
122,NATURAL AREAS JOURNAL,0.980,0.243
123,JOURNAL OF FRESHWATER ECOLOGY,0.979,0.259
124,Israel Journal of Ecology & Evolution,0.976,0.227
125,COMMUNITY ECOLOGY,0.943,0.403
126,REVISTA CHILENA DE HISTORIA NATURAL,0.906,0.352
127,Marine Biology Research,0.901,0.356
128,COMPOST SCIENCE & UTILIZATION,0.889,0.204
129,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,0.879,0.284
130,JOURNAL OF NATURAL HISTORY,0.875,0.302
131,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,0.847,0.252
132,ACTA AMAZONICA,0.837,Not Available
133,Landscape and Ecological Engineering,0.815,0.208
134,AFRICAN JOURNAL OF ECOLOGY,0.797,0.247
135,WEB ECOLOGY,0.793,Not Available
136,ANNALES ZOOLOGICI FENNICI,0.732,0.301
137,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,0.721,0.153
138,Human-Wildlife Interactions,0.717,Not Available
139,AMERICAN MIDLAND NATURALIST,0.714,0.262
140,POLAR RECORD,0.712,0.199
141,NORTHWEST SCIENCE,0.706,0.211
142,ECOSCIENCE,0.696,0.306
143,African Journal of Wildlife Research,0.659,0.141
144,Eco mont-Journal on Protected Mountain Areas Research,0.656,0.127
145,EVOLUTIONARY ECOLOGY RESEARCH,0.612,0.410
146,Journal of Fish and Wildlife Management,0.598,0.277
147,NORTHEASTERN NATURALIST,0.597,0.227
148,WESTERN NORTH AMERICAN NATURALIST,0.531,0.135
149,VIE ET MILIEU-LIFE AND ENVIRONMENT,0.475,0.132
150,PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,0.464,0.270
151,RUSSIAN JOURNAL OF ECOLOGY,0.439,0.109
152,POLISH JOURNAL OF ECOLOGY,0.436,0.162
153,SOUTHEASTERN NATURALIST,0.407,0.174
154,PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,0.375,0.102
155,Contemporary Problems of Ecology,0.366,0.088
156,REVUE D ECOLOGIE-LA TERRE ET LA VIE,0.350,0.114
157,INTERCIENCIA,0.258,0.055
158,SOUTHWESTERN NATURALIST,0.244,0.125
159,NATURAL HISTORY,0.030,0.009
160,Nature Ecology & Evolution,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
