"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ECONOMICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,QUARTERLY JOURNAL OF ECONOMICS,7.863,20.155
2,JOURNAL OF HUMAN RESOURCES,6.531,4.564
3,JOURNAL OF ECONOMIC GROWTH,6.480,5.456
4,ECONOMIC GEOGRAPHY,6.438,1.716
5,JOURNAL OF ECONOMIC PERSPECTIVES,5.607,7.197
6,VALUE IN HEALTH,5.494,1.934
7,JOURNAL OF FINANCE,5.397,11.076
8,JOURNAL OF POLITICAL ECONOMY,5.247,11.699
9,JOURNAL OF FINANCIAL ECONOMICS,5.162,6.758
10,American Economic Journal-Applied Economics,5.028,6.884
11,AMERICAN ECONOMIC REVIEW,4.528,8.728
12,REVIEW OF ECONOMIC STUDIES,4.455,9.851
13,Review of Environmental Economics and Policy,4.419,3.483
14,REVIEW OF FINANCIAL STUDIES,4.270,7.240
15,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,4.081,1.359
16,ENERGY POLICY,4.039,0.994
17,PHARMACOECONOMICS,4.011,1.217
18,Cambridge Journal of Regions Economy and Society,3.968,1.187
19,American Economic Journal-Economic Policy,3.929,6.384
20,ENERGY ECONOMICS,3.910,1.172
21,ECOLOGICAL ECONOMICS,3.895,1.144
22,ECONOMETRICA,3.750,11.440
23,JOURNAL OF ECONOMIC LITERATURE,3.653,9.373
24,JOURNAL OF LABOR ECONOMICS,3.607,5.913
25,REVIEW OF ECONOMICS AND STATISTICS,3.510,5.269
26,JOURNAL OF ECONOMIC GEOGRAPHY,3.453,1.684
27,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,3.444,2.915
28,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,3.289,1.109
29,JOURNAL OF ACCOUNTING & ECONOMICS,3.282,3.972
30,JOURNAL OF HEALTH ECONOMICS,3.250,2.349
31,Technological and Economic Development of Economy,3.244,0.442
32,Annual Review of Economics,3.191,6.316
33,American Economic Journal-Macroeconomics,3.169,7.423
34,WORLD DEVELOPMENT,3.166,1.379
35,NBER Macroeconomics Annual,3.154,Not Available
36,REGIONAL STUDIES,3.147,0.952
37,FOOD POLICY,3.111,1.070
38,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,3.067,8.210
39,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,3.026,1.063
40,Socio-Economic Review,3.016,1.856
41,Journal of the European Economic Association,2.975,5.087
42,ECONOMIC JOURNAL,2.946,3.776
43,ECONOMIC POLICY,2.879,2.658
44,SMALL BUSINESS ECONOMICS,2.857,0.868
45,MATHEMATICAL FINANCE,2.714,2.427
46,Journal of Transport Geography,2.699,0.997
47,Review of International Organizations,2.686,2.100
48,Economics & Human Biology,2.675,1.023
49,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,2.635,2.061
50,NEW POLITICAL ECONOMY,2.603,0.914
51,European Journal of Health Economics,2.601,0.912
52,POST-SOVIET AFFAIRS,2.578,1.211
53,ECONOMY AND SOCIETY,2.542,1.023
54,REVIEW OF INTERNATIONAL POLITICAL ECONOMY,2.532,1.298
55,Transport Policy,2.512,0.795
56,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,2.457,0.970
57,Economic Systems Research,2.429,1.194
58,Journal of Agrarian Change,2.391,1.077
59,JOURNAL OF APPLIED ECONOMETRICS,2.336,2.786
60,HEALTH ECONOMICS,2.319,1.274
61,JOURNAL OF ECONOMIC SURVEYS,2.299,1.763
62,JOURNAL OF URBAN ECONOMICS,2.292,2.169
63,EXPERIMENTAL ECONOMICS,2.267,1.810
64,FUTURES,2.256,0.447
65,JOURNAL OF REGIONAL SCIENCE,2.243,1.340
66,JOURNAL OF DEVELOPMENT ECONOMICS,2.205,2.668
67,INDUSTRIAL AND CORPORATE CHANGE,2.198,0.999
68,WORK EMPLOYMENT AND SOCIETY,2.195,0.840
69,INTERNATIONAL JOURNAL OF FORECASTING,2.186,1.200
70,JOURNAL OF INTERNATIONAL ECONOMICS,2.168,2.739
71,JOURNAL OF MONETARY ECONOMICS,2.157,4.650
72,Journal of Institutional Economics,2.139,0.650
73,ENERGY JOURNAL,2.132,1.038
74,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,2.115,3.961
75,Education Finance and Policy,2.103,1.384
76,JCMS-Journal of Common Market Studies,2.089,0.939
77,CAMBRIDGE JOURNAL OF ECONOMICS,2.070,0.739
78,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,2.049,2.332
79,Journal of Financial Stability,2.032,0.854
80,Review of Finance,2.023,2.233
81,Annual Review of Resource Economics,2.022,1.340
82,JOURNAL OF AGRICULTURAL ECONOMICS,2.000,0.715
82,WORLD BANK RESEARCH OBSERVER,2.000,2.278
84,ENVIRONMENTAL & RESOURCE ECONOMICS,1.961,0.845
85,JOURNAL OF BANKING & FINANCE,1.931,1.018
