"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'EDUCATION & EDUCATIONAL RESEARCH' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,REVIEW OF EDUCATIONAL RESEARCH,8.241,3.750
2,Internet and Higher Education,5.847,1.214
3,Educational Research Review,4.973,2.008
4,COMPUTERS & EDUCATION,4.538,1.023
5,EDUCATIONAL PSYCHOLOGIST,4.488,2.970
6,Educational Researcher,4.000,2.299
7,LEARNING AND INSTRUCTION,3.967,1.946
8,Metacognition and Learning,3.706,1.449
9,Studies in Science Education,3.455,1.278
10,International Journal of Computer-Supported Collaborative Learning,3.273,0.537
11,JOURNAL OF RESEARCH IN SCIENCE TEACHING,3.210,1.305
12,JOURNAL OF TEACHER EDUCATION,3.180,1.248
13,Learning Media and Technology,3.175,0.636
14,SCIENCE EDUCATION,3.035,1.254
15,JOURNAL OF THE LEARNING SCIENCES,3.000,1.581
16,Physical Education and Sport Pedagogy,2.928,0.562
17,SOCIOLOGY OF EDUCATION,2.900,1.961
18,Academy of Management Learning & Education,2.866,0.879
19,Comunicar,2.838,0.282
20,MODERN LANGUAGE JOURNAL,2.789,0.705
21,SPORT EDUCATION AND SOCIETY,2.769,0.449
22,READING RESEARCH QUARTERLY,2.739,1.682
23,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,2.729,0.559
24,Journal of School Violence,2.721,Not Available
25,HARVARD EDUCATIONAL REVIEW,2.634,1.411
26,Environmental Education Research,2.595,0.446
27,Physical Review Special Topics-Physics Education Research,2.582,0.484
28,ADVANCES IN HEALTH SCIENCES EDUCATION,2.552,1.170
29,JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION,2.500,0.845
30,EDUCATIONAL EVALUATION AND POLICY ANALYSIS,2.486,1.942
31,TEACHING AND TEACHER EDUCATION,2.473,0.660
32,JOURNAL OF ENVIRONMENTAL EDUCATION,2.472,0.541
33,AMERICAN EDUCATIONAL RESEARCH JOURNAL,2.462,2.130
34,JOURNAL OF EDUCATION POLICY,2.446,0.765
35,European Physical Education Review,2.422,0.431
36,Teachers and Teaching,2.378,0.411
37,EARLY CHILDHOOD RESEARCH QUARTERLY,2.364,1.115
38,SCIENTIFIC STUDIES OF READING,2.328,1.490
39,STUDIES IN HIGHER EDUCATION,2.321,0.575
40,BRITISH JOURNAL OF EDUCATIONAL STUDIES,2.295,0.548
41,JOURNAL OF HIGHER EDUCATION,2.283,0.796
42,TESOL QUARTERLY,2.256,0.948
43,Journal of Studies in International Education,2.255,0.562
43,Language Teaching,2.255,0.961
45,JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,2.233,1.866
46,ReCALL,2.206,0.811
47,LANGUAGE LEARNING & TECHNOLOGY,2.113,0.587
48,Education Finance and Policy,2.103,1.384
49,URBAN EDUCATION,2.100,0.810
50,Language Teaching Research,2.086,0.682
51,Critical Studies in Education,2.080,0.826
52,Higher Education Research & Development,2.006,0.455
53,JOURNAL OF ENGINEERING EDUCATION,1.976,1.011
53,RESEARCH IN THE TEACHING OF ENGLISH,1.976,0.681
55,Active Learning in Higher Education,1.969,Not Available
56,HIGHER EDUCATION,1.937,0.589
57,JOURNAL OF SCHOOL HEALTH,1.935,0.624
58,Computer Assisted Language Learning,1.928,0.462
59,INSTRUCTIONAL SCIENCE,1.922,0.828
60,Assessing Writing,1.906,Not Available
61,Discourse-Studies in the Cultural Politics of Education,1.902,0.638
62,Assessment & Evaluation in Higher Education,1.877,0.393
63,International Journal of Sustainability in Higher Education,1.876,0.187
64,IEEE Transactions on Learning Technologies,1.869,0.548
65,JOURNAL OF EXPERIMENTAL EDUCATION,1.867,0.939
66,JOURNAL OF COMPUTER ASSISTED LEARNING,1.859,0.672
67,EDUCATIONAL ADMINISTRATION QUARTERLY,1.851,0.633
68,READING AND WRITING,1.837,0.853
69,Compare-A Journal of Comparative and International Education,1.828,0.302
70,International Review of Research in Open and Distributed Learning,1.826,0.358
71,COMPARATIVE EDUCATION REVIEW,1.815,0.804
72,Cambridge Journal of Education,1.793,0.519
73,RESEARCH IN HIGHER EDUCATION,1.792,1.047
74,MINERVA,1.784,0.477
75,REVISTA DE EDUCACION,1.783,0.205
76,EDUCATIONAL TECHNOLOGY & SOCIETY,1.767,0.420
77,International Journal of Bilingual Education and Bilingualism,1.765,0.533
78,AIDS EDUCATION AND PREVENTION,1.756,0.712
