"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'EDUCATION, SCIENTIFIC DISCIPLINES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,ACADEMIC MEDICINE,4.801,1.833
2,MEDICAL EDUCATION,4.405,1.661
3,Studies in Science Education,3.455,1.278
4,Anatomical Sciences Education,3.114,0.496
5,Physical Review Special Topics-Physics Education Research,2.582,0.484
6,JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,2.571,1.003
7,ADVANCES IN HEALTH SCIENCES EDUCATION,2.552,1.170
8,MEDICAL TEACHER,2.450,0.836
9,CBE-Life Sciences Education,2.413,0.806
10,Journal of Surgical Education,2.302,0.786
11,Hematology-American Society of Hematology Education Program,2.238,1.175
12,NURSE EDUCATION TODAY,2.067,0.439
13,ADVANCES IN PHYSIOLOGY EDUCATION,1.981,0.525
14,JOURNAL OF ENGINEERING EDUCATION,1.976,1.011
15,JOURNAL OF SCHOOL HEALTH,1.935,0.624
16,JOURNAL OF CHEMICAL EDUCATION,1.758,0.202
17,Chemistry Education Research and Practice,1.621,0.395
18,IEEE TRANSACTIONS ON EDUCATION,1.600,0.404
19,JOURNAL OF CANCER EDUCATION,1.547,0.490
20,ACM Transactions on Computing Education,1.535,Not Available
21,BMC Medical Education,1.511,0.529
22,AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,1.495,0.233
23,Physical Review Physics Education Research,1.420,0.280
24,Journal of Science Education and Technology,1.375,0.488
25,European Journal of Dental Education,1.343,0.257
26,INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,1.339,0.217
27,JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,1.313,0.183
28,TEACHING AND LEARNING IN MEDICINE,1.292,0.518
29,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,1.153,0.101
30,JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,1.088,0.545
31,BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,1.036,0.212
32,AMERICAN JOURNAL OF PHYSICS,1.034,0.356
33,JOURNAL OF VETERINARY MEDICAL EDUCATION,0.850,0.165
34,EUROPEAN JOURNAL OF PHYSICS,0.642,0.177
35,JOURNAL OF BIOLOGICAL EDUCATION,0.633,0.220
36,INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION,0.593,0.050
37,INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,0.575,0.100
38,Journal of Materials Education,0.500,0.108
39,Indian Journal of Pharmaceutical Education and Research,0.351,0.038
40,AMERICAN BIOLOGY TEACHER,0.271,0.059
41,Engineering Studies,0.217,0.142
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
