"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'EDUCATION, SPECIAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,EXCEPTIONAL CHILDREN,3.340,1.363
2,JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,2.410,0.682
3,JOURNAL OF LEARNING DISABILITIES,2.341,1.124
4,JOURNAL OF SPECIAL EDUCATION,2.262,0.857
5,LEARNING DISABILITY QUARTERLY,2.132,0.641
6,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,2.026,0.746
7,AJIDD-American Journal on Intellectual and Developmental Disabilities,1.901,0.973
8,RESEARCH IN DEVELOPMENTAL DISABILITIES,1.820,0.650
9,ANNALS OF DYSLEXIA,1.793,0.663
10,RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,1.778,0.646
11,JOURNAL OF FLUENCY DISORDERS,1.727,0.504
12,Research in Autism Spectrum Disorders,1.675,0.725
13,REMEDIAL AND SPECIAL EDUCATION,1.648,0.863
14,Journal of Deaf Studies and Deaf Education,1.611,0.502
15,Journal of Behavioral Education,1.348,Not Available
16,Reading & Writing Quarterly,1.333,0.376
17,Intellectual and Developmental Disabilities,1.290,0.638
18,JOURNAL OF EARLY INTERVENTION,1.241,0.437
19,JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,1.200,0.748
20,DYSLEXIA,1.186,0.493
21,GIFTED CHILD QUARTERLY,1.179,0.240
22,JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,1.176,0.356
23,BEHAVIORAL DISORDERS,1.161,0.461
24,Learning Disabilities Research & Practice,1.147,0.674
25,TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,1.125,0.420
26,International Review of Research in Developmental Disabilities,1.069,0.229
27,Education and Training in Autism and Developmental Disabilities,1.000,0.303
28,Exceptionality,0.969,0.249
29,Focus on Autism and Other Developmental Disabilities,0.959,0.600
30,International Journal of Disability Development and Education,0.947,0.262
31,HIGH ABILITY STUDIES,0.920,0.249
32,European Journal of Special Needs Education,0.851,0.238
33,Child Language Teaching & Therapy,0.848,0.374
34,Journal of Mental Health Research in Intellectual Disabilities,0.833,0.372
35,Education and Treatment of Children,0.780,0.419
36,Infants & Young Children,0.667,0.259
37,British Journal of Learning Disabilities,0.590,0.227
38,INTERVENTION IN SCHOOL AND CLINIC,0.578,0.161
39,AMERICAN ANNALS OF THE DEAF,0.571,0.156
40,International Journal of Developmental Disabilities,0.500,0.177
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
