"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ELECTROCHEMISTRY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,ACS Energy Letters,12.277,3.867
2,BIOSENSORS & BIOELECTRONICS,8.173,1.230
3,JOURNAL OF POWER SOURCES,6.945,1.200
4,SENSORS AND ACTUATORS B-CHEMICAL,5.667,0.787
5,ELECTROCHIMICA ACTA,5.116,0.832
6,ELECTROCHEMISTRY COMMUNICATIONS,4.660,0.970
7,ChemElectroChem,4.446,0.899
8,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,4.229,0.570
9,BIOELECTROCHEMISTRY,3.789,0.745
10,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,3.662,0.726
11,JOURNAL OF ELECTROANALYTICAL CHEMISTRY,3.235,0.489
12,Electrocatalysis,2.889,0.561
13,ELECTROANALYSIS,2.851,0.403
14,JOURNAL OF SOLID STATE ELECTROCHEMISTRY,2.509,0.412
15,SENSORS,2.475,0.554
16,IONICS,2.347,0.319
17,JOURNAL OF APPLIED ELECTROCHEMISTRY,2.262,0.441
18,CHEMICAL VAPOR DEPOSITION,2.227,0.457
19,Fuel Cells,2.149,0.385
20,CORROSION REVIEWS,1.660,0.571
21,Journal of Electrochemical Energy Conversion and Storage,1.429,0.267
22,International Journal of Electrochemical Science,1.369,0.231
23,ELECTROCHEMISTRY,1.074,0.206
24,Journal of Fuel Cell Science and Technology,1.052,0.182
25,Journal of Electrochemical Science and Technology,0.966,0.129
26,RUSSIAN JOURNAL OF ELECTROCHEMISTRY,0.880,0.152
27,TRANSACTIONS OF THE INSTITUTE OF METAL FINISHING,0.590,0.152
28,JOURNAL OF NEW MATERIALS FOR ELECTROCHEMICAL SYSTEMS,0.243,0.050
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
