"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'EMERGENCY MEDICINE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,RESUSCITATION,5.863,1.414
2,ANNALS OF EMERGENCY MEDICINE,5.008,2.031
3,Emergencias,3.608,0.322
4,World Journal of Emergency Surgery,3.198,0.745
5,ACADEMIC EMERGENCY MEDICINE,2.612,1.139
6,Scandinavian Journal of Trauma Resuscitation & Emergency Medicine,2.312,0.788
7,Prehospital Emergency Care,2.269,0.701
8,INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,2.199,0.646
9,EMERGENCY MEDICINE JOURNAL,2.046,0.648
10,European Journal of Emergency Medicine,1.729,0.466
11,European Journal of Trauma and Emergency Surgery,1.704,0.339
12,Canadian Journal of Emergency Medicine,1.481,0.428
13,EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,1.429,0.327
14,Emergency Medicine Australasia,1.353,0.469
15,AMERICAN JOURNAL OF EMERGENCY MEDICINE,1.290,0.425
16,JOURNAL OF EMERGENCY MEDICINE,1.207,0.406
17,PEDIATRIC EMERGENCY CARE,1.066,0.428
18,Prehospital and Disaster Medicine,0.971,Not Available
19,UNFALLCHIRURG,0.671,0.113
20,Journal of Emergency Nursing,0.662,0.273
21,Notfall & Rettungsmedizin,0.642,0.042
22,Ulusal Travma ve Acil Cerrahi Dergisi-Turkish Journal of Trauma & Emergency Surgery,0.525,0.137
23,Emergency Medicine International,0.519,Not Available
24,Notarzt,0.412,0.027
25,Hong Kong Journal of Emergency Medicine,0.202,0.047
26,Signa Vitae,0.126,0.016
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
