"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENDOCRINOLOGY & METABOLISM' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Cell Metabolism,20.565,9.494
2,Nature Reviews Endocrinology,20.265,6.752
3,Lancet Diabetes & Endocrinology,19.313,8.764
4,ENDOCRINE REVIEWS,15.545,6.060
5,DIABETES CARE,13.397,3.806
6,JOURNAL OF PINEAL RESEARCH,11.613,1.458
7,TRENDS IN ENDOCRINOLOGY AND METABOLISM,10.769,4.083
8,Obesity Reviews,8.483,3.386
9,THYROID,7.557,1.635
10,DIABETES,7.273,2.966
11,FRONTIERS IN NEUROENDOCRINOLOGY,6.875,2.846
12,ANTIOXIDANTS & REDOX SIGNALING,6.530,1.954
13,JOURNAL OF BONE AND MINERAL RESEARCH,6.314,2.208
14,Molecular Metabolism,6.291,2.670
15,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,6.045,1.894
16,DIABETOLOGIA,6.023,2.353
17,FREE RADICAL BIOLOGY AND MEDICINE,6.020,1.538
18,DIABETES OBESITY & METABOLISM,5.980,1.874
19,METABOLISM-CLINICAL AND EXPERIMENTAL,5.963,1.264
20,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,5.789,2.004
21,ENDOCRINE-RELATED CANCER,5.331,1.570
22,Cardiovascular Diabetology,5.235,1.016
23,INTERNATIONAL JOURNAL OF OBESITY,5.159,1.946
24,NEUROENDOCRINOLOGY,5.024,1.288
25,REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,4.963,1.550
26,PSYCHONEUROENDOCRINOLOGY,4.731,1.613
27,CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,4.534,1.201
28,BONE,4.455,1.296
29,HORMONES AND BEHAVIOR,4.418,1.408
30,BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,4.417,1.420
31,EUROPEAN JOURNAL OF ENDOCRINOLOGY,4.333,1.359
32,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,4.095,0.982
33,JOURNAL OF INHERITED METABOLIC DISEASE,4.092,1.359
34,Obesity,4.042,1.533
35,AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,4.018,1.361
36,JOURNAL OF ENDOCRINOLOGY,4.012,1.231
37,Therapeutic Advances in Endocrinology and Metabolism,3.978,Not Available
38,ENDOCRINOLOGY,3.961,1.318
39,DIABETES-METABOLISM RESEARCH AND REVIEWS,3.904,1.319
40,OSTEOPOROSIS INTERNATIONAL,3.857,1.170
41,CURRENT OPINION IN LIPIDOLOGY,3.853,1.336
42,Endocrine Practice,3.805,0.937
43,MOLECULAR GENETICS AND METABOLISM,3.774,1.029
44,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,3.755,0.698
45,DIABETES & METABOLISM,3.744,0.995
46,Current Osteoporosis Reports,3.726,1.079
47,Diabetes & Metabolism Journal,3.710,Not Available
48,MOLECULAR ENDOCRINOLOGY,3.678,1.261
49,Current Diabetes Reports,3.568,1.327
50,MOLECULAR AND CELLULAR ENDOCRINOLOGY,3.563,1.114
51,Biology of Sex Differences,3.543,1.490
52,Frontiers in Endocrinology,3.519,Not Available
53,Metabolomics,3.511,1.040
54,JOURNAL OF NEUROENDOCRINOLOGY,3.392,1.051
55,PROSTATE,3.347,0.795
56,Diabetes & Vascular Disease Research,3.340,0.934
57,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,3.318,0.926
