"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENERGY & FUELS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Nature Energy,46.859,16.115
2,Energy & Environmental Science,30.067,7.071
3,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,25.242,7.137
4,Advanced Energy Materials,21.875,4.876
5,ACS Energy Letters,12.277,3.867
6,Journal of Materials Chemistry A,9.931,1.868
7,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,9.184,1.734
8,APPLIED ENERGY,7.900,1.310
9,JOURNAL OF POWER SOURCES,6.945,1.200
10,PROGRESS IN PHOTOVOLTAICS,6.456,1.320
11,ENERGY CONVERSION AND MANAGEMENT,6.377,1.006
12,IEEE Transactions on Sustainable Energy,6.235,1.922
13,BIORESOURCE TECHNOLOGY,5.807,0.973
14,Biotechnology for Biofuels,5.497,1.583
15,Global Change Biology Bioenergy,5.415,1.522
16,PROCEEDINGS OF THE COMBUSTION INSTITUTE,5.336,1.397
17,SOLAR ENERGY MATERIALS AND SOLAR CELLS,5.018,0.927
18,ENERGY,4.968,0.951
19,FUEL,4.908,0.967
20,RENEWABLE ENERGY,4.900,0.925
21,COMBUSTION AND FLAME,4.494,1.202
22,ENERGY AND BUILDINGS,4.457,0.683
23,SOLAR ENERGY,4.374,0.799
24,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,4.229,0.570
25,JOURNAL OF THE ENERGY INSTITUTE,4.217,0.595
26,INTERNATIONAL JOURNAL OF COAL GEOLOGY,4.130,1.294
27,International Journal of Greenhouse Gas Control,4.078,0.854
28,ENERGY POLICY,4.039,0.994
29,FUEL PROCESSING TECHNOLOGY,3.956,0.865
30,Journal of Energy Chemistry,3.886,0.600
31,APPLIED THERMAL ENGINEERING,3.771,0.675
32,IEEE TRANSACTIONS ON ENERGY CONVERSION,3.767,1.351
33,Energy Science & Engineering,3.553,0.647
34,IET Renewable Power Generation,3.488,0.794
35,Biofuels Bioproducts & Biorefining-Biofpr,3.376,1.197
36,BIOMASS & BIOENERGY,3.358,0.888
37,Energy Technology,3.175,0.656
38,IEEE Journal of Photovoltaics,3.075,0.933
39,Sustainable Cities and Society,3.073,0.523
40,ENERGY & FUELS,3.024,0.744
41,INTERNATIONAL JOURNAL OF ENERGY RESEARCH,3.009,0.493
42,Journal of Biobased Materials and Bioenergy,2.993,0.147
43,BioEnergy Research,2.938,0.839
43,WIND ENERGY,2.938,0.747
45,CHEMICAL ENGINEERING AND PROCESSING,2.826,0.602
46,Journal of Natural Gas Science and Engineering,2.803,0.616
47,GEOTHERMICS,2.693,0.774
48,Energies,2.676,0.468
49,Energy for Sustainable Development,2.658,0.691
50,Wiley Interdisciplinary Reviews-Energy and Environment,2.514,0.640
51,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,2.382,0.667
52,JOURNAL OF ENERGY RESOURCES TECHNOLOGY-TRANSACTIONS OF THE ASME,2.197,0.313
53,Energy Strategy Reviews,2.164,0.648
54,Fuel Cells,2.149,0.385
55,ENERGY JOURNAL,2.132,1.038
56,Utilities Policy,2.098,0.435
57,Petroleum Exploration and Development,2.065,0.567
58,Greenhouse Gases-Science and Technology,1.991,0.496
59,COMBUSTION THEORY AND MODELLING,1.744,0.729
60,Energy Efficiency,1.634,0.379
61,Energy Sustainability and Society,1.625,Not Available
62,Petroleum Science,1.624,0.405
63,SPE RESERVOIR EVALUATION & ENGINEERING,1.615,0.734
64,INTERNATIONAL JOURNAL OF PHOTOENERGY,1.547,0.377
65,International Journal of Coal Preparation and Utilization,1.527,0.322
66,Journal of Electrochemical Energy Conversion and Storage,1.429,0.267
67,Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,1.399,0.380
68,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,1.367,0.353
69,JOURNAL OF ENERGY ENGINEERING,1.346,0.287
70,Journal of Renewable and Sustainable Energy,1.337,0.264
71,Biomass Conversion and Biorefinery,1.310,Not Available
72,ENERGY EXPLORATION & EXPLOITATION,1.204,0.253
73,International Journal of Green Energy,1.171,0.207
74,COMBUSTION SCIENCE AND TECHNOLOGY,1.132,0.457
75,COMBUSTION EXPLOSION AND SHOCK WAVES,1.114,0.196
76,Journal of Fuel Cell Science and Technology,1.052,0.182
77,International Journal of Exergy,0.993,0.159
78,PETROLEUM SCIENCE AND TECHNOLOGY,0.981,0.116
79,Energy Sources Part B-Economics Planning and Policy,0.976,0.176
80,PETROLEUM CHEMISTRY,0.932,0.133
81,International Journal of Ventilation,0.881,0.177
82,OIL SHALE,0.854,0.193
83,International Journal of Low-Carbon Technologies,0.837,Not Available
84,Biofuels-UK,0.784,Not Available
85,Proceedings of the Institution of Civil Engineers-Energy,0.771,0.276
86,Frontiers in Energy,0.753,Not Available
87,JOURNAL OF THE JAPAN PETROLEUM INSTITUTE,0.631,0.148
88,Journal of Energy in Southern Africa,0.600,0.122
89,International Journal of Oil Gas and Coal Technology,0.563,0.150
90,Energy Sources Part A-Recovery Utilization and Environmental Effects,0.555,0.103
91,Solid Fuel Chemistry,0.553,0.043
92,CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS,0.360,0.051
93,China Petroleum Processing & Petrochemical Technology,0.325,0.058
94,OIL GAS-EUROPEAN MAGAZINE,0.321,0.043
95,CT&F-Ciencia Tecnologia y Futuro,0.241,0.068
96,OIL & GAS JOURNAL,0.058,0.028
97,Sustainable Energy & Fuels,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
