"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, AEROSPACE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,PROGRESS IN AEROSPACE SCIENCES,4.729,1.943
2,Journal of Astronomical Telescopes Instruments and Systems,2.688,0.579
3,AEROSPACE SCIENCE AND TECHNOLOGY,2.228,0.602
4,ACTA ASTRONAUTICA,2.227,0.446
5,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,2.063,0.694
6,JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,2.024,0.596
7,Chinese Journal of Aeronautics,1.614,0.351
8,AIAA JOURNAL,1.556,0.696
9,JOURNAL OF THE ASTRONAUTICAL SCIENCES,1.406,0.427
10,INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,1.368,0.274
11,JOURNAL OF PROPULSION AND POWER,1.362,0.465
12,IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,1.360,0.345
13,MICROGRAVITY SCIENCE AND TECHNOLOGY,1.357,0.290
14,Navigation-Journal of the Institute of Navigation,1.322,0.484
15,JOURNAL OF AEROSPACE ENGINEERING,1.296,0.293
16,International Journal of Aerospace Engineering,1.182,0.286
17,JOURNAL OF SPACECRAFT AND ROCKETS,1.116,0.333
18,Journal of Aerospace Information Systems,1.095,0.272
19,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART G-JOURNAL OF AEROSPACE ENGINEERING,1.038,0.246
20,International Journal of Micro Air Vehicles,0.854,0.219
21,JOURNAL OF AIRCRAFT,0.831,0.345
22,AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,0.753,0.196
23,JOURNAL OF THE AMERICAN HELICOPTER SOCIETY,0.703,0.337
24,AERONAUTICAL JOURNAL,0.696,0.211
25,International Journal of Aeroacoustics,0.603,0.332
26,International Journal of Aeronautical and Space Sciences,0.483,0.167
27,ESA BULLETIN-EUROPEAN SPACE AGENCY,0.458,0.212
28,TRANSACTIONS OF THE JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES,0.453,0.162
29,COSMIC RESEARCH,0.444,0.141
30,INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,0.425,0.080
31,AEROSPACE AMERICA,0.072,0.005
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
