"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, BIOMEDICAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,BIOMATERIALS,8.806,1.960
2,Annual Review of Biomedical Engineering,8.788,4.994
3,Biofabrication,6.838,1.399
4,Acta Biomaterialia,6.383,1.432
5,IEEE TRANSACTIONS ON MEDICAL IMAGING,6.131,1.732
6,Advanced Healthcare Materials,5.609,1.369
7,MEDICAL IMAGE ANALYSIS,5.356,1.724
8,CLINICAL ORAL IMPLANTS RESEARCH,4.305,1.094
9,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,4.288,1.051
10,Journal of Tissue Engineering and Regenerative Medicine,4.089,0.796
11,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,3.972,1.067
12,Journal of Neural Engineering,3.920,1.023
13,Journal of NeuroEngineering and Rehabilitation,3.865,1.158
14,EUROPEAN CELLS & MATERIALS,3.667,1.118
15,IEEE Transactions on Biomedical Circuits and Systems,3.500,1.032
16,ANNALS OF BIOMEDICAL ENGINEERING,3.405,1.056
17,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,3.373,0.631
18,Journal of the Mechanical Behavior of Biomedical Materials,3.239,0.791
19,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,3.231,0.629
20,Biomechanics and Modeling in Mechanobiology,3.212,1.053
21,Artificial Cells Nanomedicine and Biotechnology,3.026,0.307
22,Regenerative Medicine,2.992,0.864
23,Biomedical Materials,2.897,0.643
24,ARTIFICIAL INTELLIGENCE IN MEDICINE,2.879,0.789
25,Biomedical Signal Processing and Control,2.783,0.600
26,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,2.674,0.624
27,PHYSICS IN MEDICINE AND BIOLOGY,2.665,0.858
28,Organogenesis,2.567,0.992
29,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,2.448,0.498
30,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,2.435,0.566
31,JOURNAL OF BIOMECHANICS,2.431,0.821
32,International Journal for Numerical Methods in Biomedical Engineering,2.338,0.871
33,ULTRASONIC IMAGING,2.300,0.498
34,COMPUTERS IN BIOLOGY AND MEDICINE,2.115,0.486
35,ARTIFICIAL ORGANS,2.111,0.397
36,Expert Review of Medical Devices,2.094,0.584
37,JOURNAL OF BIOMATERIALS APPLICATIONS,2.082,0.404
38,BIOMEDICAL MICRODEVICES,2.077,0.577
39,PHYSIOLOGICAL MEASUREMENT,2.006,0.590
40,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,1.974,0.590
41,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,1.971,0.567
42,International Journal of Computer Assisted Radiology and Surgery,1.961,0.474
43,LASERS IN MEDICAL SCIENCE,1.949,0.399
44,MEDICAL ENGINEERING & PHYSICS,1.923,0.575
45,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,1.916,0.746
46,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,1.911,0.322
47,CLINICAL BIOMECHANICS,1.863,0.730
48,ASAIO JOURNAL,1.842,0.642
49,Applied Bionics and Biomechanics,1.769,0.288
50,IEEE Journal of Translational Engineering in Health and Medicine-JTEHM,1.754,Not Available
51,Biomedical Engineering Online,1.676,0.446
52,CELL AND TISSUE BANKING,1.527,0.324
53,Cardiovascular Engineering and Technology,1.451,Not Available
54,PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,1.441,0.550
55,Journal of Applied Biomaterials & Functional Materials,1.397,0.276
56,JOURNAL OF APPLIED BIOMECHANICS,1.390,0.441
57,Biocybernetics and Biomedical Engineering,1.374,0.234
58,BIORHEOLOGY,1.316,0.343
59,JOURNAL OF ARTIFICIAL ORGANS,1.224,0.246
60,Tissue Engineering and Regenerative Medicine,1.216,0.167
61,Journal of Medical and Biological Engineering,1.211,0.218
62,Regenerative Therapy,1.182,Not Available
63,Sports Biomechanics,1.141,0.429
64,INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,1.133,0.316
65,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,1.124,0.340
66,Biomedical Engineering-Biomedizinische Technik,1.088,0.372
67,AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE,1.032,0.223
68,Acta of Bioengineering and Biomechanics,0.964,0.159
69,IRBM,0.897,0.185
70,Journal of Mechanics in Medicine and Biology,0.875,0.146
71,BIO-MEDICAL MATERIALS AND ENGINEERING,0.872,0.181
72,Bioinspired Biomimetic and Nanobiomaterials,0.784,0.138
73,TECHNOLOGY AND HEALTH CARE,0.719,0.183
74,IEEE Pulse,0.587,0.175
75,ISOKINETICS AND EXERCISE SCIENCE,0.568,0.136
76,Journal of Hard Tissue Biology,0.509,0.053
77,Journal of Medical Devices-Transactions of the ASME,0.412,0.123
78,Nature Biomedical Engineering,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
