"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, CHEMICAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Energy & Environmental Science,30.067,7.071
2,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,25.242,7.137
3,APPLIED CATALYSIS B-ENVIRONMENTAL,11.698,1.664
4,APPLIED ENERGY,7.900,1.310
5,Annual Review of Chemical and Biomolecular Engineering,7.674,2.629
6,JOURNAL OF CATALYSIS,6.759,1.595
7,CHEMICAL ENGINEERING JOURNAL,6.735,1.084
8,DESALINATION,6.603,1.068
9,JOURNAL OF MEMBRANE SCIENCE,6.578,1.189
10,ACS Sustainable Chemistry & Engineering,6.140,1.142
11,Journal of CO2 Utilization,5.503,0.999
12,PROCEEDINGS OF THE COMBUSTION INSTITUTE,5.336,1.397
13,FUEL,4.908,0.967
14,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,4.841,0.665
15,CATALYSIS TODAY,4.667,0.868
16,Reaction Chemistry & Engineering,4.641,1.064
17,COMBUSTION AND FLAME,4.494,1.202
18,REVIEWS IN CHEMICAL ENGINEERING,4.490,0.891
19,SEPARATION AND PURIFICATION REVIEWS,4.212,0.925
20,Current Opinion in Chemical Engineering,4.033,1.072
21,FUEL PROCESSING TECHNOLOGY,3.956,0.865
22,SEPARATION AND PURIFICATION TECHNOLOGY,3.927,0.763
23,Journal of Energy Chemistry,3.886,0.600
24,Journal of the Taiwan Institute of Chemical Engineers,3.849,0.576
25,DYES AND PIGMENTS,3.767,0.534
26,CHINESE JOURNAL OF CATALYSIS,3.525,0.422
27,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,3.441,0.609
28,AICHE JOURNAL,3.326,0.822
29,CHEMICAL ENGINEERING SCIENCE,3.306,0.755
30,POWDER TECHNOLOGY,3.230,0.590
31,BIOCHEMICAL ENGINEERING JOURNAL,3.226,0.606
32,JOURNAL OF FOOD ENGINEERING,3.197,0.750
33,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,3.141,0.651
34,JOURNAL OF SUPERCRITICAL FLUIDS,3.122,0.529
35,COMPUTERS & CHEMICAL ENGINEERING,3.113,0.694
36,ENERGY & FUELS,3.024,0.744
37,REACTIVE & FUNCTIONAL POLYMERS,2.975,0.506
38,ADVANCED POWDER TECHNOLOGY,2.943,0.497
39,CHEMICAL ENGINEERING AND PROCESSING,2.826,0.602
40,Journal of Natural Gas Science and Engineering,2.803,0.616
41,CHEMICAL ENGINEERING RESEARCH & DESIGN,2.795,0.613
42,JOURNAL OF PROCESS CONTROL,2.787,0.772
43,Particuology,2.785,0.632
44,FOOD AND BIOPRODUCTS PROCESSING,2.744,0.664
45,MINERALS ENGINEERING,2.707,0.588
46,PLASMA CHEMISTRY AND PLASMA PROCESSING,2.658,0.534
47,Frontiers of Chemical Science and Engineering,2.643,Not Available
48,PROCESS BIOCHEMISTRY,2.616,0.566
49,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,2.587,0.520
50,JOURNAL OF AEROSOL SCIENCE,2.281,0.667
51,INTERNATIONAL JOURNAL OF MINERAL PROCESSING,2.255,0.620
52,DRYING TECHNOLOGY,2.219,0.327
53,TRANSPORT IN POROUS MEDIA,2.211,0.633
54,KOREAN JOURNAL OF CHEMICAL ENGINEERING,2.199,0.281
55,FLUID PHASE EQUILIBRIA,2.197,0.483
56,JOURNAL OF CHEMICAL AND ENGINEERING DATA,2.196,0.480
57,Journal of Energetic Materials,2.183,0.517
58,TRIBOLOGY LETTERS,2.182,0.610
59,BIOPROCESS AND BIOSYSTEMS ENGINEERING,2.139,0.430
60,ADVANCES IN POLYMER TECHNOLOGY,2.073,0.259
61,INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,2.065,0.494
62,AEROSOL SCIENCE AND TECHNOLOGY,2.000,0.673
63,JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,1.982,0.453
64,JOURNAL OF FOOD PROCESS ENGINEERING,1.955,0.281
65,JOURNAL OF ADHESION,1.936,0.375
66,ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,1.829,0.474
67,JOURNAL OF MICROENCAPSULATION,1.793,0.315
68,PROPELLANTS EXPLOSIVES PYROTECHNICS,1.749,0.438
69,COMBUSTION THEORY AND MODELLING,1.744,0.729
70,CHINESE JOURNAL OF CHEMICAL ENGINEERING,1.712,0.292
71,KONA Powder and Particle Journal,1.638,0.378
72,CHEMICAL ENGINEERING & TECHNOLOGY,1.588,0.347
73,Macromolecular Reaction Engineering,1.567,0.309
74,POLYMER ENGINEERING AND SCIENCE,1.551,0.297
75,Lubrication Science,1.485,0.328
76,JOURNAL OF SURFACTANTS AND DETERGENTS,1.454,0.244
77,REVISTA DE CHIMIE,1.412,0.047
78,Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,1.399,0.380
79,CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,1.383,0.226
79,Desalination and Water Treatment,1.383,0.194
81,TURKISH JOURNAL OF CHEMISTRY,1.377,0.190
82,Environmental Progress & Sustainable Energy,1.326,0.286
83,Biomass Conversion and Biorefinery,1.310,Not Available
84,CHEMICAL ENGINEERING COMMUNICATIONS,1.282,0.228
85,Processes,1.279,Not Available
86,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,1.265,0.279
87,Asia-Pacific Journal of Chemical Engineering,1.238,0.212
88,SEPARATION SCIENCE AND TECHNOLOGY,1.200,0.263
89,ATOMIZATION AND SPRAYS,1.189,0.461
90,COLORATION TECHNOLOGY,1.168,0.196
91,Membrane Water Treatment,1.167,0.130
92,COMBUSTION SCIENCE AND TECHNOLOGY,1.132,0.457
93,COMBUSTION EXPLOSION AND SHOCK WAVES,1.114,0.196
94,CHEMIE INGENIEUR TECHNIK,1.100,0.196
95,Revista Mexicana de Ingenieria Quimica,1.097,0.084
96,PARTICULATE SCIENCE AND TECHNOLOGY,1.081,0.204
97,Central European Journal of Energetic Materials,1.040,0.284
98,JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,1.039,0.228
99,COLOR RESEARCH AND APPLICATION,1.023,0.229
100,PETROLEUM SCIENCE AND TECHNOLOGY,0.981,0.116
101,Chemical Industry & Chemical Engineering Quarterly,0.944,0.190
102,PETROLEUM CHEMISTRY,0.932,0.133
103,BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,0.925,0.271
104,Chemical and Process Engineering-Inzynieria Chemiczna I Procesowa,0.892,0.177
105,International Journal of Chemical Reactor Engineering,0.881,0.169
