"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, CIVIL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,5.475,1.089
2,BUILDING AND ENVIRONMENT,4.539,0.902
3,ENERGY AND BUILDINGS,4.457,0.683
4,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,4.081,1.359
5,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,4.051,1.110
6,AUTOMATION IN CONSTRUCTION,4.032,0.676
7,JOURNAL OF HYDROLOGY,3.727,1.097
8,Structural Control & Health Monitoring,3.622,0.742
9,STEEL AND COMPOSITE STRUCTURES,3.594,0.467
10,STRUCTURAL SAFETY,3.538,1.181
11,CONSTRUCTION AND BUILDING MATERIALS,3.485,0.661
12,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,3.289,1.109
13,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,3.197,0.680
14,TRANSPORTATION,3.151,1.178
15,COMPUTERS & STRUCTURES,2.887,1.076
16,THIN-WALLED STRUCTURES,2.881,0.716
17,EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,2.807,1.122
18,Archives of Civil and Mechanical Engineering,2.763,0.487
19,ENGINEERING STRUCTURES,2.755,0.802
20,JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,2.689,0.723
21,COASTAL ENGINEERING,2.674,0.899
22,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2.671,0.608
23,WATER RESOURCES MANAGEMENT,2.644,0.606
24,JOURNAL OF COMPOSITES FOR CONSTRUCTION,2.592,0.861
25,JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,2.509,0.718
26,MARINE STRUCTURES,2.491,0.642
27,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,2.418,0.606
28,International Journal of Concrete Structures and Materials,2.360,0.534
29,International Journal of Pavement Engineering,2.322,0.509
30,JOURNAL OF MANAGEMENT IN ENGINEERING,2.282,0.417
31,MATERIALS AND STRUCTURES,2.271,0.719
32,Smart Structures and Systems,2.231,0.416
33,OCEAN ENGINEERING,2.214,0.554
34,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,2.201,0.433
35,Road Materials and Pavement Design,2.199,0.497
36,STRUCTURAL ENGINEERING AND MECHANICS,2.191,0.272
37,Journal of Hydro-environment Research,2.087,0.621
38,International Journal of Structural Stability and Dynamics,2.082,0.371
39,JOURNAL OF HYDRAULIC ENGINEERING,2.080,0.681
40,EARTHQUAKE SPECTRA,2.079,1.228
41,JOURNAL OF HYDRAULIC RESEARCH,2.076,0.799
42,IEEE JOURNAL OF OCEANIC ENGINEERING,2.065,0.658
43,WATER INTERNATIONAL,1.956,0.412
44,COLD REGIONS SCIENCE AND TECHNOLOGY,1.925,0.497
45,JOURNAL OF STRUCTURAL ENGINEERING,1.903,0.814
46,FIRE SAFETY JOURNAL,1.888,0.515
47,Structure and Infrastructure Engineering,1.845,0.466
48,Geomechanics and Engineering,1.818,0.238
49,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,1.798,0.520
50,JOURNAL OF HYDROINFORMATICS,1.797,0.397
51,Ingegneria Sismica,1.769,Not Available
52,JOURNAL OF EARTHQUAKE ENGINEERING,1.763,0.551
52,JOURNAL OF MATERIALS IN CIVIL ENGINEERING,1.763,0.561
54,JOURNAL OF SURVEYING ENGINEERING,1.709,0.293
55,Journal of Civil Engineering and Management,1.660,0.289
56,Computers and Concrete,1.637,0.204
57,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,1.616,0.390
58,Engineering Construction and Architectural Management,1.613,Not Available
59,Frontiers of Structural and Civil Engineering,1.580,Not Available
60,JOURNAL OF HYDROLOGIC ENGINEERING,1.576,0.521
61,Proceedings of the Institution of Civil Engineers-Engineering Sustainability,1.500,0.296
61,STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,1.500,0.301
63,JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,1.481,0.603
64,Journal of Bridge Engineering,1.454,0.522
65,JOURNAL OF SHIP RESEARCH,1.441,0.360
66,JOURNAL OF ENVIRONMENTAL ENGINEERING,1.396,0.308
67,Structural Concrete,1.384,0.531
68,Journal of Infrastructure Systems,1.356,0.494
69,JOURNAL OF ENERGY ENGINEERING,1.346,0.287
70,International Journal of Architectural Heritage,1.345,0.339
71,Earthquakes and Structures,1.309,0.270
72,JOURNAL OF AEROSPACE ENGINEERING,1.296,0.293
73,European Journal of Environmental and Civil Engineering,1.290,0.306
74,Natural Hazards Review,1.278,0.595
75,Journal of Analytical Methods in Chemistry,1.262,0.396
76,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,1.252,0.309
77,WIND AND STRUCTURES,1.247,0.265
78,COASTAL ENGINEERING JOURNAL,1.246,0.391
79,Advances in Concrete Construction,1.237,Not Available
80,ACI STRUCTURAL JOURNAL,1.197,0.561
80,JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,1.197,0.369
82,JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,1.179,0.202
83,SURVEY REVIEW,1.163,0.217
84,Journal of Advanced Concrete Technology,1.134,0.387
85,JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,1.119,0.347
86,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,1.103,0.391
87,JOURNAL OF ADVANCED TRANSPORTATION,1.102,0.386
88,JOURNAL OF TRANSPORTATION ENGINEERING,0.983,0.404
89,CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS,0.977,0.163
90,Journal of Pipeline Systems Engineering and Practice,0.971,0.289
91,ADVANCES IN STRUCTURAL ENGINEERING,0.968,0.302
92,KSCE Journal of Civil Engineering,0.940,0.254
93,Latin American Journal of Solids and Structures,0.905,0.242
94,CANADIAN JOURNAL OF CIVIL ENGINEERING,0.869,0.286
95,Earthquake Engineering and Engineering Vibration,0.847,0.333
96,Advances in Civil Engineering,0.827,Not Available
97,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,0.765,0.178
98,Advanced Steel Construction,0.737,0.231
99,International Journal of Steel Structures,0.734,0.227
100,Beton- und Stahlbetonbau,0.717,0.154
101,TRANSPORTATION RESEARCH RECORD,0.695,0.258
102,JOURNAL OF COLD REGIONS ENGINEERING,0.688,0.299
103,CHINA OCEAN ENGINEERING,0.674,0.157
