"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, ELECTRICAL & ELECTRONIC' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,PROGRESS IN QUANTUM ELECTRONICS,10.733,2.509
2,IEEE Industrial Electronics Magazine,10.429,3.472
3,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,9.455,4.713
4,IEEE COMMUNICATIONS MAGAZINE,9.270,3.332
5,IEEE WIRELESS COMMUNICATIONS,9.202,2.966
6,PROCEEDINGS OF THE IEEE,9.107,3.277
7,IEEE TRANSACTIONS ON FUZZY SYSTEMS,8.415,2.432
8,IEEE Transactions on Neural Networks and Learning Systems,7.982,2.453
9,IEEE SIGNAL PROCESSING MAGAZINE,7.451,4.539
10,IEEE Transactions on Smart Grid,7.365,2.303
11,IEEE NETWORK,7.197,2.096
12,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,7.172,2.716
13,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,7.050,2.025
14,IEEE TRANSACTIONS ON POWER ELECTRONICS,6.812,1.645
15,IEEE Transactions on Sustainable Energy,6.235,1.922
16,IEEE TRANSACTIONS ON MEDICAL IMAGING,6.131,1.732
17,AUTOMATICA,6.126,2.264
18,IEEE Vehicular Technology Magazine,6.038,1.576
19,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,5.888,1.644
20,IEEE Internet of Things Journal,5.874,2.059
21,IEEE Transactions on Information Forensics and Security,5.824,1.565
22,IEEE TRANSACTIONS ON POWER SYSTEMS,5.255,1.756
23,IEEE Journal of Emerging and Selected Topics in Power Electronics,5.177,1.892
24,IEEE TRANSACTIONS ON IMAGE PROCESSING,5.072,1.817
25,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,5.007,2.254
26,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,4.883,1.525
27,IEEE TRANSACTIONS ON COMMUNICATIONS,4.671,1.374
28,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,4.662,1.230
29,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,4.432,1.117
30,IEEE Journal of Selected Topics in Signal Processing,4.361,2.406
31,IEEE Systems Journal,4.337,1.047
32,IEEE TRANSACTIONS ON SIGNAL PROCESSING,4.203,1.559
33,IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,4.130,1.003
34,IEEE JOURNAL OF SOLID-STATE CIRCUITS,4.075,1.419
35,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,4.051,1.110
