"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, ENVIRONMENTAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,APPLIED CATALYSIS B-ENVIRONMENTAL,11.698,1.664
2,WATER RESEARCH,7.051,1.499
3,CHEMICAL ENGINEERING JOURNAL,6.735,1.084
4,ENVIRONMENTAL SCIENCE & TECHNOLOGY,6.653,1.646
5,JOURNAL OF HAZARDOUS MATERIALS,6.434,1.182
6,Environmental Science & Technology Letters,5.869,1.977
7,JOURNAL OF CLEANER PRODUCTION,5.651,0.815
8,RESOURCES CONSERVATION AND RECYCLING,5.120,0.807
9,WASTE MANAGEMENT,4.723,0.852
10,BUILDING AND ENVIRONMENT,4.539,0.902
11,INDOOR AIR,4.396,1.252
12,JOURNAL OF INDUSTRIAL ECOLOGY,4.356,0.966
13,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,4.195,0.773
14,ENVIRONMENTAL MODELLING & SOFTWARE,4.177,1.219
15,International Journal of Greenhouse Gas Control,4.078,0.854
16,Environmental Science-Water Research & Technology,3.649,0.854
17,AMBIO,3.616,1.093
18,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,3.441,0.609
19,Environmental Chemistry Letters,3.125,0.629
20,ECOLOGICAL ENGINEERING,3.023,0.646
21,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,2.994,0.564
22,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2.671,0.608
23,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,2.587,0.520
24,Clean Technologies and Environmental Policy,2.343,0.350
25,Journal of Environmental Health Science and Engineering,2.337,0.334
26,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,2.160,0.629
27,Greenhouse Gases-Science and Technology,1.991,0.496
28,JOURNAL OF POLYMERS AND THE ENVIRONMENT,1.971,0.413
29,Frontiers of Environmental Science & Engineering,1.961,0.350
30,COLD REGIONS SCIENCE AND TECHNOLOGY,1.925,0.497
31,Bulletin of Engineering Geology and the Environment,1.825,0.516
32,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,1.742,0.501
33,WASTE MANAGEMENT & RESEARCH,1.631,0.312
34,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,1.561,0.294
35,ENVIRONMENTAL ENGINEERING SCIENCE,1.547,0.365
36,Environmental Engineering Research,1.500,Not Available
37,JOURNAL OF ENVIRONMENTAL ENGINEERING,1.396,0.308
38,Environmental Progress & Sustainable Energy,1.326,0.286
39,JOURNAL OF TERRAMECHANICS,1.311,0.302
40,WATER SCIENCE AND TECHNOLOGY,1.247,0.246
41,OZONE-SCIENCE & ENGINEERING,1.232,0.255
42,INDOOR AND BUILT ENVIRONMENT,1.158,0.275
43,WATER ENVIRONMENT RESEARCH,0.825,0.155
44,JOURNAL OF COLD REGIONS ENGINEERING,0.688,0.299
44,Journal of Water Reuse and Desalination,0.688,0.113
46,Water Science and Technology-Water Supply,0.674,0.133
47,Ochrona Srodowiska,0.603,0.050
48,Environment Protection Engineering,0.486,0.116
49,GEFAHRSTOFFE REINHALTUNG DER LUFT,0.333,0.037
50,ENVIRONMENTAL & ENGINEERING GEOSCIENCE,0.318,0.238
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
