"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, MANUFACTURING' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,5.106,1.162
2,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,4.514,0.895
3,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,4.407,0.972
4,IEEE-ASME TRANSACTIONS ON MECHATRONICS,3.936,1.093
5,International Journal of Precision Engineering and Manufacturing-Green Technology,3.774,0.715
6,JOURNAL OF MANUFACTURING SYSTEMS,3.699,0.708
7,JOURNAL OF INTELLIGENT MANUFACTURING,3.667,0.576
8,JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,3.647,0.804
9,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,3.464,0.790
10,CIRP ANNALS-MANUFACTURING TECHNOLOGY,3.333,0.711
11,Journal of Manufacturing Processes,2.809,Not Available
12,MATERIALS AND MANUFACTURING PROCESSES,2.669,0.307
13,RESEARCH IN ENGINEERING DESIGN,2.625,0.578
14,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2.623,0.544
15,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2.601,0.397
16,PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,2.582,0.574
17,JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,2.578,0.456
18,Flexible Services and Manufacturing Journal,2.346,0.924
19,PRODUCTION PLANNING & CONTROL,2.330,0.409
20,3D Printing and Additive Manufacturing,2.304,0.634
21,Journal of Manufacturing Technology Management,2.194,Not Available
22,DESIGN STUDIES,2.133,0.481
23,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,1.995,0.371
24,International Journal of Simulation Modelling,1.942,0.299
25,International Journal of Material Forming,1.936,0.333
26,PACKAGING TECHNOLOGY AND SCIENCE,1.808,0.309
27,PRODUCTION AND OPERATIONS MANAGEMENT,1.772,1.209
28,Advances in Manufacturing,1.706,0.226
29,International Journal of Precision Engineering and Manufacturing,1.661,0.294
30,IEEE Transactions on Components Packaging and Manufacturing Technology,1.660,0.424
31,Advances in Production Engineering & Management,1.596,Not Available
32,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,1.588,0.257
33,CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,1.456,0.161
34,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,1.445,0.269
35,ASSEMBLY AUTOMATION,1.383,0.239
36,MACHINING SCIENCE AND TECHNOLOGY,1.339,0.324
37,IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,1.336,0.301
38,International Journal of Design,1.163,0.363
39,JOURNAL OF SCHEDULING,1.153,0.638
40,SOLDERING & SURFACE MOUNT TECHNOLOGY,1.137,0.148
41,INTERNATIONAL JOURNAL OF CRASHWORTHINESS,1.053,0.217
42,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,1.045,0.283
43,Human Factors and Ergonomics in Manufacturing & Service Industries,0.917,0.184
44,INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE,0.565,0.121
45,Journal of Advanced Mechanical Design Systems and Manufacturing,0.503,0.118
46,MANUFACTURING ENGINEERING,0.063,0.013
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
