"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, MARINE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,MARINE STRUCTURES,2.491,0.642
2,OCEAN ENGINEERING,2.214,0.554
3,Ships and Offshore Structures,1.685,0.300
4,JOURNAL OF NAVIGATION,1.580,0.422
5,JOURNAL OF SHIP RESEARCH,1.441,0.360
6,JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,1.119,0.347
7,Proceedings of the Institution of Mechanical Engineers Part M-Journal of Engineering for the Maritime Environment,1.090,0.308
8,International Journal of Naval Architecture and Ocean Engineering,0.930,0.211
9,Polish Maritime Research,0.763,0.080
10,Journal of Ship Production and Design,0.525,0.142
11,Brodogradnja,0.519,0.085
12,International Journal of Maritime Engineering,0.458,0.136
13,Journal of Marine Engineering and Technology,0.310,0.111
14,NAVAL ENGINEERS JOURNAL,0.232,0.055
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
