"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, MECHANICAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,25.242,7.137
2,INTERNATIONAL JOURNAL OF PLASTICITY,5.502,1.629
3,PROCEEDINGS OF THE COMBUSTION INSTITUTE,5.336,1.397
4,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,5.106,1.162
5,Advances in Applied Mechanics,5.000,1.959
6,COMBUSTION AND FLAME,4.494,1.202
7,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,4.370,1.004
8,NONLINEAR DYNAMICS,4.339,0.837
9,IEEE-ASME TRANSACTIONS ON MECHATRONICS,3.936,1.093
10,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,3.891,0.767
11,International Journal of Precision Engineering and Manufacturing-Green Technology,3.774,0.715
12,APPLIED THERMAL ENGINEERING,3.771,0.675
13,INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,3.570,0.880
14,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,3.361,0.804
15,INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,3.344,0.870
16,TRIBOLOGY INTERNATIONAL,3.246,0.628
17,INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,3.233,0.559
18,EXPERIMENTAL THERMAL AND FLUID SCIENCE,3.204,0.764
19,INTERNATIONAL JOURNAL OF FATIGUE,3.132,0.689
20,Nanoscale and Microscale Thermophysical Engineering,3.111,0.908
21,WEAR,2.960,0.696
22,WIND ENERGY,2.938,0.747
23,MECHANISM AND MACHINE THEORY,2.796,0.648
24,JOURNAL OF MECHANICAL DESIGN,2.786,0.599
25,JOURNAL OF SANDWICH STRUCTURES & MATERIALS,2.776,0.641
26,International Journal of Engine Research,2.775,0.586
27,Archives of Civil and Mechanical Engineering,2.763,0.487
28,JOURNAL OF SOUND AND VIBRATION,2.618,0.790
29,JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,2.578,0.456
30,FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,2.533,0.471
31,JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME,2.453,0.424
32,JOURNAL OF FLUIDS AND STRUCTURES,2.434,0.896
33,MECHATRONICS,2.423,0.641
34,VEHICLE SYSTEM DYNAMICS,2.406,0.584
35,RAPID PROTOTYPING JOURNAL,2.346,0.682
36,JOURNAL OF AEROSOL SCIENCE,2.281,0.667
37,Journal of Mechanisms and Robotics-Transactions of the ASME,2.233,0.604
38,Smart Structures and Systems,2.231,0.416
39,DRYING TECHNOLOGY,2.219,0.327
40,THEORETICAL AND APPLIED FRACTURE MECHANICS,2.215,0.668
41,JOURNAL OF ELECTRONIC PACKAGING,2.210,0.322
42,JOURNAL OF VIBRATION AND CONTROL,2.197,0.500
43,EXPERIMENTS IN FLUIDS,2.195,0.801
44,STRUCTURAL ENGINEERING AND MECHANICS,2.191,0.272
45,TRIBOLOGY LETTERS,2.182,0.610
46,ENGINEERING FAILURE ANALYSIS,2.157,0.437
47,INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,2.103,0.805
48,International Journal of Structural Stability and Dynamics,2.082,0.371
49,JOURNAL OF HYDRAULIC ENGINEERING,2.080,0.681
50,Surface Topography-Metrology and Properties,2.074,Not Available
51,AEROSOL SCIENCE AND TECHNOLOGY,2.000,0.673
52,Journal of Computational and Nonlinear Dynamics,1.996,0.552
53,ENGINEERING WITH COMPUTERS,1.951,0.532
54,Engineering Applications of Computational Fluid Mechanics,1.918,0.408
55,JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,1.915,0.488
56,International Journal of Mechanics and Materials in Design,1.896,0.558
57,Friction,1.869,0.589
58,SHOCK AND VIBRATION,1.857,0.416
59,Structure and Infrastructure Engineering,1.845,0.466
60,JOURNAL OF ENGINEERING MECHANICS,1.799,0.672
61,JOURNAL OF TRIBOLOGY-TRANSACTIONS OF THE ASME,1.787,0.434
62,JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,1.777,0.516
63,JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,1.740,0.397
64,TRIBOLOGY TRANSACTIONS,1.723,0.371
65,PROBABILISTIC ENGINEERING MECHANICS,1.693,0.753
66,EXPERIMENTAL HEAT TRANSFER,1.687,0.270
67,International Journal of Precision Engineering and Manufacturing,1.661,0.294
68,Journal of the Brazilian Society of Mechanical Sciences and Engineering,1.627,0.274
69,JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,1.602,0.520
70,ACTA MECHANICA SINICA,1.545,0.425
71,INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,1.543,0.469
72,Lubrication Science,1.485,0.328
73,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,1.445,0.269
74,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,1.414,0.324
75,FLOW MEASUREMENT AND INSTRUMENTATION,1.407,0.383
76,JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,1.367,0.353
77,Mechanical Sciences,1.352,0.436
78,MACHINING SCIENCE AND TECHNOLOGY,1.339,0.324
79,JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,1.320,0.344
80,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY,1.318,0.358
81,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART K-JOURNAL OF MULTI-BODY DYNAMICS,1.288,0.340
82,INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,1.264,0.244
83,HEAT TRANSFER ENGINEERING,1.216,0.288
84,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART E-JOURNAL OF PROCESS MECHANICAL ENGINEERING,1.211,0.235
85,Journal of Mechanical Science and Technology,1.194,0.228
86,ATOMIZATION AND SPRAYS,1.189,0.461
87,Science and Technology for the Built Environment,1.183,0.264
88,JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME,1.182,0.197
88,STROJNISKI VESTNIK-JOURNAL OF MECHANICAL ENGINEERING,1.182,0.207
90,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,1.103,0.391
91,JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,1.085,0.303
