"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,7.023,1.131
2,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,6.605,2.717
3,COMPOSITES PART B-ENGINEERING,4.920,0.903
4,COMBUSTION AND FLAME,4.494,1.202
5,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,4.441,1.622
6,STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,3.798,0.930
7,INTEGRATED COMPUTER-AIDED ENGINEERING,3.667,0.484
8,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,3.576,0.875
9,ISA TRANSACTIONS,3.370,0.767
10,ADVANCED ENGINEERING INFORMATICS,3.358,0.735
11,ADVANCES IN ENGINEERING SOFTWARE,3.198,0.713
12,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,2.876,0.954
13,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2.819,0.719
14,IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,2.743,0.912
15,Bioinspiration & Biomimetics,2.727,0.831
16,Engineering,2.667,0.686
17,RESEARCH IN ENGINEERING DESIGN,2.625,0.578
18,APPLIED MATHEMATICAL MODELLING,2.617,0.742
19,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,2.589,1.043
20,PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,2.582,0.574
21,Journal of Bionic Engineering,2.325,0.387
22,MEASUREMENT,2.218,0.446
23,International Journal of Critical Infrastructure Protection,2.150,0.572
24,ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,2.138,0.564
25,DESIGN STUDIES,2.133,0.481
26,JOURNAL OF ENGINEERING EDUCATION,1.976,1.011
27,Science China-Technological Sciences,1.938,0.364
28,Engineering Applications of Computational Fluid Mechanics,1.918,0.408
29,JOURNAL OF ENGINEERING DESIGN,1.906,0.537
30,SCIENCE AND ENGINEERING ETHICS,1.859,0.465
31,MEASUREMENT SCIENCE and TECHNOLOGY,1.685,0.471
32,JOURNAL OF ELASTICITY,1.650,0.737
33,ENGINEERING OPTIMIZATION,1.622,0.514
34,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,1.604,0.435
