"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENTOMOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Annual Review of Entomology,13.860,4.965
2,JOURNAL OF PEST SCIENCE,4.402,0.886
3,SYSTEMATIC ENTOMOLOGY,4.237,1.232
4,Current Opinion in Insect Science,4.171,1.424
5,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,3.562,1.104
6,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,3.440,0.749
7,PEST MANAGEMENT SCIENCE,3.249,0.855
8,APIDOLOGIE,2.856,0.631
9,JOURNAL OF INSECT PHYSIOLOGY,2.733,0.808
10,INSECT MOLECULAR BIOLOGY,2.492,0.751
11,ECOLOGICAL ENTOMOLOGY,2.244,0.671
12,Advances in Insect Physiology,2.114,1.127
13,BIOLOGICAL CONTROL,2.112,0.565
14,Insect Conservation and Diversity,2.091,0.773
14,Insect Science,2.091,0.628
16,JOURNAL OF MEDICAL ENTOMOLOGY,1.968,0.626
17,JOURNAL OF ECONOMIC ENTOMOLOGY,1.936,0.492
18,ENTOMOLOGIA GENERALIS,1.933,0.241
19,EXPERIMENTAL AND APPLIED ACAROLOGY,1.929,0.513
20,BIOCONTROL,1.924,0.527
21,Insects,1.848,Not Available
22,Myrmecological News,1.838,0.630
23,JOURNAL OF STORED PRODUCTS RESEARCH,1.825,0.459
24,BULLETIN OF ENTOMOLOGICAL RESEARCH,1.721,0.516
25,Arthropod Systematics & Phylogeny,1.703,0.697
26,ARTHROPOD STRUCTURE & DEVELOPMENT,1.696,0.576
26,SYSTEMATIC AND APPLIED ACAROLOGY,1.696,0.484
28,MEDICAL AND VETERINARY ENTOMOLOGY,1.688,0.590
29,INSECTES SOCIAUX,1.675,0.510
30,ENVIRONMENTAL ENTOMOLOGY,1.661,0.456
31,JOURNAL OF APPLIED ENTOMOLOGY,1.629,0.474
32,Arthropod-Plant Interactions,1.591,0.522
33,JOURNAL OF INSECT CONSERVATION,1.562,0.512
34,ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,1.558,0.420
35,AGRICULTURAL AND FOREST ENTOMOLOGY,1.490,0.565
36,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,1.454,0.477
37,JOURNAL OF VECTOR ECOLOGY,1.390,0.432
38,JOURNAL OF INSECT SCIENCE,1.324,0.359
39,ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,1.316,0.349
40,Austral Entomology,1.312,0.409
41,JOURNAL OF ARACHNOLOGY,1.236,0.302
42,Entomologica Americana,1.143,0.199
43,INTERNATIONAL JOURNAL OF PEST MANAGEMENT,1.090,0.318
44,BULLETIN OF INSECTOLOGY,1.088,0.391
45,ENTOMOLOGICAL SCIENCE,1.069,0.344
46,PHYSIOLOGICAL ENTOMOLOGY,1.063,0.419
47,FLORIDA ENTOMOLOGIST,1.052,0.332
48,ANNALES ZOOLOGICI,1.022,0.261
49,EUROPEAN JOURNAL OF ENTOMOLOGY,1.017,0.352
49,JOURNAL OF PESTICIDE SCIENCE,1.017,0.224
51,JOURNAL OF APICULTURAL RESEARCH,1.015,0.495
52,INTERNATIONAL JOURNAL OF ACAROLOGY,1.008,0.210
53,JOURNAL OF INSECT BEHAVIOR,0.966,0.299
54,CANADIAN ENTOMOLOGIST,0.948,0.259
55,BIOCONTROL SCIENCE AND TECHNOLOGY,0.918,0.231
56,JOURNAL OF HYMENOPTERA RESEARCH,0.902,0.285
57,NEOTROPICAL ENTOMOLOGY,0.886,0.281
58,REVISTA BRASILEIRA DE ENTOMOLOGIA,0.880,0.319
59,DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,0.879,0.237
60,JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,0.875,0.232
61,ACAROLOGIA,0.866,0.249
62,APPLIED ENTOMOLOGY AND ZOOLOGY,0.857,0.274
63,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,0.827,0.230
64,ODONATOLOGICA,0.769,0.159
65,INSECT SYSTEMATICS & EVOLUTION,0.763,0.458
66,JOURNAL OF APICULTURAL SCIENCE,0.750,0.258
67,Asian Myrmecology,0.724,0.181
68,JOURNAL OF ENTOMOLOGICAL SCIENCE,0.677,0.191
